date,rain,tmax,tmin,tmean,humidity
2017-01-04,0.0,27.0,13.4,19.4,61
2017-01-05,0.0,26.5,12.5,18.8,63
2017-01-06,0.0,25.4,13.9,18.9,68
2017-01-07,0.2,25.1,14.8,19.6,73
2017-01-08,0.0,24.6,14.4,19.0,66
2017-01-09,0.0,24.6,12.6,18.1,65
2017-01-10,0.0,23.3,12.2,17.3,58
2017-01-11,0.0,22.9,10.5,16.0,48
2017-01-12,0.0,22.2,10.1,14.9,42
2017-01-13,0.0,22.6,10.6,15.6,37
2017-01-14,0.0,24.8,12.2,17.3,43
2017-01-15,0.0,26.8,13.9,19.1,53
2017-01-16,0.0,25.4,12.1,18.3,56
2017-01-17,0.0,23.8,10.6,16.6,54
2017-01-18,0.0,25.7,12.1,17.9,54
2017-01-19,0.0,26.6,14.9,20.2,58
2017-01-20,0.0,26.5,17.8,20.9,50
2017-01-21,0.0,28.4,16.5,21.5,57
2017-01-22,0.0,29.1,15.4,21.7,59
2017-01-23,0.0,29.8,17.0,22.9,59
2017-01-24,0.0,31.0,17.0,23.4,61
2017-01-25,0.0,30.0,17.6,23.2,59
2017-01-26,0.0,25.9,16.5,20.8,57
2017-01-27,0.0,25.0,13.2,18.3,58
2017-01-28,0.0,25.3,13.7,18.4,52
2017-01-29,0.0,27.1,13.9,19.3,58
2017-01-30,0.0,28.1,12.6,19.9,56
2017-01-31,0.0,27.5,11.9,19.3,53
2017-02-01,0.0,28.8,11.9,20.2,53
2017-02-02,0.0,30.1,15.1,21.6,50
2017-02-03,0.0,31.9,16.9,23.9,48
2017-02-04,0.0,27.5,16.5,21.6,57
2017-02-05,0.0,23.4,13.1,18.4,55
2017-02-06,0.0,24.8,10.0,16.6,48
2017-02-07,0.0,26.7,11.5,18.4,45
2017-02-08,0.0,27.0,11.4,18.4,49
2017-02-09,0.0,25.9,12.4,18.4,40
2017-02-10,0.0,26.9,14.7,19.4,38
2017-02-11,0.0,28.2,15.8,20.9,42
2017-02-12,0.0,28.5,15.2,21.1,49
2017-02-13,0.0,29.1,17.6,22.6,50
2017-02-14,0.0,30.9,19.2,24.2,55
2017-02-15,0.0,31.7,20.1,25.2,56
2017-02-16,0.0,32.0,19.9,25.0,55
2017-02-17,0.0,32.8,20.0,25.4,47
2017-02-18,0.0,33.5,19.6,25.8,47
2017-02-19,0.0,33.5,17.8,25.0,50
2017-02-20,0.0,30.6,17.9,23.9,48
2017-02-21,0.0,27.8,16.5,21.2,44
2017-02-22,0.0,28.7,15.1,20.6,56
2017-02-23,0.0,29.7,13.4,21.3,48
2017-02-24,0.0,30.6,15.6,22.7,34
2017-02-25,0.0,31.4,15.6,22.8,34
2017-02-26,0.0,32.2,16.7,23.8,37
2017-02-27,0.0,33.1,18.3,25.4,35
2017-02-28,0.0,33.5,17.9,25.0,40
2017-03-01,0.0,32.5,18.2,25.0,41
2017-03-02,0.0,31.8,17.6,23.7,43
2017-03-03,0.0,31.1,14.9,22.8,42
2017-03-04,0.0,30.9,18.2,24.0,41
2017-03-05,0.0,31.2,18.1,23.9,34
2017-03-06,0.0,31.4,18.1,24.0,27
