date,rain,tmax,tmin,tmean,humidity
2017-01-02,0.0,28.8,14.4,20.9,54
2017-01-03,0.0,26.2,13.0,19.1,60
2017-01-04,0.0,26.0,11.9,18.7,63
2017-01-05,0.0,27.2,11.8,19.5,57
2017-01-06,0.0,29.1,12.6,20.2,55
2017-01-07,0.0,27.4,14.0,20.0,54
2017-01-08,0.0,27.3,13.4,20.0,55
2017-01-09,0.0,28.5,14.8,21.0,58
2017-01-10,0.0,26.5,14.9,20.0,61
2017-01-11,0.0,24.6,11.4,17.3,60
2017-01-12,0.0,23.4,10.4,16.5,54
2017-01-13,0.0,24.4,10.0,16.8,55
2017-01-14,0.0,26.1,12.4,18.9,50
2017-01-15,0.0,27.3,15.7,21.1,51
2017-01-16,0.0,28.6,16.0,22.4,56
2017-01-17,0.0,28.8,15.9,22.7,61
2017-01-18,0.0,29.6,16.1,22.9,58
2017-01-19,0.0,29.0,15.9,22.0,53
2017-01-20,0.0,28.6,16.1,21.6,56
2017-01-21,0.0,29.6,15.6,22.2,55
2017-01-22,0.0,30.5,20.0,24.0,50
2017-01-23,0.0,30.7,18.3,23.6,51
2017-01-24,0.0,30.8,17.1,23.3,53
2017-01-25,0.0,30.2,16.8,22.9,51
2017-01-26,0.5,30.0,16.1,22.6,57
2017-01-27,0.0,28.6,17.9,22.7,57
2017-01-28,0.0,28.2,13.9,20.3,59
2017-01-29,0.0,28.9,12.6,20.5,57
2017-01-30,0.0,30.2,13.9,21.6,57
2017-01-31,0.0,31.3,14.5,22.8,54
2017-02-01,0.0,30.8,15.8,23.3,51
2017-02-02,0.0,31.5,16.5,23.6,49
2017-02-03,0.0,31.9,17.4,24.1,51
2017-02-04,0.0,32.2,17.1,24.0,51
2017-02-05,0.0,32.0,17.0,24.1,48
2017-02-06,0.0,30.0,18.4,23.3,51
2017-02-07,0.0,30.2,15.1,22.4,50
2017-02-08,0.0,32.2,16.5,23.8,48
2017-02-09,0.0,31.6,17.5,24.5,51
2017-02-10,0.0,31.0,18.0,24.5,51
2017-02-11,0.8,32.0,19.5,25.3,49
2017-02-12,0.0,31.0,19.4,24.8,53
2017-02-13,0.0,31.4,18.6,25.0,53
2017-02-14,0.0,31.6,19.0,25.7,54
2017-02-15,0.0,31.9,20.4,25.8,50
2017-02-16,0.0,31.9,18.8,25.5,50
2017-02-17,0.0,33.2,18.4,26.0,41
2017-02-18,0.0,33.4,17.9,25.3,45
2017-02-19,0.0,33.9,18.1,25.8,42
2017-02-20,0.0,34.3,18.2,26.4,39
2017-02-21,0.0,33.8,20.0,26.1,37
2017-02-22,0.0,33.2,19.0,25.2,36
2017-02-23,0.0,32.6,18.8,24.7,42
2017-02-24,0.0,32.2,16.7,24.5,37
2017-02-25,0.0,32.2,16.2,23.5,36
2017-02-26,0.0,32.9,15.4,24.2,36
2017-02-27,0.0,33.8,16.5,25.0,39
2017-02-28,0.0,34.3,17.7,25.9,35
2017-03-01,0.0,35.1,18.2,26.3,36
2017-03-02,0.0,35.2,20.4,27.3,34
2017-03-03,0.0,34.8,20.0,27.2,39
2017-03-04,0.0,33.8,21.0,26.6,33
2017-03-05,0.0,33.3,18.1,25.8,35
2017-03-06,0.0,33.0,19.0,25.8,36
2017-03-07,0.0,33.8,20.4,26.6,33
2017-03-08,0.0,33.4,21.0,26.6,41
2017-03-09,0.0,33.8,20.6,26.7,35
2017-03-10,0.0,31.8,20.5,26.2,30
2017-03-11,0.0,30.8,20.3,25.0,35
2017-03-12,0.0,30.2,16.9,23.2,24
2017-03-13,0.0,32.0,15.3,23.4,32
2017-03-14,0.0,32.7,16.2,25.0,27
2017-03-15,0.0,33.8,18.8,26.2,30
2017-03-16,3.9,33.7,21.4,26.1,50
2017-03-17,0.0,34.0,20.5,26.4,41
2017-03-18,0.0,34.2,19.6,27.1,34
2017-03-19,0.0,34.6,22.7,28.4,28
