date,rain,tmax,tmin,tmean,humidity
2010-01-13,3.8,16.8,8.1,12.1,82
2010-01-14,0.0,19.5,6.3,12.5,77
2010-01-15,0.0,20.4,9.0,13.5,77
2010-01-16,0.0,21.1,7.7,13.1,79
2010-01-17,0.0,19.4,7.4,12.8,85
2010-01-18,0.0,19.1,7.2,12.2,86
2010-01-19,0.0,18.4,7.3,12.3,88
2010-01-20,0.0,17.6,8.4,12.2,91
2010-01-21,0.0,18.8,8.9,12.8,89
2010-01-22,0.0,19.0,9.3,13.1,90
2010-01-23,0.0,21.1,8.3,13.7,85
2010-01-24,0.0,21.7,8.1,13.9,83
2010-01-25,0.0,23.1,7.9,15.2,80
2010-01-26,0.0,22.2,8.7,14.6,83
2010-01-27,0.0,22.6,8.2,14.7,75
2010-01-28,0.0,23.3,8.1,15.4,67
2010-01-29,1.2,23.9,12.0,16.6,65
2010-01-30,0.0,22.0,8.6,14.7,69
2010-01-31,0.0,20.9,8.1,14.3,70
2010-02-01,0.0,21.1,6.2,14.0,67
2010-02-02,0.0,22.1,7.2,14.6,63
