date,rain,tmax,tmin,tmean,humidity
2017-01-01,0.1,22.7,10.4,15.8,84
2017-01-02,6.2,21.2,12.2,16.3,87
2017-01-03,0.0,23.5,11.6,16.9,80
2017-01-04,0.0,22.6,12.2,16.0,85
2017-01-05,0.0,22.3,11.3,15.6,81
2017-01-06,0.0,22.6,10.2,16.2,79
2017-01-07,0.1,22.0,11.1,15.9,80
2017-01-08,0.0,21.1,12.6,16.4,82
2017-01-09,0.1,21.6,12.1,16.6,77
2017-01-10,0.0,21.6,12.6,16.2,61
2017-01-11,0.0,18.0,8.2,12.4,55
2017-01-12,0.0,17.4,6.3,11.2,61
2017-01-13,0.0,17.4,5.2,10.9,66
2017-01-14,0.0,19.0,5.6,11.9,73
2017-01-15,0.0,21.1,7.6,13.8,73
2017-01-16,0.0,23.2,7.8,15.2,73
2017-01-17,0.0,22.9,11.4,16.2,70
2017-01-18,0.0,22.1,9.1,14.9,69
2017-01-19,0.0,23.1,9.3,15.7,68
2017-01-20,0.0,23.9,10.9,16.4,64
2017-01-21,0.0,22.2,8.6,14.6,70
2017-01-22,0.0,24.5,10.1,16.6,69
2017-01-23,0.0,26.0,13.4,18.6,68
2017-01-24,0.0,24.8,12.6,17.5,75
2017-01-25,0.0,25.0,12.5,18.6,68
2017-01-26,0.0,26.0,11.2,19.1,70
2017-01-27,3.4,21.9,11.6,17.4,81
2017-01-28,0.0,21.1,11.7,15.4,82
2017-01-29,0.0,22.2,12.2,16.2,81
2017-01-30,0.0,21.5,10.2,14.8,86
2017-01-31,0.0,22.5,10.1,15.6,82
2017-02-01,0.0,23.7,10.8,17.2,76
2017-02-02,0.0,23.4,11.6,16.8,78
2017-02-03,0.0,22.8,9.8,16.0,79
2017-02-04,0.0,23.3,10.4,17.3,74
2017-02-05,0.0,25.7,12.4,18.9,74
2017-02-06,0.0,26.3,13.5,19.8,74
2017-02-07,0.0,24.4,14.1,18.4,58
2017-02-08,0.0,24.5,10.9,16.6,65
2017-02-09,0.0,25.8,10.6,18.0,63
2017-02-10,0.0,23.2,12.4,17.2,57
2017-02-11,0.0,23.4,9.9,16.9,60
2017-02-12,0.0,25.0,13.4,19.4,57
2017-02-13,0.0,26.5,12.9,19.6,66
2017-02-14,0.0,26.4,14.5,19.7,60
2017-02-15,0.0,25.4,11.6,18.3,62
2017-02-16,0.0,26.5,12.6,19.5,64
2017-02-17,0.0,27.9,13.6,21.1,63
