date,rain,tmax,tmin,tmean,humidity
2017-10-24,0.0,32.6,19.5,25.4,34
2017-10-25,0.0,32.0,19.2,25.5,34
2017-10-26,0.0,31.8,17.9,25.0,38
2017-10-27,0.0,30.7,17.0,24.0,45
2017-10-28,0.0,31.2,17.9,24.8,46
2017-10-29,0.0,30.4,18.2,24.0,45
2017-10-30,0.0,30.6,17.1,23.6,49
2017-10-31,0.0,29.1,17.0,22.7,55
2017-11-01,0.0,29.5,16.9,22.7,56
2017-11-02,0.0,30.5,17.5,23.7,50
2017-11-03,0.0,30.4,17.0,23.3,50
2017-11-04,0.0,28.1,16.9,22.3,59
2017-11-05,0.0,28.3,17.1,22.6,61
2017-11-06,0.0,28.4,17.5,22.6,64
2017-11-07,0.0,28.8,17.4,22.9,55
2017-11-08,0.0,28.8,16.6,22.3,53
2017-11-09,0.0,28.8,15.6,22.4,52
2017-11-10,0.0,28.6,16.4,21.9,53
2017-11-11,0.0,26.9,15.4,20.7,64
2017-11-12,0.0,26.9,15.5,20.4,61
2017-11-13,0.0,26.8,14.4,20.9,57
2017-11-14,0.0,26.9,15.2,21.3,55
2017-11-15,0.0,27.8,14.8,21.8,52
2017-11-16,1.1,25.9,18.1,21.8,65
2017-11-17,0.0,26.7,17.4,21.8,65
2017-11-18,0.3,24.5,17.9,20.9,61
2017-11-19,0.0,26.4,17.3,21.1,58
2017-11-20,0.0,26.0,15.9,20.3,55
2017-11-21,0.0,24.5,14.6,19.8,54
2017-11-22,0.0,25.7,14.6,19.4,50
2017-11-23,0.0,25.1,12.9,18.0,46
2017-11-24,0.0,25.1,11.6,17.6,47
2017-11-25,0.0,25.9,12.2,18.3,44
2017-11-26,0.0,26.4,13.8,19.6,45
2017-11-27,0.0,27.0,12.6,19.5,46
2017-11-28,0.0,27.0,14.5,20.0,42
2017-11-29,0.0,27.0,12.4,19.0,48
2017-11-30,0.0,26.3,12.9,18.8,49
2017-12-01,0.0,25.1,12.2,18.6,45
2017-12-02,0.0,24.4,11.6,17.7,50
2017-12-03,0.0,24.0,11.4,17.5,49
2017-12-04,0.0,24.1,12.5,18.0,51
2017-12-05,0.0,21.4,14.6,17.8,54
2017-12-06,0.1,18.7,15.2,17.0,66
2017-12-07,2.3,19.8,13.9,17.1,74
2017-12-08,0.0,24.6,14.8,18.5,61
2017-12-09,0.0,25.2,12.9,18.8,52
2017-12-10,0.0,24.6,11.9,18.1,55
2017-12-11,0.0,26.3,11.7,18.9,55
2017-12-12,0.4,24.4,16.6,19.9,63
2017-12-13,0.0,23.5,14.8,18.9,63
2017-12-14,0.2,23.5,13.7,18.2,76
2017-12-15,0.8,22.6,13.7,17.4,71
2017-12-16,0.0,21.5,12.8,17.0,54
2017-12-17,0.0,23.5,11.4,16.5,44
2017-12-18,0.0,25.0,10.2,17.0,37
2017-12-19,0.0,25.2,13.0,18.3,40
2017-12-20,0.0,24.4,12.9,17.1,55
2017-12-21,0.0,24.0,10.9,16.5,69
2017-12-22,0.0,24.2,12.4,17.2,63
2017-12-23,0.0,23.4,11.4,17.4,51
2017-12-24,0.0,23.2,10.4,16.5,55
2017-12-25,0.0,23.5,9.1,15.7,58
2017-12-26,0.0,23.3,11.6,16.8,51
2017-12-27,0.0,24.0,9.9,16.7,53
2017-12-28,0.0,23.5,9.8,15.8,58
2017-12-29,0.0,23.4,9.0,15.7,60
2017-12-30,0.0,23.9,9.8,16.4,63
2017-12-31,0.0,22.7,10.2,15.8,67
2018-01-01,0.0,21.8,10.1,15.9,68
2018-01-02,0.0,21.6,9.4,14.8,58
2018-01-03,0.0,21.0,8.2,13.6,64
2018-01-04,0.0,21.1,7.3,13.9,60
2018-01-05,0.0,22.2,8.4,14.6,56
2018-01-06,0.0,22.1,8.2,14.6,61
2018-01-07,0.0,22.0,8.9,14.7,58
2018-01-08,0.0,22.2,7.9,14.6,60
2018-01-09,0.0,22.6,7.6,14.6,62
2018-01-10,0.0,22.9,10.1,15.6,47
2018-01-11,0.0,24.4,9.4,16.4,43
2018-01-12,0.0,25.0,10.9,17.2,41
2018-01-13,0.0,25.4,12.0,18.7,43
2018-01-14,0.0,26.9,14.6,20.4,46
2018-01-15,0.0,26.9,13.2,19.1,49
