date,rain,tmax,tmin,tmean,humidity
2017-01-01,0.1,19.9,8.5,14.3,75
2017-01-02,0.0,20.4,9.7,14.6,69
2017-01-03,0.2,17.5,10.3,14.2,69
2017-01-04,8.6,16.9,11.6,13.9,71
2017-01-05,1.6,19.0,11.3,14.9,64
2017-01-06,31.8,12.6,9.3,10.8,81
2017-01-07,4.9,13.1,8.1,10.4,84
2017-01-08,3.1,13.4,6.9,9.9,80
2017-01-09,0.0,15.1,5.4,9.5,63
2017-01-10,0.0,14.2,4.0,8.7,66
2017-01-11,0.0,14.1,3.7,8.5,70
2017-01-12,0.0,14.4,4.6,8.7,67
2017-01-13,0.0,15.2,5.2,9.3,62
2017-01-14,0.0,14.6,5.5,9.9,54
2017-01-15,2.4,19.8,9.6,13.6,53
2017-01-16,15.4,12.9,6.4,9.7,82
2017-01-17,2.3,13.1,5.7,9.1,80
2017-01-18,3.0,13.1,4.9,9.2,79
2017-01-19,0.0,16.9,4.7,9.8,71
2017-01-20,0.0,18.1,4.9,11.3,59
2017-01-21,0.0,15.0,7.9,11.2,64
2017-01-22,0.0,19.1,7.9,13.4,71
2017-01-23,0.1,18.5,9.2,13.8,65
2017-01-24,6.3,15.2,12.6,13.8,72
2017-01-25,22.0,14.4,11.4,13.1,81
2017-01-26,47.7,15.0,11.0,13.0,89
2017-01-27,3.4,17.9,8.8,12.9,78
2017-01-28,0.2,16.4,7.9,11.8,82
2017-01-29,0.0,16.7,9.7,12.9,77
2017-01-30,2.0,16.4,9.2,12.6,80
2017-01-31,0.6,19.0,8.9,13.1,79
2017-02-01,0.0,18.7,9.1,13.4,73
2017-02-02,0.0,19.2,9.6,13.9,72
2017-02-03,0.0,18.6,11.4,14.3,69
2017-02-04,12.7,20.0,11.2,14.6,70
2017-02-05,52.4,15.9,10.7,13.6,88
2017-02-06,1.0,17.4,8.9,12.8,77
2017-02-07,0.0,18.9,8.8,13.5,75
2017-02-08,0.1,18.0,10.0,13.8,75
2017-02-09,0.0,18.8,7.9,12.9,71
2017-02-10,0.0,19.3,7.2,12.5,67
2017-02-11,0.0,19.5,9.9,13.7,68
2017-02-12,0.0,20.2,8.8,14.2,65
2017-02-13,0.0,22.6,9.0,14.8,66
2017-02-14,0.0,20.2,9.8,14.7,57
2017-02-15,0.0,22.0,11.7,16.5,63
2017-02-16,0.0,26.1,13.4,19.5,63
2017-02-17,0.0,25.0,14.2,19.3,66
2017-02-18,0.0,24.9,15.7,19.5,69
2017-02-19,1.4,24.7,15.2,19.3,60
2017-02-20,15.1,20.8,13.1,16.4,73
2017-02-21,4.5,18.9,12.1,14.8,74
2017-02-22,1.2,21.4,9.1,14.8,58
2017-02-23,0.0,21.9,9.6,14.6,51
2017-02-24,0.0,23.0,8.2,15.0,52
2017-02-25,0.0,24.0,10.4,15.8,54
2017-02-26,0.0,24.3,10.0,16.3,55
2017-02-27,0.0,24.2,11.2,17.4,59
2017-02-28,1.7,21.5,14.1,17.8,61
2017-03-01,0.4,22.5,11.9,16.2,64
2017-03-02,1.3,22.4,12.2,16.5,57
2017-03-03,0.0,22.5,10.6,15.9,53
2017-03-04,0.0,24.1,10.6,17.0,40
2017-03-05,0.0,24.5,10.2,16.4,41
2017-03-06,0.0,24.1,10.4,16.8,47
2017-03-07,1.2,18.9,12.7,15.2,61
2017-03-08,20.2,16.6,10.5,14.0,75
2017-03-09,13.2,16.2,10.5,13.0,78
2017-03-10,6.7,16.5,8.9,12.4,76
2017-03-11,5.6,15.3,8.6,11.5,78
2017-03-12,0.0,19.6,6.9,12.5,59
2017-03-13,0.0,20.0,8.1,13.6,56
2017-03-14,0.0,22.1,9.0,15.3,56
2017-03-15,0.0,21.9,10.0,15.4,62
2017-03-16,0.0,22.9,11.3,16.7,63
2017-03-17,0.0,22.5,11.9,16.9,64
2017-03-18,0.0,24.8,11.3,17.2,61
2017-03-19,0.0,26.4,12.4,18.4,55
2017-03-20,0.0,28.4,12.9,19.9,49
2017-03-21,0.0,26.5,15.6,21.0,53
2017-03-22,0.0,30.1,18.7,23.8,47
2017-03-23,4.0,28.8,16.7,22.2,53
2017-03-24,0.0,29.6,15.8,22.2,50
2017-03-25,0.0,29.9,16.0,22.3,54
2017-03-26,0.0,32.5,15.6,23.9,44
2017-03-27,1.1,33.8,17.8,25.5,43
2017-03-28,0.0,34.2,19.5,26.2,44
2017-03-29,0.0,33.6,20.8,26.9,41
2017-03-30,0.0,34.3,18.5,26.2,41
2017-03-31,0.1,33.6,19.6,25.9,46
2017-04-01,0.7,33.8,20.0,25.9,39
2017-04-02,0.0,32.7,17.3,24.5,40
2017-04-03,0.0,33.3,18.5,25.4,37
2017-04-04,0.5,31.0,19.8,24.9,40
2017-04-05,34.7,29.6,17.5,22.2,61
2017-04-06,82.4,21.7,14.9,18.7,81
2017-04-07,2.1,23.1,13.6,18.9,60
2017-04-08,0.0,25.0,14.3,19.6,47
