date,rain,tmax,tmin,tmean,humidity
2017-01-03,0.0,25.3,14.9,19.4,63
2017-01-04,0.0,25.1,13.5,19.2,62
2017-01-05,0.0,25.9,13.1,19.3,60
2017-01-06,0.0,27.4,12.7,19.7,57
2017-01-07,0.0,27.4,13.1,20.0,55
2017-01-08,0.0,27.3,14.7,20.8,65
2017-01-09,0.0,27.0,15.2,21.0,69
2017-01-10,0.0,26.2,16.8,20.5,67
2017-01-11,0.0,23.5,13.6,18.2,59
2017-01-12,0.0,22.5,12.5,17.1,52
2017-01-13,0.0,23.4,11.2,16.6,50
2017-01-14,0.0,24.5,11.9,17.4,49
2017-01-15,0.0,26.8,12.1,19.5,46
2017-01-16,0.0,28.0,12.9,20.0,55
2017-01-17,0.0,28.7,14.2,21.2,57
2017-01-18,0.0,28.9,14.8,21.9,56
2017-01-19,0.0,29.0,15.6,21.5,56
2017-01-20,0.0,28.9,16.1,21.8,57
2017-01-21,0.0,29.7,15.9,22.1,57
2017-01-22,0.0,30.3,16.1,22.9,52
2017-01-23,0.0,29.8,16.9,23.0,51
2017-01-24,0.0,30.0,16.3,22.5,52
2017-01-25,0.0,29.3,15.7,22.5,51
2017-01-26,0.7,28.6,14.6,21.2,61
2017-01-27,0.0,29.3,17.5,22.9,61
2017-01-28,0.0,27.8,16.4,21.3,52
2017-01-29,0.0,28.0,14.4,20.3,55
2017-01-30,0.0,29.5,14.1,21.2,52
2017-01-31,0.0,30.3,14.7,22.0,53
2017-02-01,0.0,30.5,16.8,23.3,47
2017-02-02,0.0,30.4,17.1,23.2,46
2017-02-03,0.0,30.6,17.5,23.4,46
2017-02-04,0.0,31.2,16.6,23.5,44
2017-02-05,0.0,31.0,14.8,22.6,50
2017-02-06,0.0,31.1,16.5,23.8,49
2017-02-07,0.0,30.5,18.4,23.4,47
2017-02-08,0.0,31.0,16.0,23.1,46
2017-02-09,0.0,31.6,15.8,23.7,46
2017-02-10,0.0,30.5,19.3,24.8,48
2017-02-11,1.9,30.8,18.6,23.6,57
2017-02-12,0.1,29.6,17.8,23.3,60
2017-02-13,0.0,29.4,17.1,23.3,63
2017-02-14,0.0,31.3,19.2,25.0,54
2017-02-15,0.0,31.1,19.2,24.6,55
2017-02-16,0.0,31.4,19.0,24.4,45
2017-02-17,0.0,32.6,18.9,25.3,41
2017-02-18,0.0,33.8,19.5,25.9,40
2017-02-19,0.0,33.8,18.3,25.3,42
2017-02-20,0.0,34.5,17.0,25.4,44
2017-02-21,0.0,34.5,18.8,26.3,39
2017-02-22,0.0,33.8,18.5,25.6,40
2017-02-23,0.0,32.8,17.4,25.0,41
2017-02-24,0.0,31.6,19.6,24.7,33
2017-02-25,0.0,31.8,16.9,23.3,32
2017-02-26,0.0,33.9,15.4,24.4,35
2017-02-27,0.0,34.5,17.6,25.7,34
2017-02-28,0.0,34.2,18.4,25.8,31
2017-03-01,0.0,34.8,17.6,26.2,33
2017-03-02,0.0,35.2,19.9,27.8,32
2017-03-03,0.0,34.5,21.5,27.7,35
2017-03-04,0.0,35.2,21.5,28.1,33
2017-03-05,0.0,33.5,21.1,26.9,39
2017-03-06,0.0,32.5,21.1,26.1,30
2017-03-07,0.3,31.2,19.9,25.6,38
2017-03-08,15.0,31.6,20.2,25.3,71
2017-03-09,0.0,32.7,19.5,26.4,54
2017-03-10,0.0,32.8,20.3,26.4,37
2017-03-11,0.0,31.2,18.5,24.6,42
2017-03-12,0.0,30.3,18.5,23.7,37
2017-03-13,0.0,30.9,17.0,23.3,36
2017-03-14,0.0,31.9,18.6,24.9,33
2017-03-15,0.0,32.5,19.2,25.6,31
2017-03-16,0.0,33.7,19.7,26.5,30
2017-03-17,0.0,35.8,21.0,27.6,42
2017-03-18,0.0,34.5,19.8,26.7,33
2017-03-19,0.0,35.8,21.0,28.2,32
2017-03-20,0.0,33.7,21.5,26.8,37
2017-03-21,0.0,34.8,20.7,27.3,28
2017-03-22,0.0,36.5,19.2,28.0,30
2017-03-23,0.0,38.1,21.2,29.9,31
2017-03-24,0.0,38.8,22.6,30.9,31
2017-03-25,0.0,39.4,24.4,32.2,26
2017-03-26,0.0,38.8,22.6,30.9,30
2017-03-27,0.0,39.2,24.7,31.6,30
2017-03-28,0.0,40.3,23.4,32.2,29
2017-03-29,0.0,40.6,24.0,32.5,28
2017-03-30,0.0,40.6,24.2,32.6,30
2017-03-31,0.0,40.8,24.5,32.4,31
2017-04-01,0.0,40.8,24.6,32.6,29
2017-04-02,0.0,39.4,26.5,32.8,28
2017-04-03,0.0,40.0,25.6,33.1,30
2017-04-04,0.1,40.3,26.8,33.1,33
2017-04-05,0.0,40.3,26.2,33.7,34
2017-04-06,0.0,40.8,26.0,33.3,37
2017-04-07,0.0,40.8,25.1,33.2,26
2017-04-08,0.0,40.5,25.5,32.8,21
2017-04-09,0.0,40.1,25.9,32.8,19
2017-04-10,0.0,38.8,25.6,31.6,13
2017-04-11,0.0,39.2,22.5,31.0,14
2017-04-12,0.0,40.2,22.6,31.7,16
2017-04-13,0.0,42.2,22.6,32.6,16
2017-04-14,0.0,42.0,23.7,32.9,17
2017-04-15,0.0,42.2,23.6,32.8,23
2017-04-16,0.0,43.8,24.9,34.0,17
2017-04-17,0.0,42.0,25.0,34.0,17
2017-04-18,0.0,43.7,25.2,35.0,15
2017-04-19,0.0,43.5,25.6,34.9,16
2017-04-20,0.0,43.0,26.0,34.6,15
2017-04-21,0.0,42.3,27.8,35.4,18
2017-04-22,0.0,43.2,27.5,35.4,17
2017-04-23,0.0,41.5,28.5,34.8,20
2017-04-24,0.0,41.0,28.0,34.1,18
2017-04-25,0.0,40.0,27.2,33.6,20
2017-04-26,0.0,40.6,25.6,33.6,21
2017-04-27,0.0,41.2,25.4,33.4,17
2017-04-28,0.0,41.5,25.8,33.8,15
2017-04-29,0.1,41.4,26.0,33.7,19
2017-04-30,0.0,39.5,26.3,33.2,20
2017-05-01,0.0,39.7,25.8,33.6,23
2017-05-02,0.0,39.8,26.9,33.2,32
2017-05-03,1.6,39.2,27.2,33.3,33
2017-05-04,2.3,40.3,28.8,34.0,32
2017-05-05,0.0,43.0,26.8,35.7,25
2017-05-06,3.4,40.8,30.2,34.7,31
2017-05-07,0.3,40.2,27.8,33.2,35
2017-05-08,0.0,41.3,26.6,33.6,31
2017-05-09,0.2,41.2,26.5,34.4,29
2017-05-10,0.1,39.5,27.4,32.9,36
2017-05-11,3.6,38.6,27.2,32.8,43
2017-05-12,2.1,39.5,27.2,33.6,43
2017-05-13,0.9,43.2,29.0,35.5,35
2017-05-14,0.0,43.7,29.6,36.9,30
2017-05-15,0.0,44.2,31.8,38.0,24
2017-05-16,0.0,44.2,31.6,37.8,22
2017-05-17,0.0,44.0,32.2,38.0,20
2017-05-18,0.0,44.0,32.0,37.8,19
2017-05-19,0.0,43.8,29.8,37.1,19
2017-05-20,0.0,43.6,29.1,36.8,18
2017-05-21,0.0,44.1,30.5,37.3,15
2017-05-22,0.0,43.8,29.1,36.6,19
2017-05-23,0.0,43.0,29.5,36.7,20
2017-05-24,0.0,43.8,28.9,36.9,20
2017-05-25,0.0,43.8,30.5,37.4,22
2017-05-26,0.0,44.0,32.1,38.1,26
2017-05-27,1.1,43.8,32.5,37.9,28
2017-05-28,1.7,42.4,26.8,35.1,35
