date,rain,tmax,tmin,tmean,humidity
2017-01-02,0.0,24.1,12.6,18.2,67
2017-01-03,0.0,22.6,11.9,16.6,72
2017-01-04,0.0,23.3,11.1,16.7,69
2017-01-05,0.0,24.6,13.7,18.7,58
2017-01-06,0.0,25.8,12.0,18.6,58
2017-01-07,0.0,24.1,12.9,18.6,57
2017-01-08,0.0,24.0,14.5,18.7,64
2017-01-09,0.1,23.2,13.3,17.7,75
2017-01-10,0.0,20.5,12.2,15.7,72
2017-01-11,0.0,19.5,9.8,14.2,60
2017-01-12,0.0,18.3,8.1,12.9,51
2017-01-13,0.0,18.5,6.6,12.3,56
2017-01-14,0.0,21.1,7.7,13.8,53
2017-01-15,0.0,25.0,11.4,17.3,56
2017-01-16,0.1,25.4,13.9,19.3,61
2017-01-17,0.0,24.5,12.6,18.2,66
2017-01-18,0.5,24.2,12.5,18.1,72
2017-01-19,0.4,23.9,13.8,18.0,74
2017-01-20,0.0,25.1,12.9,18.3,69
2017-01-21,0.0,25.8,13.0,19.1,63
2017-01-22,0.0,26.8,15.7,20.4,61
2017-01-23,0.0,27.5,15.6,20.8,62
2017-01-24,0.0,28.0,16.0,21.4,59
2017-01-25,0.0,28.5,15.9,21.6,57
2017-01-26,0.3,28.4,15.6,21.6,52
2017-01-27,0.0,22.5,14.2,17.6,67
2017-01-28,0.0,23.1,11.4,16.3,64
2017-01-29,0.0,25.2,11.2,17.7,65
2017-01-30,0.0,27.0,15.1,20.3,54
2017-01-31,0.0,28.3,13.3,20.1,53
2017-02-01,0.0,27.2,12.6,20.0,50
2017-02-02,0.0,27.7,14.0,20.3,53
2017-02-03,0.0,28.8,13.8,20.7,54
2017-02-04,0.0,29.8,15.4,21.7,53
2017-02-05,0.0,29.8,16.6,22.9,49
2017-02-06,0.0,25.4,15.0,19.6,44
2017-02-07,0.0,25.2,13.0,18.3,59
2017-02-08,0.0,29.2,12.4,20.8,55
2017-02-09,0.0,27.1,16.8,20.9,43
2017-02-10,0.0,24.1,13.6,18.3,52
2017-02-11,3.2,23.2,14.1,17.5,66
2017-02-12,0.4,25.4,13.9,19.2,76
2017-02-13,0.4,26.0,16.1,20.8,76
2017-02-14,0.0,27.3,16.2,21.4,71
2017-02-15,0.0,28.3,15.9,21.2,69
2017-02-16,0.0,28.8,14.6,21.7,54
2017-02-17,0.0,30.4,16.1,23.2,47
2017-02-18,0.0,30.1,16.8,22.8,52
2017-02-19,0.0,31.7,16.0,23.6,47
2017-02-20,0.0,32.3,19.8,25.6,37
2017-02-21,0.0,30.7,19.4,24.2,38
2017-02-22,0.0,29.1,16.0,22.0,40
2017-02-23,0.0,29.0,14.7,21.5,42
2017-02-24,0.0,27.6,14.9,20.6,38
2017-02-25,0.0,28.8,13.5,20.9,35
2017-02-26,0.0,30.6,16.0,23.4,34
2017-02-27,0.0,30.8,15.4,22.7,37
2017-02-28,0.0,32.8,17.0,24.4,37
2017-03-01,0.0,33.5,17.9,26.0,33
2017-03-02,0.0,32.9,18.5,25.6,36
2017-03-03,0.0,31.2,17.2,24.0,41
2017-03-04,0.0,29.9,17.2,23.1,47
2017-03-05,0.0,28.9,17.5,22.6,40
2017-03-06,0.0,28.5,15.9,22.1,29
2017-03-07,0.0,29.3,16.9,22.9,32
2017-03-08,0.0,30.4,17.7,24.4,38
2017-03-09,0.0,30.5,19.4,24.6,37
2017-03-10,0.1,27.2,18.0,22.5,45
2017-03-11,0.0,27.6,16.1,21.3,46
2017-03-12,0.0,26.2,12.8,19.6,36
2017-03-13,0.0,27.5,13.9,20.2,35
2017-03-14,0.0,28.1,14.6,21.4,34
2017-03-15,0.0,29.7,15.6,22.4,30
2017-03-16,0.0,32.2,16.8,24.6,29
2017-03-17,0.0,31.8,18.2,25.1,31
2017-03-18,0.0,31.9,17.1,25.1,36
2017-03-19,0.4,30.8,18.4,24.1,47
2017-03-20,0.0,30.8,16.9,23.8,48
2017-03-21,0.0,32.9,17.7,25.9,36
