date,rain,tmax,tmin,tmean,humidity
2009-02-16,0.0,32.7,19.6,26.0,33
2009-02-17,0.0,33.0,19.5,26.0,36
2009-02-18,0.0,33.9,19.8,26.8,33
2009-02-19,0.0,33.6,19.8,26.3,28
2009-02-20,0.0,34.2,20.1,26.8,22
2009-02-21,0.0,34.7,19.8,26.8,21
2009-02-22,0.0,34.8,17.9,26.4,26
2009-02-23,0.0,36.4,18.5,27.9,29
2009-02-24,0.0,37.4,20.7,29.6,27
2009-02-25,0.0,36.9,21.2,28.6,21
2009-02-26,0.0,36.1,20.9,28.2,25
2009-02-27,0.0,37.8,21.3,29.2,26
2009-02-28,0.0,35.9,21.2,28.6,26
2009-03-01,0.0,35.1,19.2,27.4,25
2009-03-02,0.0,36.6,18.7,28.2,25
2009-03-03,0.0,38.2,19.1,28.9,28
2009-03-04,0.0,38.2,19.1,29.7,25
2009-03-05,0.0,39.9,20.5,30.0,19
2009-03-06,0.0,37.3,20.4,29.2,20
2009-03-07,0.0,37.7,19.0,28.8,22
2009-03-08,0.0,38.4,21.5,30.2,20
2009-03-09,0.1,37.9,22.1,30.0,28
2009-03-10,1.7,35.4,24.7,29.9,31
2009-03-11,0.0,36.1,23.8,29.5,31
2009-03-12,0.0,36.1,21.9,28.8,21
2009-03-13,0.0,36.4,18.4,27.6,16
2009-03-14,0.0,36.6,18.9,27.8,19
2009-03-15,0.0,32.1,22.9,27.0,23
2009-03-16,0.6,34.5,22.5,28.0,28
2009-03-17,0.0,35.9,20.5,28.7,26
2009-03-18,0.0,37.5,22.1,29.7,19
2009-03-19,0.0,37.1,20.4,29.4,21
2009-03-20,0.4,37.4,22.4,29.7,24
2009-03-21,1.6,36.4,23.1,28.9,36
2009-03-22,0.0,34.8,19.8,28.1,37
2009-03-23,0.3,36.2,21.4,28.6,30
2009-03-24,0.7,36.1,20.6,28.5,33
2009-03-25,0.0,36.6,21.5,29.0,34
2009-03-26,0.0,36.5,21.8,29.2,31
2009-03-27,0.0,36.2,21.0,29.2,19
2009-03-28,0.0,38.2,21.1,30.2,20
2009-03-29,0.0,39.7,22.9,31.7,22
2009-03-30,0.0,39.2,25.3,32.1,25
2009-03-31,0.0,38.9,25.4,31.9,23
2009-04-01,0.0,39.1,23.1,31.7,22
2009-04-02,0.0,39.7,23.1,32.2,23
2009-04-03,0.0,40.5,25.8,33.1,22
2009-04-04,0.0,41.6,25.6,34.0,21
2009-04-05,0.0,40.5,27.5,34.1,19
2009-04-06,0.0,40.0,25.2,33.4,17
2009-04-07,1.0,39.8,26.0,32.6,23
2009-04-08,0.0,35.8,25.2,30.2,34
2009-04-09,0.4,36.2,22.9,30.0,42
2009-04-10,0.0,37.5,25.6,31.1,29
2009-04-11,0.0,38.8,24.8,31.4,21
2009-04-12,0.0,39.2,24.6,31.7,17
2009-04-13,0.0,40.1,24.8,32.3,19
2009-04-14,0.0,40.8,25.0,33.0,19
2009-04-15,0.0,41.0,24.7,33.1,19
2009-04-16,0.0,40.6,26.5,33.6,26
2009-04-17,0.0,40.0,26.9,33.5,32
2009-04-18,0.0,42.2,26.8,34.7,17
2009-04-19,0.0,42.7,24.6,34.6,12
2009-04-20,0.0,44.4,25.5,35.1,13
2009-04-21,0.0,44.3,25.0,35.6,14
2009-04-22,0.0,43.3,29.2,36.3,12
2009-04-23,0.0,41.9,28.4,35.0,9
2009-04-24,0.0,41.6,25.5,33.9,8
2009-04-25,0.0,41.2,24.3,33.6,11
2009-04-26,0.0,41.3,25.3,34.1,14
2009-04-27,0.0,42.5,27.2,34.9,10
2009-04-28,0.0,43.9,26.6,35.9,11
2009-04-29,0.0,45.0,25.6,36.2,15
2009-04-30,0.0,44.8,26.5,36.9,14
2009-05-01,0.0,44.7,28.5,37.2,12
2009-05-02,0.0,45.2,28.6,37.5,14
2009-05-03,0.0,44.6,27.6,37.1,15
2009-05-04,1.6,41.5,29.2,34.3,36
2009-05-05,0.0,42.0,27.4,35.4,24
2009-05-06,0.0,43.2,26.1,35.6,16
2009-05-07,0.0,41.9,29.3,35.8,15
2009-05-08,0.0,42.2,25.8,35.2,17
2009-05-09,0.0,42.8,27.2,35.6,16
2009-05-10,0.0,44.2,26.7,36.3,15
2009-05-11,0.0,43.8,26.7,36.8,15
2009-05-12,0.0,43.1,29.1,36.2,27
2009-05-13,0.1,41.0,29.3,35.3,32
2009-05-14,0.0,41.8,28.6,35.7,26
2009-05-15,0.2,42.9,28.7,36.6,26
2009-05-16,0.0,42.6,29.1,36.6,25
2009-05-17,0.0,43.1,29.4,36.6,29
2009-05-18,0.0,42.3,29.8,36.8,25
2009-05-19,0.0,43.1,30.9,37.5,25
2009-05-20,0.1,41.8,30.0,35.9,35
2009-05-21,0.0,40.1,29.7,34.7,46
2009-05-22,0.7,39.7,30.0,34.6,46
2009-05-23,0.5,39.8,29.8,34.0,45
2009-05-24,1.9,39.8,29.0,33.4,47
