date,rain,tmax,tmin,tmean,humidity
2001-12-11,0.0,29.3,17.5,22.5,45
2001-12-12,0.0,29.4,14.6,21.7,50
2001-12-13,0.0,27.6,16.1,21.4,56
2001-12-14,0.0,26.8,15.0,20.3,54
2001-12-15,0.0,27.6,13.5,20.4,48
2001-12-16,0.0,27.6,14.6,20.8,50
2001-12-17,0.0,27.2,14.8,20.6,49
2001-12-18,0.0,27.5,13.5,20.1,45
2001-12-19,0.0,27.3,13.0,20.0,49
2001-12-20,0.0,25.3,13.9,19.0,53
2001-12-21,0.0,23.6,12.1,17.3,47
2001-12-22,0.0,23.1,9.9,16.0,45
2001-12-23,0.0,23.3,9.2,15.8,53
2001-12-24,0.0,23.9,8.9,16.0,53
2001-12-25,0.0,25.0,8.8,16.7,50
2001-12-26,0.0,26.9,10.8,18.8,46
2001-12-27,0.0,27.4,12.8,19.9,47
2001-12-28,0.0,26.0,14.1,20.1,51
2001-12-29,0.0,25.3,14.4,19.7,53
2001-12-30,0.0,25.1,13.9,19.1,51
2001-12-31,0.0,24.8,12.8,18.4,45
2002-01-01,0.0,24.8,12.1,17.8,36
2002-01-02,0.0,24.1,10.8,16.8,38
2002-01-03,0.0,22.9,9.2,15.6,44
2002-01-04,0.0,23.0,8.8,15.6,45
2002-01-05,0.0,23.7,9.8,16.5,43
2002-01-06,0.0,24.2,11.9,17.5,48
2002-01-07,0.0,24.2,12.6,17.8,48
2002-01-08,0.0,24.2,12.6,18.1,49
2002-01-09,0.0,23.9,11.4,17.2,49
2002-01-10,0.0,24.6,10.2,17.0,46
2002-01-11,0.0,25.1,9.1,16.9,46
2002-01-12,0.0,26.6,9.5,17.7,45
2002-01-13,0.0,27.6,11.0,18.9,46
2002-01-14,0.0,29.4,14.2,21.1,42
2002-01-15,0.0,28.8,14.1,21.3,42
2002-01-16,0.0,26.9,13.8,20.9,53
2002-01-17,0.0,26.5,13.5,20.4,42
2002-01-18,0.0,24.7,14.1,19.0,53
2002-01-19,0.0,23.6,14.2,18.5,64
2002-01-20,0.0,24.2,14.9,18.4,72
2002-01-21,0.0,24.3,13.5,18.2,72
2002-01-22,0.0,25.3,13.8,19.0,66
2002-01-23,0.0,24.3,12.9,18.3,58
2002-01-24,0.0,24.7,11.9,18.0,51
2002-01-25,0.0,24.8,10.9,18.0,46
2002-01-26,0.0,25.4,11.6,18.3,52
2002-01-27,0.0,24.4,12.5,18.3,43
2002-01-28,0.0,21.2,10.8,15.8,36
2002-01-29,0.0,21.0,9.7,14.9,42
2002-01-30,0.0,21.1,8.5,14.4,41
2002-01-31,0.0,23.5,8.8,15.7,41
2002-02-01,0.0,25.4,9.7,17.3,40
2002-02-02,0.0,25.8,11.1,18.3,41
2002-02-03,0.0,25.2,11.6,18.0,39
2002-02-04,0.0,26.1,11.8,18.8,37
2002-02-05,0.0,29.2,15.9,22.6,42
2002-02-06,0.0,28.8,15.6,22.1,38
2002-02-07,0.0,27.6,13.3,20.3,35
2002-02-08,0.0,27.7,12.0,19.5,38
2002-02-09,0.0,25.2,12.8,19.0,49
2002-02-10,9.2,25.5,16.0,20.0,65
2002-02-11,9.2,24.0,15.1,18.9,76
2002-02-12,0.0,23.4,11.7,17.0,64
2002-02-13,0.0,24.0,11.5,17.2,57
2002-02-14,0.0,25.6,12.0,18.2,56
2002-02-15,0.0,27.0,11.9,19.1,49
2002-02-16,0.0,29.8,12.0,20.8,46
2002-02-17,0.8,29.9,16.3,22.7,45
2002-02-18,0.1,28.8,16.3,22.5,56
2002-02-19,0.0,30.0,16.5,22.9,52
2002-02-20,0.0,30.8,18.2,24.0,47
2002-02-21,0.0,31.5,15.6,23.3,43
2002-02-22,0.0,33.8,17.2,25.2,38
2002-02-23,0.0,33.4,18.4,26.3,36
2002-02-24,0.0,31.6,16.9,24.4,38
2002-02-25,0.0,29.3,19.4,23.9,32
2002-02-26,0.0,29.7,17.1,23.0,36
2002-02-27,0.0,31.6,17.0,23.9,29
2002-02-28,0.0,32.6,16.3,24.6,35
2002-03-01,0.0,34.3,17.4,25.9,32
2002-03-02,0.0,34.7,19.5,27.1,28
2002-03-03,0.0,29.2,18.5,23.4,37
2002-03-04,0.0,29.0,14.7,21.7,32
2002-03-05,0.0,30.9,14.4,22.8,29
2002-03-06,0.0,31.9,16.7,24.5,26
2002-03-07,0.0,32.4,18.4,25.7,25
2002-03-08,0.0,32.9,18.4,25.3,28
2002-03-09,0.0,32.9,19.6,26.5,33
2002-03-10,0.0,33.8,20.4,27.1,27
2002-03-11,0.0,33.2,21.1,27.2,32
2002-03-12,0.0,33.4,19.9,26.8,25
2002-03-13,0.0,31.2,22.2,26.2,31
2002-03-14,0.8,29.6,20.0,24.4,48
2002-03-15,0.0,30.2,17.2,23.5,58
2002-03-16,0.0,33.2,19.9,26.4,38
2002-03-17,0.0,34.3,20.8,27.6,27
2002-03-18,0.0,35.4,18.7,27.6,23
2002-03-19,0.0,36.0,18.4,27.5,23
2002-03-20,0.0,36.5,18.7,28.1,22
2002-03-21,0.0,36.8,20.4,28.7,23
2002-03-22,0.0,35.9,20.7,28.7,25
2002-03-23,0.0,36.6,19.9,28.4,25
2002-03-24,0.0,36.7,21.3,29.2,23
2002-03-25,0.0,36.0,22.0,29.1,22
2002-03-26,0.0,35.9,20.7,28.6,21
2002-03-27,0.0,36.6,20.7,28.8,21
2002-03-28,0.0,36.2,22.5,29.5,24
2002-03-29,0.0,36.2,22.6,29.4,17
2002-03-30,0.0,37.2,19.1,28.9,16
2002-03-31,0.0,38.4,20.1,29.8,16
2002-04-01,0.0,39.1,22.4,31.4,17
2002-04-02,0.0,39.0,23.1,31.2,23
2002-04-03,0.0,38.0,19.0,29.4,13
2002-04-04,0.0,37.8,22.2,30.0,19
2002-04-05,0.0,39.1,22.5,31.5,16
2002-04-06,0.0,40.1,24.1,32.5,19
2002-04-07,0.0,38.8,24.7,32.3,22
2002-04-08,0.2,35.3,25.2,30.4,32
2002-04-09,0.0,36.3,23.1,29.8,31
2002-04-10,0.0,36.5,22.5,29.6,25
2002-04-11,0.0,36.7,20.3,29.7,25
2002-04-12,0.0,38.6,22.7,30.6,22
2002-04-13,0.0,39.2,22.1,31.8,20
2002-04-14,0.0,40.3,24.2,32.3,21
2002-04-15,0.0,40.3,26.1,33.1,21
2002-04-16,0.0,40.4,26.9,33.7,22
2002-04-17,0.0,40.2,26.9,33.5,20
2002-04-18,0.0,40.4,27.0,33.6,21
2002-04-19,0.0,41.5,26.4,34.0,19
2002-04-20,0.4,39.6,28.9,34.0,22
2002-04-21,0.0,40.4,25.3,33.4,21
2002-04-22,0.0,40.7,25.2,33.2,18
2002-04-23,0.0,40.1,26.1,33.1,23
2002-04-24,0.0,40.3,27.0,33.9,23
2002-04-25,0.0,40.1,27.5,33.7,17
2002-04-26,0.0,39.6,26.3,32.6,14
2002-04-27,0.0,40.4,23.0,32.1,16
2002-04-28,0.0,41.9,24.2,33.5,14
2002-04-29,0.0,41.3,25.4,33.9,14
2002-04-30,0.0,41.2,24.6,33.1,18
2002-05-01,0.0,42.9,27.4,35.2,18
2002-05-02,0.0,43.0,27.1,35.6,14
2002-05-03,0.0,43.8,28.9,36.1,12
2002-05-04,0.0,42.9,26.7,35.0,17
2002-05-05,0.0,43.0,28.9,36.2,19
2002-05-06,0.0,42.7,31.0,36.4,19
2002-05-07,0.0,42.0,28.3,35.0,24
2002-05-08,0.0,42.5,29.8,35.7,19
2002-05-09,0.0,42.5,30.2,36.2,20
2002-05-10,0.0,41.1,30.5,35.9,29
2002-05-11,0.0,41.2,30.6,35.8,31
2002-05-12,0.0,40.7,29.7,35.2,35
2002-05-13,0.0,41.0,29.5,35.2,36
2002-05-14,0.0,41.8,30.6,35.8,35
2002-05-15,1.0,41.2,31.0,35.6,36
2002-05-16,0.0,42.7,31.6,36.9,29
2002-05-17,0.0,43.0,32.6,37.4,28
2002-05-18,0.0,43.6,30.8,37.1,30
2002-05-19,0.0,40.5,28.0,34.3,33
2002-05-20,0.0,39.4,26.4,33.0,40
2002-05-21,0.0,40.2,27.0,33.6,37
2002-05-22,0.0,41.1,28.3,34.8,31
2002-05-23,0.0,41.5,29.9,35.5,28
