date,rain,tmax,tmin,tmean,humidity
2017-01-03,0.0,27.5,14.4,20.8,52
2017-01-04,0.0,28.6,13.6,20.3,51
2017-01-05,0.0,29.6,15.9,21.7,43
2017-01-06,0.0,31.4,14.1,21.6,43
2017-01-07,0.0,28.5,14.0,21.1,40
2017-01-08,0.0,28.3,15.1,21.3,53
2017-01-09,0.0,29.2,16.0,22.1,49
2017-01-10,0.0,26.5,14.3,20.2,50
2017-01-11,0.0,25.3,12.5,18.9,50
2017-01-12,0.0,24.8,11.4,18.0,46
2017-01-13,0.0,25.5,11.1,17.7,46
2017-01-14,0.0,27.8,12.9,20.2,46
2017-01-15,0.1,30.3,17.4,23.2,50
2017-01-16,0.0,30.6,17.2,23.7,53
2017-01-17,0.0,29.5,15.8,22.4,47
2017-01-18,0.0,29.8,15.7,22.4,50
2017-01-19,0.0,30.5,18.7,23.4,52
2017-01-20,0.0,29.5,16.4,22.5,55
2017-01-21,0.0,31.5,16.7,23.4,49
2017-01-22,0.0,32.1,18.8,24.9,46
2017-01-23,0.0,32.7,17.5,25.1,47
2017-01-24,0.0,32.8,18.8,25.9,44
2017-01-25,0.0,32.2,19.5,26.0,40
2017-01-26,0.0,33.3,19.8,25.9,40
2017-01-27,0.0,28.0,16.6,21.9,48
2017-01-28,0.0,28.6,14.4,20.8,50
2017-01-29,0.0,30.5,14.4,21.6,48
2017-01-30,0.0,32.8,17.5,24.2,44
2017-01-31,0.0,31.4,17.2,23.7,42
2017-02-01,0.0,31.5,15.9,23.5,36
2017-02-02,0.0,33.1,17.9,24.7,41
2017-02-03,0.0,34.0,19.5,26.0,41
2017-02-04,0.0,34.5,19.9,26.5,41
2017-02-05,0.0,31.9,18.8,24.8,45
2017-02-06,0.0,29.0,17.1,22.2,32
2017-02-07,0.0,31.6,15.7,22.7,35
2017-02-08,0.0,34.0,17.3,25.3,39
2017-02-09,0.0,31.1,18.1,24.3,35
2017-02-10,0.0,30.9,17.6,23.6,40
2017-02-11,0.0,33.8,18.2,24.9,43
2017-02-12,0.0,30.6,15.9,23.3,42
2017-02-13,0.0,33.2,18.5,25.3,46
2017-02-14,0.0,33.2,20.1,26.5,45
2017-02-15,0.0,33.0,20.8,26.6,47
2017-02-16,0.0,33.3,20.1,26.3,48
2017-02-17,0.0,34.3,19.2,26.1,40
2017-02-18,0.0,34.8,19.5,27.0,35
2017-02-19,0.0,35.2,19.8,27.3,35
2017-02-20,0.0,35.8,21.5,27.8,30
2017-02-21,0.0,34.6,21.6,26.7,31
2017-02-22,0.0,34.5,18.2,25.6,33
2017-02-23,0.0,33.8,19.6,25.9,27
2017-02-24,0.0,33.3,18.6,25.4,28
2017-02-25,0.0,33.0,18.7,26.0,28
2017-02-26,0.0,34.2,18.9,26.5,26
2017-02-27,0.0,35.2,18.5,26.8,26
2017-02-28,0.0,36.2,20.7,27.8,25
2017-03-01,0.0,36.5,19.6,28.2,27
2017-03-02,0.0,35.5,20.8,28.1,28
2017-03-03,0.0,35.3,20.4,27.1,29
2017-03-04,0.0,33.8,20.0,26.6,24
2017-03-05,0.0,33.2,19.5,26.0,30
2017-03-06,0.0,33.2,19.5,26.2,30
2017-03-07,0.0,34.1,19.6,26.9,27
2017-03-08,0.0,33.4,21.4,27.1,30
2017-03-09,0.0,33.8,20.5,27.1,29
2017-03-10,0.0,30.9,20.4,25.5,33
2017-03-11,0.0,31.1,20.5,24.9,32
2017-03-12,0.0,30.3,17.0,23.2,22
2017-03-13,0.0,32.8,15.6,24.1,21
2017-03-14,0.0,33.2,17.5,25.3,22
2017-03-15,0.0,34.7,18.4,26.9,25
2017-03-16,0.0,36.7,21.0,28.9,25
2017-03-17,0.0,35.3,20.8,28.3,21
2017-03-18,0.0,35.2,23.9,29.2,24
2017-03-19,0.0,35.7,24.5,29.5,25
2017-03-20,0.0,35.0,21.1,28.2,33
2017-03-21,0.0,36.5,21.5,29.9,23
2017-03-22,0.0,38.1,21.5,29.7,22
2017-03-23,0.0,38.5,23.5,30.9,26
2017-03-24,0.0,39.1,23.9,31.6,26
2017-03-25,0.0,39.5,25.2,32.2,27
2017-03-26,0.0,40.2,24.5,32.3,26
2017-03-27,0.0,40.7,26.0,33.4,24
2017-03-28,0.0,40.9,25.4,33.1,22
2017-03-29,0.0,41.9,26.6,34.0,21
2017-03-30,0.0,40.8,27.0,34.0,23
2017-03-31,0.0,40.8,26.6,33.7,22
2017-04-01,0.0,41.0,27.9,33.8,21
2017-04-02,0.0,39.8,25.6,32.2,21
2017-04-03,0.0,39.7,24.5,31.7,26
