date,rain,tmax,tmin,tmean,humidity
2017-06-13,0.2,34.0,23.5,28.8,65
2017-06-14,7.5,35.0,24.6,28.2,69
2017-06-15,0.2,36.2,24.7,29.9,55
2017-06-16,0.0,34.5,23.9,28.5,60
2017-06-17,0.2,33.9,23.5,28.5,64
2017-06-18,0.2,34.3,23.8,29.3,55
2017-06-19,1.8,34.7,24.8,28.7,61
2017-06-20,2.4,33.8,24.1,28.0,67
2017-06-21,7.6,32.9,22.9,26.6,74
2017-06-22,4.1,31.9,22.8,26.6,72
2017-06-23,0.9,32.0,22.2,27.1,72
2017-06-24,6.1,32.6,23.5,27.4,71
2017-06-25,22.0,29.4,23.4,25.8,85
2017-06-26,37.8,28.9,22.3,25.5,84
2017-06-27,10.1,29.5,23.1,25.4,86
2017-06-28,27.1,27.5,22.4,24.1,91
2017-06-29,12.0,28.6,22.7,24.6,89
2017-06-30,4.5,29.0,22.2,24.9,87
2017-07-01,8.1,27.0,22.9,24.8,87
2017-07-02,14.4,27.5,22.9,24.3,89
2017-07-03,12.4,27.4,22.5,24.1,89
2017-07-04,12.8,23.9,22.0,23.0,95
2017-07-05,3.1,28.0,21.5,23.9,87
2017-07-06,0.6,27.5,22.6,24.7,81
2017-07-07,0.4,29.1,21.9,25.4,79
2017-07-08,4.3,29.2,23.0,26.1,78
2017-07-09,16.3,27.3,23.0,24.5,89
2017-07-10,32.5,23.7,21.6,22.7,94
2017-07-11,27.7,26.8,21.1,22.9,93
2017-07-12,28.6,23.5,22.1,22.7,95
2017-07-13,1.3,25.8,22.0,23.6,87
2017-07-14,14.4,26.7,22.2,24.0,88
2017-07-15,5.6,28.0,22.4,24.2,89
2017-07-16,8.4,28.6,22.2,24.0,90
2017-07-17,8.1,29.0,21.6,25.0,86
2017-07-18,8.2,29.3,22.1,25.2,85
2017-07-19,11.1,29.5,23.2,25.8,84
2017-07-20,15.1,27.8,22.5,24.2,90
2017-07-21,13.2,27.1,22.2,23.7,91
2017-07-22,20.3,26.9,22.1,24.1,90
2017-07-23,25.7,25.2,22.2,23.2,93
2017-07-24,7.4,25.2,21.9,23.2,90
2017-07-25,2.8,25.5,21.2,22.8,89
2017-07-26,13.7,23.6,21.5,22.2,94
2017-07-27,72.4,22.6,20.9,21.7,98
2017-07-28,1.1,26.9,21.6,23.6,88
2017-07-29,1.5,27.9,22.1,24.5,86
2017-07-30,11.5,27.2,21.9,24.3,88
2017-07-31,9.4,27.1,21.9,24.1,88
2017-08-01,9.0,27.4,22.4,24.7,87
2017-08-02,10.0,27.6,22.6,24.7,86
2017-08-03,4.2,27.0,22.2,24.2,84
2017-08-04,7.6,26.5,21.9,23.5,90
2017-08-05,3.5,26.5,22.0,24.0,89
2017-08-06,11.4,26.5,22.6,24.2,90
2017-08-07,24.7,27.9,22.5,24.3,92
2017-08-08,12.0,28.2,22.1,24.3,90
2017-08-09,21.1,26.3,22.0,23.9,92
2017-08-10,8.7,27.0,22.6,24.4,88
2017-08-11,1.3,26.5,22.6,24.4,86
2017-08-12,3.3,26.5,22.4,23.6,89
2017-08-13,1.2,25.8,21.9,23.6,87
2017-08-14,3.6,27.5,21.9,23.9,88
2017-08-15,2.3,28.3,21.9,24.6,85
2017-08-16,1.0,28.0,22.0,24.8,86
2017-08-17,11.5,28.2,22.5,24.5,88
2017-08-18,8.4,28.6,22.5,25.1,86
2017-08-19,2.2,29.2,22.3,25.3,83
2017-08-20,0.0,29.8,22.8,25.6,79
2017-08-21,0.5,29.4,22.8,25.4,79
2017-08-22,1.2,29.2,21.1,25.2,79
