date,rain,tmax,tmin,tmean,humidity
2011-11-18,0.0,30.0,15.1,23.0,52
2011-11-19,0.0,29.8,17.1,22.9,56
2011-11-20,0.0,29.0,15.7,22.8,60
2011-11-21,0.0,28.2,17.0,22.5,62
2011-11-22,0.0,28.1,15.7,22.0,63
2011-11-23,0.0,27.7,15.8,21.9,62
2011-11-24,0.0,27.8,15.4,21.6,61
2011-11-25,0.0,28.3,15.5,22.1,61
2011-11-26,0.0,29.0,16.0,22.5,59
2011-11-27,0.0,29.3,17.0,22.9,63
2011-11-28,0.0,28.6,16.9,22.9,61
2011-11-29,0.0,27.7,16.0,22.0,62
2011-11-30,0.0,27.6,15.1,21.2,63
2011-12-01,0.0,27.1,14.4,20.8,61
2011-12-02,0.0,26.9,14.5,20.6,60
2011-12-03,0.0,27.5,14.7,21.1,65
2011-12-04,0.0,28.8,17.0,22.7,63
2011-12-05,0.0,29.2,16.7,23.0,63
2011-12-06,0.0,28.7,15.9,22.3,61
2011-12-07,0.0,28.1,14.8,21.2,59
2011-12-08,0.0,28.0,13.8,20.5,59
2011-12-09,0.0,28.1,14.9,21.1,56
2011-12-10,0.0,28.9,15.8,21.5,54
2011-12-11,0.0,27.5,14.1,21.0,59
2011-12-12,0.0,26.9,14.7,20.6,56
2011-12-13,0.0,26.6,13.1,20.0,60
2011-12-14,0.0,26.3,12.6,19.7,60
2011-12-15,0.0,26.5,12.1,19.5,58
2011-12-16,0.0,26.4,12.8,19.4,57
2011-12-17,0.0,26.3,11.4,18.9,56
2011-12-18,0.0,26.4,11.4,19.1,55
2011-12-19,0.0,26.3,11.7,19.0,54
2011-12-20,0.0,25.9,11.3,18.4,54
2011-12-21,0.0,25.8,10.4,17.9,51
2011-12-22,0.0,26.1,11.0,18.4,45
2011-12-23,0.0,26.2,10.0,18.2,45
2011-12-24,0.0,26.1,11.7,19.2,50
2011-12-25,0.0,25.5,11.7,18.5,54
2011-12-26,0.0,25.7,10.2,17.9,53
2011-12-27,0.0,25.9,9.8,17.8,51
2011-12-28,0.0,26.1,10.4,18.1,50
2011-12-29,0.0,26.9,12.4,20.3,56
2011-12-30,0.0,28.6,20.0,23.8,63
2011-12-31,6.1,26.9,19.6,23.0,72
2012-01-01,38.9,21.2,19.2,19.8,97
2012-01-02,2.8,22.5,19.2,20.2,94
2012-01-03,0.6,24.7,18.2,20.8,85
2012-01-04,0.0,25.5,14.8,20.1,82
2012-01-05,0.2,26.8,16.4,21.3,82
2012-01-06,0.5,26.5,16.9,21.3,84
2012-01-07,0.6,25.4,17.5,21.2,87
2012-01-08,2.2,25.6,16.7,20.3,89
2012-01-09,0.0,23.4,17.1,19.5,81
2012-01-10,0.0,22.1,13.9,17.5,67
2012-01-11,0.0,22.3,11.2,16.3,63
2012-01-12,0.0,22.0,9.3,15.7,60
2012-01-13,0.0,21.0,8.5,14.4,54
2012-01-14,0.0,21.6,7.2,14.0,58
2012-01-15,0.0,23.5,9.1,15.6,60
2012-01-16,0.0,26.0,11.1,17.6,57
2012-01-17,0.0,27.0,10.5,18.2,56
2012-01-18,0.0,27.5,12.8,19.5,59
2012-01-19,0.0,26.6,13.7,19.5,60
2012-01-20,0.0,24.5,12.4,18.3,59
2012-01-21,0.0,22.3,11.1,16.2,52
2012-01-22,0.0,24.0,8.5,16.4,56
2012-01-23,0.0,26.1,10.2,18.0,55
2012-01-24,0.0,27.1,12.9,19.9,57
2012-01-25,0.0,27.5,14.4,21.2,63
2012-01-26,0.6,26.1,17.1,21.1,68
2012-01-27,0.7,24.7,15.6,20.0,75
2012-01-28,0.0,26.5,15.8,20.5,76
2012-01-29,1.2,21.8,16.8,19.0,83
2012-01-30,0.0,22.7,16.3,19.2,81
2012-01-31,0.0,26.0,15.1,20.6,74
2012-02-01,0.0,25.7,16.0,20.3,70
2012-02-02,0.0,24.9,11.7,18.3,52
2012-02-03,0.0,26.3,12.2,18.7,51
2012-02-04,0.0,27.7,11.9,19.9,49
2012-02-05,0.0,29.1,11.8,21.1,48
2012-02-06,0.0,30.5,16.6,23.2,44
2012-02-07,0.0,30.9,14.1,23.2,47
2012-02-08,0.0,30.3,17.1,23.5,48
2012-02-09,0.0,25.5,16.0,20.2,47
2012-02-10,0.0,25.6,11.3,18.4,43
2012-02-11,0.0,26.7,10.7,18.9,43
2012-02-12,0.0,28.6,11.4,20.4,41
2012-02-13,0.0,31.3,14.9,23.4,51
2012-02-14,0.0,32.3,18.4,25.2,59
2012-02-15,0.2,32.1,19.6,25.1,59
2012-02-16,0.0,30.3,20.1,24.6,64
2012-02-17,0.2,29.4,18.6,23.7,66
2012-02-18,0.0,29.9,17.8,24.2,63
2012-02-19,0.0,31.0,18.7,24.3,48
2012-02-20,0.0,31.3,15.5,23.6,40
2012-02-21,0.0,33.7,18.0,25.2,43
2012-02-22,0.0,34.4,18.5,26.3,39
2012-02-23,0.0,34.1,17.7,25.7,37
2012-02-24,0.0,34.8,18.3,26.4,36
2012-02-25,0.0,34.8,18.5,26.3,39
2012-02-26,0.0,34.3,17.3,26.1,42
2012-02-27,0.0,34.1,17.4,25.7,40
2012-02-28,0.0,35.3,17.9,26.5,32
2012-02-29,0.0,32.3,18.5,25.3,35
2012-03-01,0.0,33.8,15.0,25.0,33
2012-03-02,0.0,32.8,15.7,24.6,30
