date,rain,tmax,tmin,tmean,humidity
2018-09-26,35.8,28.9,20.4,23.9,86
2018-09-27,19.1,29.9,20.9,24.2,84
2018-09-28,13.6,28.6,21.4,24.4,84
2018-09-29,9.2,29.9,21.2,24.7,82
2018-09-30,3.3,29.4,22.0,25.2,78
2018-10-01,4.4,30.3,21.6,25.3,77
2018-10-02,0.1,30.5,21.8,25.5,73
2018-10-03,0.7,30.5,21.5,26.0,68
2018-10-04,0.7,30.2,21.9,25.9,65
2018-10-05,0.0,28.6,22.5,25.1,71
2018-10-06,0.2,30.8,21.8,25.7,69
2018-10-07,0.0,32.0,21.5,25.9,61
2018-10-08,0.0,32.5,21.6,26.5,55
2018-10-09,0.5,30.5,21.6,25.3,74
2018-10-10,0.1,31.2,21.0,25.3,69
2018-10-11,0.0,32.4,20.7,25.8,67
2018-10-12,0.0,32.1,21.4,26.2,65
2018-10-13,0.0,31.8,21.2,26.2,65
2018-10-14,0.0,31.9,21.0,26.3,65
2018-10-15,0.2,31.6,22.1,26.2,69
2018-10-16,11.3,29.4,20.8,24.2,81
2018-10-17,4.6,26.6,20.8,22.7,88
2018-10-18,9.3,28.0,20.4,23.5,81
2018-10-19,3.0,28.8,20.6,23.8,80
2018-10-20,0.0,29.2,20.8,24.1,65
2018-10-21,0.0,29.6,20.0,24.3,60
2018-10-22,0.0,30.6,19.5,24.9,56
2018-10-23,0.0,31.4,20.0,26.0,55
2018-10-24,0.0,30.2,20.2,25.2,63
2018-10-25,0.9,29.5,21.6,25.1,65
2018-10-26,0.1,30.2,21.2,25.1,57
2018-10-27,0.0,30.6,20.0,24.5,46
2018-10-28,0.0,30.9,18.6,24.7,39
2018-10-29,0.0,29.8,19.1,23.8,40
2018-10-30,0.0,29.2,17.6,23.1,41
2018-10-31,0.0,30.0,18.3,23.6,48
2018-11-01,0.0,29.6,20.0,24.3,52
2018-11-02,0.7,30.4,20.5,25.2,68
2018-11-03,1.5,29.7,21.6,25.5,69
2018-11-04,0.0,31.2,21.6,25.9,65
2018-11-05,0.0,31.4,21.5,26.0,59
2018-11-06,1.3,30.0,21.2,25.3,59
2018-11-07,0.3,31.6,20.9,26.1,55
2018-11-08,0.0,32.0,20.8,26.3,47
2018-11-09,0.0,31.5,20.4,25.5,48
2018-11-10,0.0,31.5,20.1,25.2,48
2018-11-11,0.0,31.2,20.2,24.9,42
2018-11-12,0.0,30.5,17.2,24.3,35
2018-11-13,0.0,30.0,17.6,23.1,36
2018-11-14,0.0,30.2,17.2,23.0,37
2018-11-15,0.0,30.8,17.8,23.7,43
2018-11-16,1.8,30.1,20.4,24.4,66
2018-11-17,0.0,31.1,21.0,25.7,67
2018-11-18,3.3,31.5,22.1,25.7,69
2018-11-19,1.6,27.6,20.5,23.8,83
2018-11-20,0.7,28.9,20.9,24.8,71
2018-11-21,0.0,29.8,20.1,24.5,60
2018-11-22,0.0,29.4,19.5,23.9,67
2018-11-23,0.0,28.2,20.2,23.2,67
2018-11-24,0.0,29.3,20.3,23.9,64
