date,rain,tmax,tmin,tmean,humidity
2017-01-02,0.0,23.0,12.0,16.8,73
2017-01-03,0.0,22.7,10.6,16.0,72
2017-01-04,0.0,23.6,11.1,16.5,70
2017-01-05,0.0,24.1,9.9,16.9,64
2017-01-06,0.0,24.6,12.7,18.3,54
2017-01-07,0.0,22.3,11.1,16.5,67
2017-01-08,0.2,22.8,13.1,17.3,71
2017-01-09,0.4,21.3,12.9,16.2,81
2017-01-10,0.0,19.7,9.6,14.0,64
2017-01-11,0.0,18.5,7.1,12.3,57
2017-01-12,0.0,17.4,4.6,10.6,53
2017-01-13,0.0,18.4,4.8,11.1,50
2017-01-14,0.0,20.2,6.5,12.6,53
2017-01-15,0.0,24.3,9.7,16.3,61
2017-01-16,0.0,24.1,13.9,17.8,61
2017-01-17,0.0,22.4,9.1,15.6,63
2017-01-18,0.0,23.0,10.9,16.1,69
2017-01-19,0.0,22.8,11.4,17.0,64
2017-01-20,0.0,23.4,12.7,16.9,57
2017-01-21,0.0,25.7,11.9,18.2,60
2017-01-22,0.0,26.9,14.6,20.0,61
2017-01-23,0.0,27.8,15.3,20.5,61
2017-01-24,0.0,28.7,16.5,21.8,59
2017-01-25,0.0,29.0,17.2,22.5,55
2017-01-26,1.2,28.5,16.1,21.3,59
2017-01-27,2.3,21.0,12.6,16.4,72
2017-01-28,0.0,22.5,10.1,15.1,68
2017-01-29,0.0,25.0,9.8,16.6,65
2017-01-30,0.0,26.6,10.1,17.8,60
2017-01-31,0.0,27.1,12.3,18.9,57
2017-02-01,0.0,26.0,13.6,19.1,64
2017-02-02,0.0,26.5,13.6,19.2,63
2017-02-03,0.0,27.8,13.5,19.6,64
2017-02-04,0.0,29.6,14.9,21.5,56
2017-02-05,0.0,28.8,15.9,22.5,50
2017-02-06,0.0,24.5,12.8,18.5,47
2017-02-07,0.0,24.6,11.1,16.9,57
2017-02-08,0.0,27.9,11.4,19.0,55
2017-02-09,0.0,25.2,11.9,18.0,57
2017-02-10,0.0,23.0,11.6,16.3,48
2017-02-11,1.2,21.8,11.8,16.2,59
2017-02-12,0.9,24.5,12.8,18.4,74
2017-02-13,0.3,25.0,14.8,19.5,70
2017-02-14,0.0,27.4,14.1,20.0,62
2017-02-15,0.0,27.8,14.2,19.8,47
2017-02-16,0.0,29.5,13.4,21.3,43
2017-02-17,0.0,30.6,14.8,21.9,46
2017-02-18,0.0,30.8,15.9,22.4,49
2017-02-19,0.0,31.4,15.2,23.1,47
2017-02-20,0.0,31.8,17.2,24.5,38
2017-02-21,0.0,28.8,16.0,22.3,43
2017-02-22,0.0,27.9,13.1,20.3,33
2017-02-23,0.0,28.0,14.1,20.5,35
2017-02-24,0.0,27.4,12.9,19.4,31
2017-02-25,0.0,28.4,12.7,20.4,31
2017-02-26,0.0,28.5,14.9,21.2,32
2017-02-27,0.0,30.2,13.3,21.5,33
2017-02-28,0.0,32.8,17.3,24.3,31
2017-03-01,0.0,32.2,16.8,24.4,35
2017-03-02,0.0,31.8,18.5,24.2,38
2017-03-03,0.0,29.4,17.2,22.8,49
2017-03-04,0.0,28.5,16.9,22.4,38
2017-03-05,0.0,28.3,15.8,21.3,34
2017-03-06,0.0,28.5,14.3,20.9,30
2017-03-07,0.0,29.8,15.8,22.8,31
2017-03-08,0.0,30.1,17.2,23.7,34
2017-03-09,0.0,28.8,16.5,23.4,41
2017-03-10,0.9,23.5,16.4,19.7,55
2017-03-11,0.0,25.8,14.5,19.5,47
2017-03-12,0.0,25.2,11.1,18.3,33
2017-03-13,0.0,26.7,11.8,19.3,36
2017-03-14,0.0,27.9,14.3,20.7,34
2017-03-15,0.0,29.2,15.6,21.5,33
2017-03-16,0.0,31.6,16.6,23.8,28
2017-03-17,0.0,30.5,17.0,23.5,32
2017-03-18,1.5,31.6,16.5,24.1,36
2017-03-19,2.2,29.2,16.3,21.7,63
2017-03-20,0.0,30.4,15.1,22.7,53
2017-03-21,0.0,32.2,16.5,24.8,40
2017-03-22,0.0,34.4,18.2,26.3,37
2017-03-23,0.0,36.3,19.4,28.0,35
2017-03-24,0.0,36.2,20.6,28.4,33
2017-03-25,0.0,35.7,21.3,28.2,34
2017-03-26,0.0,36.7,22.5,29.2,31
2017-03-27,0.0,37.3,21.8,29.7,33
2017-03-28,0.0,38.7,24.2,31.7,26
