date,rain,tmax,tmin,tmean,humidity
2017-02-01,0.0,23.5,12.7,17.4,81
2017-02-02,0.0,23.9,12.1,17.4,75
2017-02-03,0.0,24.8,11.4,17.9,75
2017-02-04,0.0,26.5,13.2,19.0,72
2017-02-05,0.2,28.1,15.2,20.5,66
2017-02-06,0.0,24.5,15.1,19.2,73
2017-02-07,0.0,22.6,10.5,15.9,65
2017-02-08,0.0,24.7,9.2,16.5,65
2017-02-09,0.0,23.6,12.8,17.3,65
2017-02-10,0.0,22.5,10.4,15.9,58
2017-02-11,0.0,23.0,11.5,16.7,57
2017-02-12,2.2,22.8,11.6,17.2,66
2017-02-13,0.0,25.2,13.6,18.5,64
2017-02-14,0.0,25.8,11.4,17.6,58
2017-02-15,0.0,27.2,12.3,19.8,48
2017-02-16,0.0,29.4,13.4,21.2,49
2017-02-17,0.0,29.6,14.6,21.5,56
2017-02-18,0.0,30.8,14.6,22.3,58
2017-02-19,0.0,31.9,16.2,23.8,51
2017-02-20,0.0,33.2,18.8,25.7,37
2017-02-21,0.0,28.6,16.4,22.6,34
2017-02-22,0.0,27.9,13.5,20.5,42
2017-02-23,0.0,27.1,13.3,19.4,42
2017-02-24,0.0,27.2,12.9,19.3,36
2017-02-25,0.0,29.2,14.5,21.1,32
2017-02-26,0.0,28.1,14.1,20.7,40
2017-02-27,0.0,30.1,13.9,21.7,41
2017-02-28,0.0,33.3,15.1,23.6,41
2017-03-01,0.0,32.0,18.0,23.9,46
2017-03-02,0.5,29.5,17.5,22.9,54
2017-03-03,0.0,28.0,17.7,22.5,48
2017-03-04,0.0,28.1,15.9,21.5,38
2017-03-05,0.0,28.4,13.6,20.7,37
2017-03-06,0.0,29.2,14.0,21.2,37
2017-03-07,0.0,31.0,14.9,23.4,32
2017-03-08,0.0,30.2,18.4,23.7,36
2017-03-09,0.3,27.9,17.0,22.5,51
2017-03-10,5.9,23.2,16.1,18.8,71
2017-03-11,0.6,24.5,13.8,18.5,62
2017-03-12,0.0,25.0,11.5,17.9,58
2017-03-13,0.0,26.0,11.1,18.4,48
2017-03-14,0.0,27.0,12.8,19.6,47
2017-03-15,0.0,29.7,15.2,22.2,44
2017-03-16,0.0,32.6,15.3,23.8,38
2017-03-17,0.0,29.9,16.5,23.4,43
2017-03-18,0.1,30.2,16.5,23.8,45
2017-03-19,1.6,30.2,18.0,23.2,55
2017-03-20,0.0,32.0,17.4,24.5,47
2017-03-21,0.0,34.2,17.8,25.8,37
2017-03-22,0.0,36.6,20.9,28.2,34
2017-03-23,0.0,38.1,20.6,29.0,34
2017-03-24,0.0,37.4,22.0,29.8,32
2017-03-25,0.0,36.5,21.3,28.7,34
2017-03-26,0.0,36.5,21.6,29.2,34
2017-03-27,0.0,37.2,23.0,30.2,35
2017-03-28,0.0,40.0,23.5,31.7,35
2017-03-29,0.0,40.8,25.0,32.4,28
2017-03-30,0.0,39.9,23.9,31.9,28
2017-03-31,0.0,40.2,24.1,31.6,22
2017-04-01,0.0,39.8,25.7,32.2,18
2017-04-02,0.0,40.2,24.5,31.8,22
2017-04-03,0.0,39.9,23.7,31.9,22
2017-04-04,0.0,39.3,25.3,32.2,24
2017-04-05,0.0,39.0,24.7,31.8,31
2017-04-06,0.0,40.4,25.5,33.4,25
2017-04-07,0.0,37.4,24.4,30.2,21
2017-04-08,0.0,35.8,21.0,28.2,22
2017-04-09,0.0,34.7,20.6,27.3,18
2017-04-10,0.0,35.2,19.5,27.7,17
2017-04-11,0.0,37.5,21.0,29.3,20
2017-04-12,0.0,39.1,22.0,30.7,21
2017-04-13,0.0,40.2,23.4,31.4,24
2017-04-14,0.0,41.2,24.2,32.7,22
2017-04-15,0.0,42.5,23.8,33.7,21
2017-04-16,0.0,41.4,26.4,33.5,23
2017-04-17,0.0,42.5,26.2,33.7,27
2017-04-18,0.0,43.0,27.5,34.8,24
2017-04-19,0.0,42.8,29.4,35.5,15
2017-04-20,0.0,42.5,29.9,35.8,20
2017-04-21,0.0,43.0,31.3,36.0,19
2017-04-22,0.0,42.1,29.1,35.3,19
2017-04-23,0.0,39.4,27.5,33.6,25
2017-04-24,0.0,39.8,29.0,33.9,20
2017-04-25,0.0,38.7,27.5,32.7,21
2017-04-26,0.0,38.3,25.6,32.4,20
2017-04-27,0.0,39.8,25.8,32.8,17
2017-04-28,0.3,40.2,24.7,32.8,19
2017-04-29,0.0,39.4,25.7,32.8,21
2017-04-30,0.7,37.8,25.4,32.0,24
2017-05-01,0.0,38.8,22.9,31.3,27
2017-05-02,0.0,39.6,23.5,32.3,22
2017-05-03,0.6,40.5,27.8,33.1,22
2017-05-04,0.0,39.8,25.3,32.6,26
2017-05-05,0.0,40.5,25.2,33.3,24
2017-05-06,0.0,42.3,24.7,34.4,20
2017-05-07,0.0,42.7,26.1,34.8,19
2017-05-08,0.0,42.5,27.6,35.1,19
2017-05-09,0.1,42.5,28.3,36.0,18
2017-05-10,0.0,41.8,26.8,34.2,26
2017-05-11,1.4,39.7,27.0,33.3,37
2017-05-12,0.0,42.0,27.0,34.6,31
2017-05-13,0.2,42.3,26.3,34.4,31
2017-05-14,0.0,44.0,27.5,36.3,20
2017-05-15,0.0,42.7,29.9,36.6,21
2017-05-16,0.0,42.2,31.1,36.2,22
2017-05-17,0.0,41.0,28.5,33.5,36
2017-05-18,0.0,39.6,27.1,33.2,40
2017-05-19,0.5,41.7,28.6,34.9,26
2017-05-20,0.0,41.2,27.6,34.2,28
2017-05-21,1.8,40.5,28.5,34.4,27
2017-05-22,1.5,38.9,27.3,32.6,36
2017-05-23,0.0,39.5,26.8,33.1,35
2017-05-24,1.2,40.8,28.4,34.8,30
2017-05-25,0.0,42.0,28.2,35.0,30
2017-05-26,0.0,43.2,29.4,36.6,25
2017-05-27,0.0,43.8,29.5,36.4,26
2017-05-28,0.6,41.0,28.9,34.6,43
2017-05-29,0.8,38.6,25.3,32.2,48
2017-05-30,0.6,37.4,26.6,31.8,52
2017-05-31,0.0,39.4,27.0,32.8,51
2017-06-01,0.3,39.0,27.1,32.6,53
2017-06-02,0.0,40.0,28.1,34.3,44
2017-06-03,0.0,43.2,30.3,36.8,31
2017-06-04,0.0,44.3,33.3,38.1,25
2017-06-05,0.0,43.9,33.5,38.3,30
2017-06-06,0.7,40.4,33.8,36.8,35
2017-06-07,2.7,38.1,28.5,33.5,51
2017-06-08,0.6,39.0,28.4,32.7,56
2017-06-09,0.3,37.0,27.9,32.3,55
2017-06-10,0.0,39.0,28.4,34.0,49
2017-06-11,0.0,39.6,28.8,34.2,39
2017-06-12,0.0,39.8,28.1,34.3,36
2017-06-13,0.0,41.0,29.4,35.1,32
2017-06-14,0.0,41.2,31.0,35.9,31
2017-06-15,0.0,39.2,28.5,34.0,42
2017-06-16,0.1,40.0,28.6,33.6,43
2017-06-17,0.5,39.1,28.0,32.8,51
2017-06-18,0.6,38.6,28.9,33.3,53
2017-06-19,1.8,38.7,27.9,33.4,52
2017-06-20,3.9,35.2,27.3,31.7,59
2017-06-21,0.3,36.8,29.3,32.1,55
2017-06-22,2.2,36.1,27.6,30.9,59
2017-06-23,0.2,36.3,27.9,32.0,54
2017-06-24,0.3,38.1,29.1,33.1,51
2017-06-25,0.3,38.9,29.7,34.4,50
2017-06-26,7.6,39.0,27.6,33.4,58
2017-06-27,10.1,38.5,27.7,32.6,63
2017-06-28,24.7,34.0,27.1,29.7,80
2017-06-29,15.8,34.7,25.7,29.3,80
2017-06-30,3.8,33.8,26.9,30.2,75
2017-07-01,3.5,33.2,28.9,30.8,69
2017-07-02,0.8,34.5,28.5,31.0,69
2017-07-03,17.6,32.8,27.0,29.0,82
2017-07-04,0.4,34.5,27.0,30.9,67
2017-07-05,0.7,34.6,28.6,30.7,61
2017-07-06,0.6,35.0,28.0,31.3,60
2017-07-07,0.0,34.4,29.0,31.1,60
2017-07-08,0.1,35.2,27.4,31.5,65
2017-07-09,0.0,36.6,29.5,32.7,56
2017-07-10,0.7,36.2,29.1,32.2,57
2017-07-11,1.1,35.7,27.9,30.9,62
2017-07-12,4.9,29.5,25.9,27.3,83
2017-07-13,2.4,31.5,25.5,28.2,78
2017-07-14,7.9,32.8,26.4,29.1,76
