date,rain,tmax,tmin,tmean,humidity
2017-08-09,1.6,29.0,24.0,26.5,83
2017-08-10,1.1,29.8,24.0,27.0,78
2017-08-11,0.5,29.5,24.5,26.8,78
2017-08-12,0.1,28.2,24.2,26.2,80
2017-08-13,0.9,29.0,25.0,26.5,78
2017-08-14,1.0,29.9,24.3,26.8,78
2017-08-15,0.8,29.4,24.2,26.5,82
2017-08-16,0.5,29.8,24.0,26.8,79
2017-08-17,0.9,30.6,23.6,26.9,80
2017-08-18,4.6,30.8,24.7,27.0,81
2017-08-19,30.1,29.5,24.1,25.9,92
2017-08-20,12.9,30.1,24.4,26.8,88
2017-08-21,4.1,30.6,24.6,26.7,85
2017-08-22,2.8,28.2,23.7,25.7,87
2017-08-23,6.0,28.0,24.1,25.8,88
2017-08-24,7.9,28.3,24.0,25.6,90
2017-08-25,11.9,28.5,23.9,25.5,91
2017-08-26,27.1,28.2,23.6,25.6,90
2017-08-27,7.3,30.3,23.8,26.0,90
2017-08-28,13.5,29.5,23.5,26.1,90
2017-08-29,15.9,28.1,24.0,25.3,92
2017-08-30,1.7,28.3,24.6,26.3,84
2017-08-31,0.4,30.2,24.0,26.9,78
2017-09-01,0.6,29.4,23.4,26.2,78
2017-09-02,0.6,30.0,22.7,26.4,81
2017-09-03,0.2,28.6,23.4,25.9,84
2017-09-04,1.9,30.1,24.0,26.7,85
2017-09-05,5.0,31.0,24.1,26.8,86
2017-09-06,1.1,29.4,24.1,26.4,86
2017-09-07,0.2,30.9,23.9,27.4,79
2017-09-08,0.4,31.7,24.0,27.6,81
2017-09-09,8.3,31.0,25.0,27.5,85
2017-09-10,5.6,31.9,24.5,27.8,86
2017-09-11,6.3,31.8,25.5,27.9,86
2017-09-12,3.7,31.4,25.1,27.6,86
2017-09-13,27.1,28.7,24.5,25.6,92
2017-09-14,13.4,28.8,24.5,26.0,89
2017-09-15,22.9,27.1,23.5,24.7,93
2017-09-16,5.3,30.5,23.2,26.3,87
2017-09-17,14.1,30.2,23.4,26.7,87
2017-09-18,14.0,29.9,23.5,26.2,89
2017-09-19,1.4,31.2,24.3,27.4,86
2017-09-20,6.7,31.8,24.5,27.0,88
2017-09-21,50.3,26.4,23.5,24.7,94
