date,rain,tmax,tmin,tmean,humidity
2017-01-03,0.0,24.0,11.5,16.8,65
2017-01-04,0.0,24.4,10.9,17.2,62
2017-01-05,0.0,25.4,11.7,18.2,56
2017-01-06,0.0,26.5,13.4,19.0,49
2017-01-07,0.0,24.5,11.2,17.9,63
2017-01-08,0.0,25.1,14.1,19.6,58
2017-01-09,0.0,24.9,12.1,18.0,65
2017-01-10,0.0,21.0,12.0,15.4,72
2017-01-11,0.0,20.6,8.5,14.1,58
2017-01-12,0.0,19.5,7.7,13.0,53
2017-01-13,0.0,20.2,6.6,13.0,43
2017-01-14,0.0,23.0,8.5,15.4,47
2017-01-15,0.0,25.6,14.8,19.1,54
2017-01-16,0.0,26.4,14.6,19.6,62
2017-01-17,0.0,25.0,11.3,17.4,61
2017-01-18,0.6,25.0,11.3,18.0,69
2017-01-19,0.3,25.1,14.7,19.0,74
2017-01-20,0.0,26.2,13.2,19.0,66
2017-01-21,0.0,26.5,13.7,19.9,61
2017-01-22,0.0,27.2,17.0,21.5,57
2017-01-23,0.0,28.2,17.4,21.8,56
2017-01-24,0.0,28.8,18.1,22.6,52
2017-01-25,0.0,28.6,18.1,22.8,50
2017-01-26,0.0,28.6,17.9,22.3,49
2017-01-27,0.0,22.9,13.8,17.6,64
2017-01-28,0.0,24.1,10.6,16.4,58
2017-01-29,0.0,26.5,10.4,17.6,59
2017-01-30,0.0,28.2,13.3,20.1,51
2017-01-31,0.0,28.5,12.6,19.5,49
2017-02-01,0.0,28.1,11.6,19.5,43
2017-02-02,0.0,29.2,13.7,21.1,44
2017-02-03,0.0,30.0,15.6,22.4,46
2017-02-04,0.0,30.0,18.2,23.3,46
2017-02-05,0.0,28.8,16.2,22.2,55
2017-02-06,0.0,24.9,11.6,17.7,40
2017-02-07,0.0,26.4,10.9,17.9,47
2017-02-08,0.0,29.5,13.6,21.1,48
2017-02-09,0.0,26.5,14.2,19.6,40
2017-02-10,0.0,25.5,12.9,18.7,44
2017-02-11,0.9,26.4,14.6,20.0,54
2017-02-12,0.0,27.4,13.9,20.5,68
2017-02-13,0.0,28.0,15.9,21.6,70
2017-02-14,0.0,28.9,16.6,22.7,65
2017-02-15,0.0,29.5,17.5,23.0,62
2017-02-16,0.0,30.0,15.9,22.6,49
2017-02-17,0.0,31.0,16.4,23.0,45
2017-02-18,0.0,31.3,16.7,23.4,45
2017-02-19,0.0,31.4,16.5,23.7,49
2017-02-20,0.0,31.5,17.1,23.9,42
2017-02-21,0.0,29.6,17.5,22.5,46
2017-02-22,0.0,29.0,14.8,21.5,41
2017-02-23,0.0,28.9,14.1,21.2,44
2017-02-24,0.0,28.4,15.1,21.1,33
2017-02-25,0.0,29.1,14.0,21.1,32
2017-02-26,0.0,30.7,15.4,23.4,34
2017-02-27,0.0,31.5,16.1,23.7,36
2017-02-28,0.0,32.5,17.6,25.0,33
2017-03-01,0.0,33.2,17.5,25.0,35
2017-03-02,0.0,32.0,17.6,24.5,36
2017-03-03,0.0,30.7,16.7,23.2,38
2017-03-04,0.0,29.4,15.1,22.2,45
2017-03-05,0.0,29.0,16.8,22.8,39
2017-03-06,0.0,29.2,16.8,22.5,26
2017-03-07,0.0,31.1,17.4,23.9,27
2017-03-08,0.0,29.6,16.9,23.6,37
2017-03-09,0.0,30.5,18.4,24.1,36
2017-03-10,0.0,28.1,17.9,22.8,42
2017-03-11,0.0,27.5,16.9,21.7,36
2017-03-12,0.0,26.2,13.6,19.7,22
2017-03-13,0.0,28.5,13.8,20.7,25
2017-03-14,0.0,29.2,13.2,21.5,30
2017-03-15,0.0,30.7,15.6,23.1,27
2017-03-16,0.0,32.7,17.7,25.4,23
2017-03-17,0.0,31.5,18.0,24.4,27
2017-03-18,0.0,31.7,18.2,25.3,32
2017-03-19,0.3,30.5,18.3,24.9,38
2017-03-20,0.0,31.4,17.4,24.1,44
2017-03-21,0.0,33.0,17.8,25.4,32
2017-03-22,0.0,34.8,19.8,27.2,31
2017-03-23,0.0,35.7,19.8,27.6,33
2017-03-24,0.0,36.0,20.5,28.4,32
2017-03-25,0.0,36.9,21.0,29.0,28
2017-03-26,0.0,37.2,20.8,29.1,30
2017-03-27,0.0,37.8,22.2,30.3,29
2017-03-28,0.0,38.8,23.0,31.6,25
2017-03-29,0.0,39.0,26.0,31.9,22
2017-03-30,0.0,39.0,23.4,31.4,21
2017-03-31,0.0,39.0,24.4,31.8,21
2017-04-01,0.0,38.2,24.0,31.4,21
2017-04-02,0.0,37.3,24.5,30.5,22
2017-04-03,0.0,37.2,22.1,29.6,24
2017-04-04,0.0,37.2,22.6,29.6,32
2017-04-05,0.0,36.6,21.4,29.3,38
2017-04-06,0.0,37.2,24.5,30.3,34
2017-04-07,0.0,35.3,22.5,28.0,26
2017-04-08,0.0,35.7,18.5,27.2,16
2017-04-09,0.0,36.0,20.5,28.0,12
2017-04-10,0.0,36.0,21.4,27.8,13
2017-04-11,0.0,37.0,19.7,28.4,14
2017-04-12,0.0,38.5,20.3,30.3,15
2017-04-13,0.0,39.2,22.0,30.6,17
2017-04-14,0.0,39.5,22.5,31.8,16
2017-04-15,0.0,40.6,26.9,33.4,14
2017-04-16,0.0,40.7,26.4,33.3,15
2017-04-17,0.0,40.5,25.9,33.2,16
2017-04-18,0.0,40.8,27.4,33.4,16
2017-04-19,0.0,40.0,25.1,32.4,16
2017-04-20,0.0,39.0,25.6,32.1,25
2017-04-21,0.0,39.5,25.3,32.0,29
2017-04-22,0.0,36.7,23.4,29.9,34
2017-04-23,0.0,36.3,23.1,29.5,33
2017-04-24,0.0,36.3,22.1,28.9,33
2017-04-25,0.0,36.1,22.7,29.3,36
2017-04-26,0.0,36.2,22.5,29.5,28
2017-04-27,0.0,37.7,21.2,30.2,18
2017-04-28,0.0,38.5,22.5,30.7,17
2017-04-29,0.0,38.2,24.7,31.0,23
2017-04-30,0.1,38.2,24.4,30.5,28
2017-05-01,0.0,38.1,24.4,30.8,27
2017-05-02,0.0,38.5,24.5,31.9,21
2017-05-03,0.0,39.5,25.5,32.5,21
2017-05-04,0.0,38.9,25.8,32.4,22
2017-05-05,0.0,40.3,26.1,33.6,19
