date,rain,tmax,tmin,tmean,humidity
2021-04-20,0.0,37.2,23.6,30.8,33
2021-04-21,0.0,35.9,24.8,29.9,36
2021-04-22,0.0,37.1,21.8,29.6,31
2021-04-23,0.0,37.8,23.4,30.5,28
2021-04-24,0.0,37.8,22.8,30.7,38
2021-04-25,0.0,38.8,24.1,32.0,21
2021-04-26,0.0,39.7,22.5,31.7,14
2021-04-27,0.0,39.7,23.5,32.7,19
2021-04-28,0.0,39.6,25.0,32.6,24
2021-04-29,0.0,40.0,25.3,32.8,23
2021-04-30,0.0,39.7,25.5,32.9,24
2021-05-01,0.0,36.1,26.4,31.0,37
2021-05-02,0.7,37.0,26.4,30.5,38
2021-05-03,0.0,37.0,24.1,30.6,33
2021-05-04,0.0,37.0,24.0,31.4,28
2021-05-05,0.0,38.3,24.7,32.2,28
2021-05-06,0.0,38.4,26.1,32.6,30
2021-05-07,0.0,39.2,26.6,33.1,30
2021-05-08,0.0,39.0,27.2,33.4,29
2021-05-09,0.0,39.0,27.5,33.7,32
2021-05-10,0.0,38.2,26.7,32.7,36
2021-05-11,0.0,37.7,25.7,31.8,37
2021-05-12,0.0,36.8,24.8,31.1,44
2021-05-13,0.0,36.4,25.0,30.7,45
2021-05-14,0.0,38.1,24.8,31.4,43
2021-05-15,0.0,40.5,26.2,33.7,28
2021-05-16,0.0,40.2,31.1,34.8,33
2021-05-17,2.8,37.1,26.2,31.1,55
2021-05-18,15.6,33.7,24.8,28.2,70
2021-05-19,2.1,28.7,23.7,26.1,75
2021-05-20,0.0,35.2,22.1,28.9,57
2021-05-21,0.0,37.0,23.8,29.9,58
2021-05-22,0.0,36.7,23.6,29.9,58
2021-05-23,0.0,36.8,24.4,30.3,56
2021-05-24,0.7,36.2,25.2,30.7,57
2021-05-25,0.0,38.6,25.9,32.4,48
2021-05-26,0.0,37.4,25.8,31.2,54
2021-05-27,0.0,37.7,25.8,31.4,57
2021-05-28,0.0,38.2,26.1,31.8,58
2021-05-29,0.0,38.2,26.0,32.2,54
2021-05-30,0.0,38.4,26.1,32.1,55
2021-05-31,0.0,38.5,26.1,31.7,54
2021-06-01,0.0,38.3,25.4,31.5,54
2021-06-02,0.0,38.8,25.1,31.9,52
2021-06-03,0.0,38.5,25.4,32.0,51
2021-06-04,0.8,36.2,26.1,30.7,58
2021-06-05,4.4,32.9,25.4,29.3,65
2021-06-06,0.9,34.8,26.0,29.2,66
2021-06-07,4.2,34.5,25.9,29.8,64
2021-06-08,0.0,35.6,25.5,30.6,62
2021-06-09,0.5,35.6,26.3,30.4,65
2021-06-10,0.4,35.8,26.0,30.1,66
2021-06-11,0.3,35.6,25.6,30.0,66
2021-06-12,0.2,37.2,26.1,31.1,62
2021-06-13,0.0,37.6,26.6,31.5,59
2021-06-14,0.2,36.3,26.1,31.1,59
2021-06-15,0.0,35.7,26.0,30.5,63
2021-06-16,0.0,35.5,25.6,30.3,62
