date,rain,tmax,tmin,tmean,humidity
2013-12-31,0.0,27.1,14.6,20.5,62
2014-01-01,0.0,26.8,14.7,20.8,59
2014-01-02,0.0,27.3,16.4,21.6,54
2014-01-03,0.0,26.6,16.9,21.6,56
2014-01-04,0.0,26.9,16.8,21.7,56
2014-01-05,0.0,28.9,13.3,21.3,57
2014-01-06,0.0,27.5,15.3,21.5,66
2014-01-07,0.0,27.2,17.1,22.0,64
2014-01-08,0.0,27.5,17.1,21.7,63
2014-01-09,0.0,28.0,16.5,22.0,61
2014-01-10,0.0,28.6,15.5,22.4,62
2014-01-11,0.0,29.3,15.5,22.5,60
2014-01-12,0.0,27.4,17.4,22.2,62
2014-01-13,0.0,27.1,17.6,21.8,62
2014-01-14,0.0,27.3,16.3,21.9,58
2014-01-15,0.0,28.6,16.7,22.4,55
2014-01-16,0.0,29.3,15.3,22.3,61
2014-01-17,0.0,28.8,18.0,23.4,63
2014-01-18,0.0,29.6,18.3,23.4,57
2014-01-19,0.0,28.5,17.7,22.8,59
2014-01-20,0.0,28.8,18.4,23.1,58
2014-01-21,0.0,28.5,18.3,22.8,55
2014-01-22,0.0,27.8,16.0,22.0,59
2014-01-23,0.0,27.8,17.0,22.2,60
2014-01-24,0.0,28.2,15.9,22.3,55
2014-01-25,0.0,28.2,17.8,22.7,53
2014-01-26,0.0,28.8,18.4,22.8,53
2014-01-27,0.0,27.4,17.7,22.1,47
2014-01-28,0.0,27.4,16.6,21.8,39
2014-01-29,0.0,27.9,14.1,21.3,44
2014-01-30,0.0,28.3,14.8,21.6,45
2014-01-31,0.0,28.1,15.4,21.6,42
2014-02-01,0.0,28.3,15.1,21.7,45
2014-02-02,0.0,28.4,16.1,22.4,40
2014-02-03,0.0,29.3,15.8,22.5,37
2014-02-04,0.0,30.9,14.1,23.1,37
2014-02-05,0.0,30.7,18.5,24.5,34
2014-02-06,0.0,31.4,15.1,23.6,40
2014-02-07,0.0,32.2,14.8,23.9,42
2014-02-08,0.0,32.7,17.4,24.8,45
2014-02-09,0.0,33.1,17.9,25.9,42
2014-02-10,0.0,32.3,17.5,25.3,44
2014-02-11,0.0,31.0,16.9,24.6,49
2014-02-12,0.0,30.1,18.8,24.3,48
2014-02-13,0.0,32.2,17.7,25.4,50
2014-02-14,0.0,32.3,17.8,25.1,51
2014-02-15,0.1,31.1,19.6,25.2,53
2014-02-16,9.2,25.6,18.4,21.3,81
2014-02-17,0.0,25.2,15.0,19.9,64
2014-02-18,0.0,25.4,15.3,20.0,42
2014-02-19,0.0,27.5,13.7,20.7,43
2014-02-20,0.0,29.5,14.2,22.1,41
2014-02-21,0.0,30.7,14.0,22.2,56
2014-02-22,0.0,31.5,15.6,23.9,59
2014-02-23,0.0,31.7,19.1,25.3,52
2014-02-24,0.0,31.6,19.5,25.3,53
2014-02-25,0.0,32.5,19.1,25.6,54
2014-02-26,0.0,32.6,18.6,26.1,55
2014-02-27,0.0,33.4,19.3,26.6,46
2014-02-28,0.0,31.2,17.2,24.8,48
2014-03-01,0.0,31.4,19.0,25.2,52
2014-03-02,0.0,28.7,19.5,24.5,60
2014-03-03,3.5,30.1,20.6,24.4,61
2014-03-04,15.6,27.4,18.7,21.8,80
2014-03-05,0.1,28.2,17.1,22.2,74
2014-03-06,0.6,28.7,19.3,23.9,65
2014-03-07,0.0,29.8,19.1,24.1,65
2014-03-08,0.2,30.5,20.2,24.7,63
2014-03-09,0.7,30.0,20.0,25.1,61
2014-03-10,1.4,27.0,19.8,23.6,67
2014-03-11,0.0,31.2,19.0,25.0,59
2014-03-12,0.0,32.3,19.4,26.1,60
2014-03-13,0.0,30.4,21.7,26.0,62
2014-03-14,0.0,33.1,20.4,27.0,57
2014-03-15,0.0,33.8,20.6,27.4,55
2014-03-16,0.0,34.4,20.6,27.7,50
2014-03-17,0.0,35.4,19.6,27.9,46
2014-03-18,0.0,35.8,19.9,28.4,42
2014-03-19,0.0,35.9,20.3,28.5,41
2014-03-20,0.0,35.8,22.1,28.7,41
2014-03-21,0.0,36.1,20.8,28.7,40
2014-03-22,0.0,37.5,21.5,29.8,36
2014-03-23,0.0,36.5,22.5,29.7,38
2014-03-24,0.0,36.8,21.2,29.7,38
2014-03-25,0.0,36.2,23.3,30.1,39
2014-03-26,0.0,37.1,23.5,30.4,41
2014-03-27,0.0,37.6,24.4,31.2,39
2014-03-28,0.0,37.9,24.0,31.1,38
2014-03-29,0.0,39.0,23.2,31.6,36
2014-03-30,0.0,39.6,23.5,32.0,35
2014-03-31,0.0,39.3,23.8,31.7,33
2014-04-01,0.0,39.2,24.7,31.5,33
2014-04-02,0.0,38.4,24.0,31.5,31
2014-04-03,0.0,39.0,24.7,31.6,29
2014-04-04,0.0,37.4,22.2,30.5,30
2014-04-05,0.0,37.9,23.0,30.5,30
2014-04-06,0.0,39.5,21.2,30.8,32
2014-04-07,0.0,39.7,25.7,32.8,33
2014-04-08,0.0,39.6,26.3,33.3,32
2014-04-09,0.1,38.0,25.8,31.9,33
2014-04-10,0.0,37.7,23.1,30.9,36
2014-04-11,0.0,38.4,22.6,31.3,34
2014-04-12,0.0,38.4,24.6,31.4,39
2014-04-13,0.5,38.2,23.7,30.7,42
2014-04-14,0.0,38.0,23.8,31.2,42
2014-04-15,0.0,37.9,24.9,31.6,39
2014-04-16,0.0,38.3,24.4,31.8,40
2014-04-17,1.3,39.0,25.3,31.3,49
2014-04-18,2.5,35.6,25.7,30.2,57
2014-04-19,0.0,38.2,25.0,31.6,49
2014-04-20,0.0,38.2,25.9,32.1,41
2014-04-21,0.0,38.8,26.0,32.5,37
2014-04-22,0.0,38.8,25.4,32.3,45
2014-04-23,0.0,38.9,25.6,32.7,43
2014-04-24,0.0,39.4,26.3,33.1,37
2014-04-25,0.0,39.7,28.1,34.0,35
2014-04-26,0.0,40.2,26.1,33.7,36
2014-04-27,0.3,40.2,27.4,33.7,37
2014-04-28,0.0,39.9,27.7,33.9,37
2014-04-29,0.0,39.9,27.9,34.2,35
2014-04-30,0.0,39.9,28.2,33.8,38
2014-05-01,0.0,40.2,27.7,33.4,40
2014-05-02,2.7,39.1,27.3,31.7,48
2014-05-03,1.0,38.9,26.3,32.2,47
2014-05-04,0.9,38.1,26.3,31.7,47
2014-05-05,5.7,35.6,26.3,29.9,62
2014-05-06,0.2,36.6,25.1,30.7,53
2014-05-07,0.0,36.6,26.1,31.4,48
2014-05-08,0.1,37.8,27.1,31.7,53
2014-05-09,1.3,36.5,27.2,30.4,58
2014-05-10,22.9,26.9,24.3,25.4,88
2014-05-11,0.0,36.6,23.0,29.9,60
2014-05-12,0.0,37.7,26.1,31.8,45
2014-05-13,0.1,39.1,26.1,32.7,38
2014-05-14,0.0,38.5,26.0,32.4,39
2014-05-15,0.0,38.4,24.7,31.9,36
2014-05-16,0.0,39.2,23.7,32.1,37
2014-05-17,0.0,39.5,26.9,33.5,34
2014-05-18,0.0,39.8,27.5,34.0,39
2014-05-19,0.1,38.8,27.0,33.1,49
2014-05-20,0.0,39.3,26.8,33.3,47
2014-05-21,0.0,40.0,27.6,34.1,42
2014-05-22,0.0,40.6,29.8,34.9,35
2014-05-23,0.0,41.7,25.7,34.2,34
2014-05-24,0.0,39.8,26.4,33.6,45
2014-05-25,2.7,36.2,26.3,30.2,64
2014-05-26,119.7,25.1,24.0,24.6,94
2014-05-27,4.0,32.6,24.3,27.8,78
2014-05-28,0.0,35.3,24.3,29.6,68
2014-05-29,0.0,36.8,24.7,30.5,64
2014-05-30,0.0,38.6,26.6,32.0,56
2014-05-31,0.0,39.2,27.9,32.8,55
2014-06-01,0.9,38.4,26.1,32.2,64
2014-06-02,0.0,37.1,27.1,31.8,66
2014-06-03,1.3,35.9,27.1,31.3,68
2014-06-04,0.5,36.5,27.5,31.5,63
2014-06-05,0.1,37.4,26.8,32.2,60
2014-06-06,0.0,39.0,27.3,33.1,57
2014-06-07,0.0,40.1,28.2,34.1,55
2014-06-08,0.0,41.0,30.0,34.9,50
2014-06-09,0.0,40.3,29.1,34.5,51
2014-06-10,1.1,41.2,30.3,34.1,49
2014-06-11,1.1,40.5,30.0,34.6,45
2014-06-12,1.4,40.2,28.9,33.9,47
2014-06-13,0.1,38.7,29.3,33.9,46
2014-06-14,0.8,37.7,28.7,32.5,50
2014-06-15,1.9,35.4,25.6,30.5,66
2014-06-16,3.4,37.2,26.1,30.6,67
2014-06-17,8.9,34.4,26.5,29.6,73
2014-06-18,36.8,29.9,24.7,26.4,88
2014-06-19,15.4,27.9,23.8,25.7,89
2014-06-20,20.7,27.2,25.0,26.1,88
2014-06-21,8.5,32.5,23.9,27.0,80
2014-06-22,0.2,33.0,26.0,29.0,67
2014-06-23,0.0,34.9,27.1,30.3,59
2014-06-24,0.3,35.6,26.4,30.4,61
2014-06-25,0.0,35.9,26.2,30.8,59
2014-06-26,1.0,30.7,26.4,28.2,74
2014-06-27,35.6,29.6,24.3,26.3,85
2014-06-28,3.6,31.0,24.4,27.4,78
2014-06-29,4.6,32.7,24.4,28.1,75
2014-06-30,3.9,30.9,25.9,28.2,74
2014-07-01,0.2,34.7,26.5,30.1,63
2014-07-02,0.0,35.6,27.4,31.0,56
2014-07-03,0.0,35.1,28.1,30.9,57
2014-07-04,0.9,33.1,26.2,29.5,69
2014-07-05,0.3,30.1,26.6,28.2,75
2014-07-06,8.1,32.1,25.9,28.3,76
2014-07-07,0.8,33.2,25.5,29.1,73
2014-07-08,3.2,33.5,25.6,29.2,75
2014-07-09,0.9,33.3,26.3,29.4,72
2014-07-10,4.1,33.3,26.6,29.2,73
2014-07-11,23.0,28.2,24.9,26.2,86
2014-07-12,18.1,29.1,24.1,26.0,87
2014-07-13,41.5,27.5,24.4,25.5,92
2014-07-14,37.1,26.5,24.6,25.3,92
2014-07-15,46.8,27.5,24.4,25.7,88
2014-07-16,0.3,30.1,24.4,27.0,78
2014-07-17,9.7,29.4,24.5,26.6,80
2014-07-18,33.8,27.7,24.5,25.3,88
2014-07-19,43.7,25.5,24.1,24.7,90
2014-07-20,104.9,24.7,23.9,24.2,91
2014-07-21,146.3,24.0,22.8,23.6,88
2014-07-22,55.3,25.6,22.5,23.7,83
2014-07-23,0.3,29.1,24.4,26.1,71
2014-07-24,0.0,30.2,23.0,26.6,74
2014-07-25,4.7,27.6,23.7,25.4,84
2014-07-26,2.4,27.4,23.8,25.3,85
