date,rain,tmax,tmin,tmean,humidity
2023-12-21,0.0,26.2,12.4,18.8,53
2023-12-22,0.0,26.3,13.8,19.7,55
2023-12-23,0.0,28.6,14.4,20.3,58
2023-12-24,0.0,28.7,14.0,20.8,65
2023-12-25,0.0,28.6,14.2,21.4,65
2023-12-26,0.0,29.4,13.9,21.2,61
2023-12-27,0.0,29.1,13.6,20.9,64
2023-12-28,0.0,28.2,14.3,20.8,67
2023-12-29,0.0,28.6,15.2,21.4,68
2023-12-30,0.0,29.1,15.6,22.0,71
2023-12-31,0.0,28.9,17.1,22.2,71
2024-01-01,0.0,29.0,16.2,22.2,67
2024-01-02,0.0,28.2,16.6,21.8,70
2024-01-03,1.5,27.0,16.8,21.4,75
2024-01-04,9.5,25.0,16.6,20.0,85
2024-01-05,0.2,24.2,16.6,19.7,85
2024-01-06,0.0,24.0,16.5,19.4,85
2024-01-07,3.5,24.7,16.2,19.5,85
2024-01-08,0.3,26.9,15.8,20.6,82
2024-01-09,0.0,27.8,16.2,21.3,78
2024-01-10,0.0,25.9,17.9,21.3,81
2024-01-11,0.0,26.9,16.8,21.3,80
2024-01-12,0.0,28.0,17.5,22.1,78
2024-01-13,0.0,30.5,17.0,22.9,72
2024-01-14,0.0,28.4,17.0,21.6,62
2024-01-15,0.0,25.5,13.4,19.2,64
2024-01-16,0.0,26.0,13.1,19.2,70
2024-01-17,0.0,26.2,14.2,20.1,67
2024-01-18,0.0,26.2,15.1,20.1,67
2024-01-19,0.0,25.5,15.1,19.8,59
2024-01-20,0.0,25.4,15.2,19.6,63
2024-01-21,0.0,24.3,13.0,18.0,65
2024-01-22,0.0,25.2,11.9,18.2,64
2024-01-23,0.0,24.8,13.9,18.2,56
2024-01-24,0.0,24.4,10.6,16.9,55
2024-01-25,0.0,25.0,10.2,17.7,45
2024-01-26,0.0,26.4,10.4,17.9,50
2024-01-27,0.0,27.4,12.1,19.0,51
2024-01-28,0.0,29.0,13.1,20.6,56
2024-01-29,0.0,28.8,15.6,21.4,55
2024-01-30,0.0,27.5,13.9,20.6,57
2024-01-31,0.0,28.6,15.6,21.9,55
2024-02-01,0.0,27.8,15.6,21.4,57
