date,rain,tmax,tmin,tmean,humidity
2023-12-21,0.0,26.5,13.5,19.2,56
2023-12-22,0.0,25.6,15.1,19.3,60
2023-12-23,0.0,28.6,13.9,20.1,63
2023-12-24,0.0,29.0,13.4,20.3,67
2023-12-25,0.0,29.2,13.6,20.7,69
2023-12-26,0.0,30.0,14.0,21.1,65
2023-12-27,0.0,30.0,14.6,21.5,64
2023-12-28,0.0,29.0,15.6,21.8,65
2023-12-29,0.0,29.6,16.3,21.9,67
2023-12-30,0.0,30.0,15.8,21.9,74
2023-12-31,0.0,29.8,16.2,22.3,72
2024-01-01,0.0,30.5,17.1,22.9,64
2024-01-02,0.0,30.4,16.7,22.6,65
2024-01-03,0.2,27.5,16.8,21.8,73
2024-01-04,0.6,26.2,16.8,21.2,79
2024-01-05,0.6,25.1,17.0,20.1,84
2024-01-06,0.0,25.8,16.6,20.3,81
2024-01-07,2.1,26.0,16.8,20.3,82
2024-01-08,0.3,27.9,16.6,20.8,82
2024-01-09,0.0,27.9,16.5,21.5,79
2024-01-10,0.7,27.6,17.7,21.8,80
2024-01-11,0.0,28.0,17.6,22.0,79
2024-01-12,0.0,28.9,17.2,22.5,79
2024-01-13,0.0,30.5,18.1,23.2,74
2024-01-14,0.0,28.5,17.0,21.7,59
2024-01-15,0.0,26.1,13.1,19.3,61
2024-01-16,0.0,27.0,13.8,19.8,70
2024-01-17,0.0,26.9,14.0,20.1,68
2024-01-18,0.0,27.4,14.6,20.5,61
2024-01-19,0.0,26.8,14.8,20.3,60
2024-01-20,0.0,26.5,14.9,19.9,60
2024-01-21,0.0,25.2,13.4,18.5,61
2024-01-22,0.0,26.0,11.9,18.5,61
2024-01-23,0.0,25.7,13.1,18.5,52
2024-01-24,0.0,25.3,11.2,17.7,49
2024-01-25,0.0,26.0,10.7,17.7,47
2024-01-26,0.0,27.4,11.2,18.6,50
2024-01-27,0.0,28.5,11.9,19.5,52
2024-01-28,0.0,30.4,13.4,20.6,58
2024-01-29,0.0,28.9,14.5,21.4,54
2024-01-30,0.0,28.0,14.6,20.8,57
2024-01-31,0.0,28.3,14.9,21.4,59
