date,rain,tmax,tmin,tmean,humidity
2022-12-09,4.7,26.9,18.9,22.8,50
2022-12-10,9.9,24.8,19.2,22.0,84
2022-12-11,4.0,25.4,21.4,22.9,88
2022-12-12,10.7,27.0,20.9,22.9,90
2022-12-13,0.5,28.6,21.4,24.4,81
2022-12-14,0.5,28.9,20.5,24.1,82
2022-12-15,0.0,28.6,19.0,23.0,78
2022-12-16,0.0,29.5,17.4,23.5,68
2022-12-17,0.0,29.3,20.0,24.2,74
2022-12-18,0.0,29.2,20.4,23.9,72
2022-12-19,0.0,27.8,18.1,22.4,75
2022-12-20,0.0,28.2,15.8,21.8,73
2022-12-21,0.0,28.7,16.6,22.2,70
2022-12-22,0.0,29.0,16.5,22.4,68
2022-12-23,0.0,28.8,16.6,22.4,70
2022-12-24,0.0,28.9,15.9,21.9,66
2022-12-25,0.0,30.6,17.6,23.8,73
2022-12-26,1.2,30.3,21.2,25.3,76
2022-12-27,0.0,30.2,21.0,25.1,74
2022-12-28,0.0,31.5,20.5,25.8,69
2022-12-29,0.0,31.6,20.8,25.9,65
2022-12-30,0.0,31.6,20.4,25.6,60
2022-12-31,0.0,31.5,19.1,25.2,56
2023-01-01,0.0,32.2,19.7,25.6,55
2023-01-02,0.0,31.4,19.9,25.5,58
2023-01-03,0.0,30.9,19.7,25.0,59
2023-01-04,0.0,31.1,19.5,25.0,62
2023-01-05,0.1,29.0,19.5,24.2,70
2023-01-06,0.2,30.2,20.5,24.6,65
2023-01-07,0.2,29.6,18.9,23.8,65
2023-01-08,0.0,28.9,17.2,22.4,47
2023-01-09,0.0,28.2,14.5,20.8,49
2023-01-10,0.0,29.6,15.2,21.9,53
2023-01-11,0.0,30.4,16.2,22.6,55
2023-01-12,0.0,31.0,15.9,22.8,54
2023-01-13,0.0,31.2,16.8,23.4,49
2023-01-14,0.0,30.9,16.7,23.3,53
2023-01-15,0.0,31.5,16.6,23.5,53
2023-01-16,0.0,31.3,15.9,23.2,51
2023-01-17,0.0,31.2,16.2,23.0,56
2023-01-18,0.0,31.4,16.9,23.3,56
2023-01-19,0.0,30.5,16.5,23.5,58
2023-01-20,0.0,30.3,17.5,24.0,59
2023-01-21,0.0,30.0,18.3,24.1,60
2023-01-22,0.0,31.0,18.4,24.8,57
2023-01-23,0.0,32.2,18.5,25.0,59
2023-01-24,0.0,31.7,19.5,25.1,59
2023-01-25,0.0,31.2,19.1,24.7,56
2023-01-26,0.0,32.0,17.4,24.3,57
2023-01-27,0.0,32.7,16.9,24.4,55
2023-01-28,0.0,32.7,17.8,24.8,45
2023-01-29,0.0,32.6,17.7,25.1,44
2023-01-30,1.2,31.1,20.1,25.4,65
2023-01-31,0.0,33.0,20.1,25.7,56
2023-02-01,0.0,32.0,19.2,25.4,51
2023-02-02,0.0,31.6,18.6,25.0,51
2023-02-03,0.0,31.9,19.2,25.3,55
2023-02-04,0.0,32.1,19.6,25.7,55
2023-02-05,0.0,32.8,19.8,25.9,48
2023-02-06,0.0,32.7,19.5,25.8,52
2023-02-07,0.0,33.2,20.9,26.5,49
2023-02-08,0.0,33.6,20.5,26.7,52
2023-02-09,0.0,33.4,20.6,26.8,48
2023-02-10,0.0,33.4,21.8,26.7,44
2023-02-11,0.0,34.3,20.8,27.0,36
2023-02-12,0.0,35.3,18.4,27.0,34
2023-02-13,0.0,34.2,20.2,27.0,31
2023-02-14,0.0,33.3,17.6,25.2,31
2023-02-15,0.0,34.7,17.1,25.6,31
2023-02-16,0.0,35.0,19.0,26.5,32
2023-02-17,0.0,34.0,18.0,25.9,39
2023-02-18,0.0,33.5,19.0,26.3,46
