date,rain,tmax,tmin,tmean,humidity
2009-11-06,0.0,30.9,17.0,24.0,53
2009-11-07,0.0,31.0,16.0,23.5,54
2009-11-08,0.0,32.1,18.6,24.8,44
2009-11-09,0.0,28.8,18.2,23.2,50
2009-11-10,0.0,26.6,13.9,19.9,59
2009-11-11,0.0,25.4,12.1,18.5,45
2009-11-12,0.0,26.3,8.5,17.8,47
2009-11-13,5.7,20.6,15.5,18.4,68
2009-11-14,0.0,23.7,17.1,20.1,74
2009-11-15,0.0,25.7,15.1,20.4,72
2009-11-16,0.0,27.2,13.8,20.2,63
2009-11-17,0.0,26.8,12.0,18.9,56
2009-11-18,0.0,25.6,11.7,18.2,51
2009-11-19,0.0,25.1,12.6,18.1,53
2009-11-20,0.0,26.0,9.8,18.5,46
2009-11-21,0.0,27.5,9.8,18.2,37
2009-11-22,0.0,27.3,11.2,18.7,38
2009-11-23,0.0,27.4,12.9,19.2,41
2009-11-24,0.0,26.6,10.3,18.5,52
2009-11-25,0.0,28.6,13.1,20.0,42
2009-11-26,0.0,26.3,10.7,18.3,54
2009-11-27,0.0,24.6,10.2,17.4,49
2009-11-28,0.0,24.7,8.5,16.7,49
2009-11-29,0.0,24.6,10.1,17.9,50
2009-11-30,0.0,25.8,13.3,19.0,49
2009-12-01,0.0,25.0,9.5,17.4,59
2009-12-02,0.0,26.1,10.0,18.0,61
2009-12-03,0.0,26.2,12.8,18.6,57
2009-12-04,0.0,26.5,12.1,18.4,53
2009-12-05,0.0,26.4,12.1,18.7,55
2009-12-06,0.0,24.5,13.1,17.7,40
2009-12-07,0.0,23.0,8.6,15.5,49
2009-12-08,0.0,23.2,6.9,15.2,40
2009-12-09,0.0,22.9,7.3,15.5,48
2009-12-10,0.0,23.1,10.8,16.6,54
2009-12-11,0.0,23.6,9.6,16.8,51
2009-12-12,0.0,23.2,11.3,16.7,55
2009-12-13,0.0,23.8,8.8,16.1,60
2009-12-14,0.0,22.8,10.2,16.6,57
2009-12-15,0.0,23.6,12.2,17.3,57
2009-12-16,0.0,23.9,9.2,16.3,57
2009-12-17,0.0,23.6,7.6,16.0,56
2009-12-18,0.0,23.6,10.9,16.2,51
2009-12-19,0.0,23.0,9.3,15.6,54
2009-12-20,0.0,21.1,8.4,14.3,63
2009-12-21,0.0,22.3,6.7,14.3,65
2009-12-22,0.0,23.1,9.0,16.0,54
2009-12-23,0.0,24.1,8.4,16.2,56
2009-12-24,0.0,24.1,8.4,16.0,59
2009-12-25,0.0,23.1,7.2,15.7,57
2009-12-26,0.0,23.3,6.7,14.7,55
