date,rain,tmax,tmin,tmean,humidity
2017-06-19,0.8,37.0,25.8,31.4,55
2017-06-20,0.7,36.8,27.0,31.3,54
2017-06-21,4.5,35.8,25.3,30.2,60
2017-06-22,8.1,33.5,24.9,28.9,65
2017-06-23,1.8,33.7,24.5,29.2,66
2017-06-24,5.1,34.5,25.5,29.3,67
2017-06-25,15.8,33.3,25.2,27.6,82
2017-06-26,14.2,30.5,24.0,26.8,84
2017-06-27,20.3,30.6,24.0,26.6,86
2017-06-28,32.8,27.5,24.1,25.2,92
2017-06-29,17.6,29.8,23.9,25.8,90
2017-06-30,12.5,29.8,23.2,25.8,88
2017-07-01,2.2,29.7,24.3,26.3,84
2017-07-02,27.3,28.1,23.6,25.5,89
2017-07-03,27.0,27.6,23.9,25.3,89
2017-07-04,17.4,26.1,23.1,24.4,91
2017-07-05,6.1,29.0,22.6,25.4,84
2017-07-06,1.4,29.0,24.0,26.3,80
2017-07-07,2.8,30.5,23.1,27.1,76
2017-07-08,3.4,31.1,24.5,27.7,75
2017-07-09,15.9,28.0,24.6,26.3,83
2017-07-10,20.0,25.4,23.1,24.2,90
2017-07-11,10.2,28.5,22.7,25.1,87
2017-07-12,12.5,26.0,23.2,24.6,89
2017-07-13,5.0,26.8,23.1,24.7,88
2017-07-14,10.3,29.0,23.2,25.2,87
2017-07-15,10.5,26.9,23.4,24.7,91
2017-07-16,4.4,28.1,23.3,25.3,87
2017-07-17,7.3,30.5,23.3,26.1,86
2017-07-18,27.1,31.3,23.4,26.4,86
2017-07-19,29.3,29.8,23.5,26.1,88
2017-07-20,15.9,28.5,24.0,25.4,90
2017-07-21,9.6,29.5,23.7,25.7,86
2017-07-22,15.1,28.7,23.4,25.7,86
2017-07-23,14.0,28.1,23.8,25.1,88
2017-07-24,12.3,27.4,23.4,24.9,87
2017-07-25,4.5,27.5,22.5,24.6,85
2017-07-26,14.5,24.9,23.0,23.8,91
2017-07-27,46.0,23.9,22.4,23.1,95
2017-07-28,5.5,28.5,22.9,24.9,87
2017-07-29,1.4,29.8,23.3,26.0,82
2017-07-30,1.5,29.1,23.2,25.5,86
2017-07-31,11.8,29.0,23.0,25.8,86
2017-08-01,6.6,29.3,23.4,26.2,85
2017-08-02,9.1,29.4,24.4,26.7,80
2017-08-03,3.1,28.8,24.4,26.1,78
2017-08-04,7.6,28.9,23.6,25.5,85
2017-08-05,0.9,27.8,23.5,25.6,85
2017-08-06,12.4,28.7,24.0,25.6,89
2017-08-07,17.1,28.2,24.0,25.6,90
2017-08-08,13.5,28.2,23.5,25.3,91
2017-08-09,61.0,28.5,23.6,25.1,90
2017-08-10,4.0,29.6,23.6,26.0,85
2017-08-11,8.3,30.0,23.8,25.9,84
2017-08-12,2.2,28.5,23.9,25.6,83
2017-08-13,1.1,27.0,23.2,24.9,85
2017-08-14,5.8,27.8,22.8,25.3,86
2017-08-15,0.2,30.1,23.0,26.6,81
2017-08-16,1.5,30.2,23.5,26.6,81
2017-08-17,7.0,29.0,24.2,26.1,85
2017-08-18,15.3,30.2,24.0,26.2,88
2017-08-19,4.8,31.2,23.7,26.8,82
2017-08-20,1.4,30.4,23.9,26.8,79
2017-08-21,1.1,30.0,23.8,26.4,80
2017-08-22,0.6,30.0,22.2,26.2,78
2017-08-23,8.9,30.5,22.9,26.2,85
2017-08-24,19.0,29.7,23.9,26.1,87
2017-08-25,6.5,30.9,23.4,26.1,87
2017-08-26,7.6,29.0,23.3,25.9,89
2017-08-27,15.1,28.9,23.6,25.9,89
2017-08-28,23.3,28.4,23.5,25.3,90
2017-08-29,17.0,28.0,23.1,24.9,88
2017-08-30,6.9,29.0,23.1,25.7,84
2017-08-31,2.3,30.5,23.2,26.1,85
2017-09-01,0.9,30.1,22.8,26.2,82
2017-09-02,1.0,29.6,22.4,26.0,80
2017-09-03,1.4,29.8,22.0,25.7,83
2017-09-04,1.6,29.9,23.4,26.4,84
2017-09-05,1.1,30.1,23.6,26.6,85
2017-09-06,2.5,31.0,23.5,26.5,84
2017-09-07,3.3,30.4,23.3,26.7,86
2017-09-08,12.4,29.7,23.4,26.2,88
2017-09-09,5.6,31.3,23.2,26.5,88
2017-09-10,16.5,29.2,24.0,26.2,89
2017-09-11,12.2,29.9,23.5,26.1,89
2017-09-12,6.1,30.9,23.1,26.1,87
2017-09-13,6.3,28.4,23.6,25.4,90
2017-09-14,4.6,28.5,23.0,25.0,89
2017-09-15,1.5,29.1,22.2,25.9,84
2017-09-16,14.2,30.4,23.4,25.8,89
2017-09-17,5.5,31.5,23.5,26.8,87
2017-09-18,7.3,29.6,23.6,25.9,89
2017-09-19,13.6,28.5,23.3,25.6,90
2017-09-20,31.3,28.1,23.0,25.0,91
2017-09-21,18.0,28.1,22.9,24.4,91
2017-09-22,0.2,28.0,22.3,24.5,85
2017-09-23,0.9,29.4,21.0,25.3,84
2017-09-24,1.5,30.5,22.0,26.0,83
2017-09-25,0.0,30.9,21.4,26.0,81
2017-09-26,0.1,30.8,20.6,25.9,80
2017-09-27,0.1,31.5,21.1,26.2,78
2017-09-28,0.0,31.3,21.4,25.9,76
2017-09-29,0.0,31.1,21.1,25.8,76
2017-09-30,0.0,31.9,21.0,26.3,74
2017-10-01,0.0,30.8,22.5,26.6,76
2017-10-02,0.0,31.9,21.9,26.3,74
2017-10-03,0.0,32.0,19.3,25.1,73
2017-10-04,0.0,32.2,19.5,25.9,72
2017-10-05,5.1,30.5,23.2,25.9,83
2017-10-06,8.5,31.4,22.7,26.2,84
2017-10-07,7.2,30.0,22.9,25.6,87
2017-10-08,16.2,30.0,22.9,25.8,87
2017-10-09,6.3,28.6,22.8,25.1,89
2017-10-10,1.9,30.1,22.3,25.6,84
2017-10-11,0.6,30.2,22.3,25.7,84
