date,rain,tmax,tmin,tmean,humidity
2016-09-15,2.3,30.4,23.8,26.6,85
2016-09-16,1.2,30.9,24.8,27.3,83
2016-09-17,4.3,31.8,24.7,27.7,83
2016-09-18,6.7,31.4,24.1,27.2,85
2016-09-19,13.1,30.9,24.2,26.8,89
2016-09-20,8.7,30.2,24.1,26.6,87
2016-09-21,6.9,30.6,24.1,26.9,86
2016-09-22,2.4,29.8,24.6,26.6,84
2016-09-23,7.2,30.4,24.0,26.3,85
2016-09-24,15.5,29.9,24.2,26.2,87
2016-09-25,24.8,29.2,24.0,25.6,90
2016-09-26,30.7,28.5,23.7,25.1,92
2016-09-27,10.4,27.2,24.0,25.0,91
2016-09-28,21.9,28.4,23.3,25.1,90
2016-09-29,14.0,27.8,23.6,24.7,93
2016-09-30,9.2,28.8,23.6,25.5,89
2016-10-01,1.1,30.0,23.9,26.1,85
2016-10-02,5.9,29.3,23.9,26.1,86
2016-10-03,3.0,30.4,24.0,26.7,85
2016-10-04,0.0,30.4,23.7,26.8,82
2016-10-05,11.2,30.8,24.2,27.0,82
2016-10-06,14.0,30.6,23.8,26.3,88
2016-10-07,14.6,30.4,23.5,25.8,90
2016-10-08,24.4,28.9,23.4,25.0,92
2016-10-09,8.3,29.8,23.4,25.7,89
2016-10-10,0.0,31.8,22.2,26.5,75
2016-10-11,0.3,32.2,20.7,26.0,76
2016-10-12,0.0,30.8,19.9,25.5,74
2016-10-13,0.0,31.0,19.1,25.3,70
2016-10-14,0.0,30.6,21.0,25.0,69
2016-10-15,0.0,30.6,18.4,24.3,67
2016-10-16,0.0,30.4,17.5,23.9,66
2016-10-17,0.0,29.9,17.8,24.0,71
2016-10-18,0.0,30.5,19.1,24.3,68
2016-10-19,0.0,29.9,17.0,23.2,68
2016-10-20,0.0,29.5,16.8,23.1,68
2016-10-21,0.0,29.8,17.4,23.4,71
2016-10-22,0.0,31.0,17.3,23.9,67
2016-10-23,0.0,31.0,16.4,23.5,65
2016-10-24,0.0,31.3,16.8,24.1,66
2016-10-25,0.0,31.1,17.4,23.9,68
2016-10-26,0.0,30.4,17.4,23.6,65
2016-10-27,0.0,29.4,16.4,22.5,63
2016-10-28,0.0,29.4,17.6,23.0,68
2016-10-29,0.1,28.8,18.4,23.5,70
2016-10-30,0.0,29.4,18.0,23.4,70
2016-10-31,0.0,29.0,17.7,23.4,63
2016-11-01,0.0,28.7,16.6,22.9,63
2016-11-02,0.0,28.1,18.5,22.9,69
2016-11-03,0.0,29.6,18.8,23.9,71
2016-11-04,0.4,28.6,19.2,24.0,71
2016-11-05,0.0,28.9,20.5,24.2,68
2016-11-06,0.0,29.7,18.3,23.7,56
2016-11-07,0.0,30.4,13.8,21.6,55
2016-11-08,0.0,30.0,16.0,22.2,56
2016-11-09,0.0,28.8,13.8,20.7,57
2016-11-10,0.0,29.0,13.3,21.0,60
2016-11-11,0.0,28.1,13.7,21.0,61
2016-11-12,0.0,27.9,14.0,21.6,63
2016-11-13,0.0,28.1,15.2,22.1,67
