date,rain,tmax,tmin,tmean,humidity
2006-01-01,0.0,22.1,9.2,15.3,58
2006-01-02,6.9,20.5,13.7,16.3,54
2006-01-03,11.1,15.6,10.3,13.3,86
2006-01-04,0.0,16.9,6.5,11.2,83
2006-01-05,0.0,17.4,5.0,10.6,78
2006-01-06,0.0,17.5,3.7,10.1,72
2006-01-07,0.0,18.0,3.7,10.2,72
2006-01-08,0.0,18.8,4.4,10.9,72
2006-01-09,0.0,18.0,4.5,11.1,67
2006-01-10,0.0,18.3,7.8,12.2,63
2006-01-11,0.0,21.1,5.6,12.4,66
2006-01-12,0.0,21.5,6.0,12.9,64
2006-01-13,0.0,21.4,6.3,13.3,62
2006-01-14,0.0,22.8,6.8,14.4,58
2006-01-15,0.0,21.3,12.4,16.4,58
2006-01-16,1.2,20.9,14.0,16.6,59
2006-01-17,0.5,21.4,13.5,17.3,60
2006-01-18,0.0,19.8,12.4,15.9,71
2006-01-19,0.0,20.7,8.5,13.9,70
2006-01-20,0.0,21.5,5.7,12.9,62
2006-01-21,0.0,19.3,6.0,12.3,63
2006-01-22,0.0,17.4,6.6,11.9,62
2006-01-23,0.0,17.7,3.2,10.4,66
2006-01-24,0.0,18.8,4.1,11.2,66
2006-01-25,0.0,18.9,3.9,11.1,62
2006-01-26,0.0,20.1,4.1,11.7,66
2006-01-27,0.0,21.1,4.9,12.7,62
2006-01-28,0.0,21.1,8.6,14.4,64
2006-01-29,0.0,24.4,8.3,15.5,66
2006-01-30,0.0,25.1,9.3,16.5,66
2006-01-31,0.0,25.4,10.1,17.0,58
2006-02-01,0.0,24.5,11.6,17.4,51
2006-02-02,0.0,24.7,9.5,16.8,61
2006-02-03,0.0,25.1,9.4,16.9,63
2006-02-04,0.0,25.5,8.8,16.9,57
2006-02-05,0.0,26.5,8.7,17.1,53
2006-02-06,0.0,25.0,9.9,17.5,53
2006-02-07,0.0,24.1,11.0,17.7,46
2006-02-08,0.0,26.7,13.1,19.3,44
2006-02-09,0.0,26.9,10.7,18.7,48
2006-02-10,0.0,26.1,10.7,18.3,51
2006-02-11,0.0,26.4,10.9,18.5,54
2006-02-12,0.0,27.7,11.4,19.6,53
2006-02-13,0.0,28.8,14.4,21.3,52
2006-02-14,0.0,27.9,15.8,21.7,53
2006-02-15,6.7,26.8,14.9,19.4,61
2006-02-16,0.0,26.6,12.4,19.4,58
2006-02-17,0.0,29.2,12.5,20.7,46
2006-02-18,0.0,29.3,13.7,21.5,49
2006-02-19,0.0,29.8,15.5,22.2,53
