date,rain,tmax,tmin,tmean,humidity
2017-01-28,0.0,20.5,10.7,14.7,76
2017-01-29,0.0,22.8,10.2,15.9,73
2017-01-30,0.0,24.0,13.2,18.0,67
2017-01-31,0.0,25.4,11.8,18.2,69
2017-02-01,0.0,24.9,13.1,18.6,66
2017-02-02,0.0,25.1,14.2,18.7,63
2017-02-03,0.0,24.5,12.3,17.8,69
2017-02-04,0.0,26.8,12.4,18.5,63
2017-02-05,0.0,29.5,14.5,21.3,51
2017-02-06,0.0,26.4,16.8,21.0,59
2017-02-07,0.0,23.6,13.1,17.8,64
2017-02-08,0.0,25.9,12.4,18.8,55
2017-02-09,0.0,26.5,14.6,20.0,58
2017-02-10,0.0,22.3,12.6,16.7,54
2017-02-11,1.8,23.3,11.9,16.7,60
2017-02-12,0.6,25.0,13.8,19.0,78
2017-02-13,0.3,24.6,15.9,19.8,76
2017-02-14,0.0,25.2,14.6,19.6,64
2017-02-15,0.0,25.6,12.7,19.2,47
2017-02-16,0.0,27.2,14.1,21.0,45
2017-02-17,0.0,28.1,15.1,21.4,54
2017-02-18,0.0,28.8,15.8,21.8,56
2017-02-19,0.0,29.5,15.2,23.2,51
2017-02-20,0.0,32.2,19.0,25.3,39
2017-02-21,0.0,30.0,19.7,24.4,38
2017-02-22,0.0,27.3,15.0,20.9,42
2017-02-23,0.0,26.2,14.7,20.2,39
2017-02-24,0.0,25.9,14.4,19.1,35
2017-02-25,0.0,27.1,13.2,20.5,33
2017-02-26,0.0,29.1,15.1,22.1,34
2017-02-27,0.0,28.0,15.2,21.7,36
2017-02-28,0.0,30.8,16.9,24.4,33
2017-03-01,0.0,33.7,19.3,25.7,33
2017-03-02,0.0,32.2,19.3,24.7,42
2017-03-03,0.0,30.0,18.5,23.8,46
2017-03-04,0.0,28.0,17.9,22.4,44
2017-03-05,0.0,27.8,16.6,21.3,36
2017-03-06,0.0,27.9,15.6,21.4,30
2017-03-07,0.0,29.5,15.5,23.0,29
2017-03-08,0.1,29.4,19.1,24.0,34
2017-03-09,0.0,30.2,18.6,24.1,43
2017-03-10,2.1,26.4,17.3,20.9,58
2017-03-11,0.3,27.2,15.2,20.7,53
2017-03-12,0.0,25.1,13.4,19.3,48
2017-03-13,0.0,25.1,12.8,19.1,41
2017-03-14,0.0,26.8,14.6,20.7,37
2017-03-15,0.0,27.9,14.4,21.8,33
2017-03-16,0.0,31.2,16.8,24.2,30
2017-03-17,0.0,30.6,18.2,24.3,32
2017-03-18,0.0,29.8,17.1,23.9,38
2017-03-19,3.7,27.5,17.3,21.8,56
2017-03-20,0.0,29.0,17.0,23.5,46
2017-03-21,0.0,31.5,16.9,25.8,35
2017-03-22,0.0,34.1,19.9,28.1,31
2017-03-23,0.0,35.5,23.0,29.7,31
2017-03-24,0.0,36.9,22.0,29.5,30
2017-03-25,0.0,35.0,21.5,28.6,33
2017-03-26,0.0,35.0,23.2,28.8,31
2017-03-27,0.0,35.8,22.5,29.3,34
2017-03-28,0.0,37.8,24.1,31.2,32
2017-03-29,0.0,38.8,24.0,31.4,29
2017-03-30,0.0,39.0,24.7,32.0,23
2017-03-31,0.0,39.2,25.1,32.0,24
2017-04-01,0.0,39.2,24.1,31.6,21
2017-04-02,0.0,38.9,23.7,31.9,20
2017-04-03,0.1,38.9,24.9,31.8,21
2017-04-04,0.0,38.8,24.0,32.0,21
2017-04-05,0.0,39.0,24.9,32.2,27
2017-04-06,0.0,38.1,25.8,31.7,32
2017-04-07,0.0,36.5,25.5,31.0,27
2017-04-08,0.0,35.8,22.8,29.5,29
2017-04-09,0.0,34.0,21.9,27.7,21
2017-04-10,0.0,33.6,19.9,26.7,18
2017-04-11,0.0,35.6,20.4,28.4,19
2017-04-12,0.0,37.8,22.6,30.6,19
2017-04-13,0.0,38.4,22.5,32.9,18
2017-04-14,0.0,39.0,26.0,32.4,19
2017-04-15,0.0,40.1,24.0,32.8,20
2017-04-16,0.0,38.8,25.4,32.5,24
2017-04-17,0.0,38.2,25.9,32.0,32
2017-04-18,0.0,40.2,26.5,32.8,29
2017-04-19,0.0,41.3,27.4,34.0,20
2017-04-20,0.0,40.2,26.6,33.3,20
2017-04-21,0.1,41.0,29.0,34.3,22
2017-04-22,0.5,40.0,29.8,34.2,19
2017-04-23,0.0,39.4,28.5,33.5,22
2017-04-24,0.0,38.8,28.4,32.9,22
2017-04-25,0.2,36.8,26.3,31.6,22
2017-04-26,0.0,37.5,25.1,31.0,21
2017-04-27,0.0,38.0,23.6,31.2,19
2017-04-28,0.0,38.8,25.2,32.0,18
2017-04-29,0.0,39.5,24.3,32.5,18
2017-04-30,0.0,37.8,26.4,32.3,21
2017-05-01,0.0,38.1,26.5,32.3,23
2017-05-02,0.0,38.0,23.6,31.4,28
2017-05-03,0.0,39.6,26.5,33.7,18
2017-05-04,0.1,39.2,27.5,33.2,22
2017-05-05,0.0,39.5,26.4,33.3,22
2017-05-06,0.1,38.8,27.2,33.3,21
2017-05-07,0.1,41.0,26.9,33.7,21
2017-05-08,0.0,41.3,27.9,34.4,23
2017-05-09,0.2,40.4,26.6,34.1,24
2017-05-10,0.3,39.8,28.5,34.1,24
2017-05-11,0.0,40.3,26.5,33.1,34
2017-05-12,0.1,41.2,28.5,34.7,28
2017-05-13,0.0,41.2,29.4,35.5,24
2017-05-14,0.0,42.4,27.5,36.0,20
2017-05-15,0.0,42.2,29.4,35.7,21
2017-05-16,0.0,41.5,31.4,35.9,21
2017-05-17,0.0,41.5,28.5,34.3,29
2017-05-18,0.1,37.6,26.6,32.1,42
2017-05-19,0.3,40.0,28.0,33.6,30
2017-05-20,0.0,39.5,27.9,33.8,25
2017-05-21,0.0,40.0,27.0,34.1,24
2017-05-22,0.2,39.6,28.0,33.3,28
2017-05-23,0.0,37.9,26.9,32.4,32
2017-05-24,0.3,39.4,28.2,33.9,29
2017-05-25,0.2,41.0,29.5,34.8,29
2017-05-26,0.0,42.0,29.6,35.9,25
2017-05-27,0.0,43.8,30.2,36.5,26
2017-05-28,0.0,41.0,27.3,33.5,39
2017-05-29,0.9,37.5,24.6,31.2,48
2017-05-30,0.4,35.8,26.5,30.3,56
2017-05-31,0.0,38.3,26.9,32.3,50
2017-06-01,0.0,36.8,27.0,31.7,54
2017-06-02,0.0,38.8,27.0,32.8,42
2017-06-03,0.0,41.2,27.5,35.3,30
2017-06-04,0.0,42.5,30.2,36.4,28
2017-06-05,0.0,41.7,31.0,36.0,30
2017-06-06,3.4,37.4,29.5,33.3,48
2017-06-07,1.3,36.5,26.1,31.2,59
2017-06-08,0.0,36.3,27.2,31.6,57
2017-06-09,3.3,34.1,27.2,30.8,60
2017-06-10,1.2,35.0,27.3,31.6,53
2017-06-11,0.0,38.7,27.9,32.8,45
2017-06-12,0.0,38.0,28.2,33.2,40
2017-06-13,0.2,39.0,26.9,33.7,34
2017-06-14,0.2,39.7,29.5,34.6,33
2017-06-15,1.0,38.2,28.2,33.4,40
2017-06-16,0.1,38.2,27.5,32.7,44
2017-06-17,0.2,37.7,28.0,32.5,47
2017-06-18,1.3,36.0,28.1,32.3,49
2017-06-19,0.8,37.2,28.7,32.2,52
2017-06-20,2.6,35.5,26.3,30.3,62
2017-06-21,0.7,36.0,26.5,30.8,59
2017-06-22,1.3,35.3,26.0,29.7,63
2017-06-23,0.7,33.5,25.9,29.9,61
2017-06-24,1.4,36.4,27.1,31.6,54
2017-06-25,8.7,34.8,26.3,30.7,63
2017-06-26,14.4,35.0,25.9,30.1,68
2017-06-27,16.6,32.8,25.9,29.1,78
2017-06-28,22.8,32.3,24.0,27.6,84
2017-06-29,9.0,30.4,25.0,27.4,85
2017-06-30,9.4,31.5,25.7,28.1,80
2017-07-01,4.2,31.5,26.0,28.2,77
2017-07-02,7.7,31.6,26.3,28.3,77
2017-07-03,6.9,28.9,25.0,26.9,81
2017-07-04,12.8,28.1,23.4,25.7,88
2017-07-05,26.8,27.6,24.1,25.8,86
2017-07-06,0.7,30.0,25.8,27.8,72
2017-07-07,0.2,30.4,25.9,27.9,70
2017-07-08,0.5,29.9,26.6,27.7,76
2017-07-09,22.2,29.8,24.9,26.9,86
2017-07-10,18.1,27.5,24.5,25.8,90
2017-07-11,19.7,28.7,24.2,25.5,90
2017-07-12,91.5,25.8,23.5,24.0,97
2017-07-13,2.6,28.4,23.3,25.4,89
2017-07-14,0.6,29.8,24.0,26.5,83
2017-07-15,4.9,30.6,24.1,27.1,83
2017-07-16,4.7,30.5,24.3,26.9,85
