date,rain,tmax,tmin,tmean,humidity
2021-12-25,0.0,27.1,19.1,22.6,73
2021-12-26,0.0,26.6,18.9,22.4,78
2021-12-27,0.0,27.4,19.7,23.0,75
2021-12-28,0.4,27.1,19.1,22.3,64
2021-12-29,0.0,26.6,16.5,21.2,52
2021-12-30,0.0,26.8,16.2,21.1,44
2021-12-31,0.0,28.9,17.4,22.5,47
2022-01-01,0.0,28.5,18.6,23.0,57
2022-01-02,0.0,28.6,19.8,23.7,61
2022-01-03,0.0,28.9,20.1,24.0,61
2022-01-04,0.0,29.7,19.7,24.3,61
2022-01-05,0.2,26.3,19.8,22.8,74
2022-01-06,3.0,21.9,19.5,20.7,75
2022-01-07,3.1,23.8,18.6,21.0,80
2022-01-08,0.0,23.9,15.3,19.3,59
2022-01-09,0.0,23.6,15.2,19.0,52
2022-01-10,0.0,23.2,13.6,18.1,46
2022-01-11,0.0,24.1,13.5,18.3,48
2022-01-12,0.0,23.9,13.0,18.3,45
2022-01-13,0.0,24.3,13.5,18.7,43
2022-01-14,0.0,25.7,13.8,19.4,38
2022-01-15,0.0,25.6,14.1,19.8,43
2022-01-16,0.0,27.8,16.7,21.7,43
2022-01-17,0.0,28.3,18.0,22.7,50
2022-01-18,0.0,28.2,17.9,22.8,43
2022-01-19,0.0,27.7,16.4,22.1,45
2022-01-20,0.0,28.2,19.2,22.8,81
2022-01-21,0.0,26.2,21.2,23.5,85
2022-01-22,1.1,25.4,18.4,22.5,62
2022-01-23,0.0,22.3,15.3,18.8,50
2022-01-24,0.0,22.6,13.9,18.0,52
2022-01-25,0.0,24.7,12.7,18.6,34
2022-01-26,0.0,25.9,12.8,19.4,38
2022-01-27,0.0,26.8,14.7,20.6,29
2022-01-28,0.0,26.8,15.1,20.6,35
2022-01-29,0.0,26.6,13.6,20.6,37
2022-01-30,0.0,27.1,14.3,20.6,56
2022-01-31,0.0,26.3,16.9,21.1,82
2022-02-01,0.0,27.6,18.2,22.7,76
2022-02-02,0.0,25.9,17.9,21.5,85
2022-02-03,0.0,28.6,18.9,23.1,65
2022-02-04,0.0,24.6,15.7,20.4,60
2022-02-05,0.0,23.7,16.9,20.6,69
2022-02-06,0.0,24.0,15.8,20.2,71
2022-02-07,0.0,24.1,15.7,20.0,67
2022-02-08,0.0,25.8,17.4,21.3,75
2022-02-09,0.0,28.4,18.3,22.7,57
2022-02-10,0.0,29.7,17.9,23.2,42
2022-02-11,0.0,30.5,18.4,23.7,33
2022-02-12,0.0,28.5,17.6,23.1,32
2022-02-13,0.0,27.5,16.5,21.7,54
2022-02-14,0.0,25.3,17.2,21.0,64
2022-02-15,0.0,25.6,17.3,21.4,66
2022-02-16,0.0,28.7,17.4,22.8,60
2022-02-17,0.0,30.2,18.9,24.3,43
2022-02-18,0.0,32.2,19.7,25.4,37
2022-02-19,0.0,33.7,20.4,26.4,32
2022-02-20,0.0,32.3,19.5,25.1,37
2022-02-21,0.0,28.3,19.0,23.2,64
2022-02-22,0.0,26.6,20.6,23.2,80
2022-02-23,0.0,28.5,19.3,23.1,76
2022-02-24,0.0,29.7,18.7,23.3,71
2022-02-25,0.0,29.6,18.5,23.2,67
2022-02-26,0.0,27.8,17.4,22.3,76
2022-02-27,0.0,32.3,19.3,25.4,55
2022-02-28,0.0,31.3,20.9,26.2,32
2022-03-01,0.0,32.7,20.4,26.6,38
2022-03-02,0.0,32.9,21.1,26.4,43
2022-03-03,0.0,33.9,21.5,27.0,37
2022-03-04,0.0,33.9,21.3,27.2,28
2022-03-05,0.0,33.1,21.1,26.7,26
2022-03-06,0.0,32.4,20.3,25.7,48
2022-03-07,0.0,33.0,20.0,26.2,46
2022-03-08,0.0,32.0,21.5,25.8,59
2022-03-09,0.0,35.5,20.8,27.9,39
2022-03-10,0.0,35.2,22.8,28.4,37
2022-03-11,0.0,35.9,22.8,29.2,37
2022-03-12,0.0,35.7,24.0,29.5,32
2022-03-13,0.0,35.9,24.4,29.7,30
2022-03-14,0.0,35.5,23.9,29.3,36
2022-03-15,0.0,36.0,23.4,28.9,41
2022-03-16,0.0,36.2,22.0,28.3,49
2022-03-17,0.0,35.0,22.0,28.1,50
2022-03-18,0.0,33.9,22.7,27.6,56
2022-03-19,0.0,31.7,23.0,26.5,73
2022-03-20,0.0,31.9,23.2,26.6,74
2022-03-21,0.0,33.2,22.2,26.7,68
2022-03-22,0.0,35.1,22.3,27.8,54
2022-03-23,0.0,35.3,21.7,27.5,55
2022-03-24,0.0,31.3,21.0,25.8,68
2022-03-25,0.0,32.8,22.8,26.6,77
2022-03-26,0.0,32.9,23.2,27.2,73
2022-03-27,0.0,36.7,22.5,28.8,54
2022-03-28,0.0,36.7,22.8,28.9,52
2022-03-29,0.0,33.0,24.2,27.9,68
2022-03-30,0.0,30.8,23.3,26.8,75
2022-03-31,0.0,30.4,22.0,26.2,78
2022-04-01,0.0,30.7,23.1,26.6,78
2022-04-02,0.0,31.4,23.0,26.9,79
2022-04-03,0.0,32.2,23.4,27.3,76
2022-04-04,0.0,35.0,23.3,28.3,65
2022-04-05,0.0,34.9,23.4,28.1,68
2022-04-06,0.0,38.0,23.9,28.8,67
2022-04-07,0.0,38.1,23.9,29.6,60
2022-04-08,0.0,37.2,25.0,30.6,49
2022-04-09,0.0,35.7,25.2,29.5,55
2022-04-10,0.0,31.5,24.6,27.7,79
2022-04-11,0.0,31.2,24.3,27.5,79
2022-04-12,0.0,30.8,24.5,27.6,80
2022-04-13,0.0,31.7,25.1,27.8,81
2022-04-14,0.0,32.1,24.5,27.9,76
2022-04-15,0.0,31.3,25.4,27.7,79
2022-04-16,0.0,31.0,25.1,27.6,82
2022-04-17,0.0,31.2,24.6,27.5,80
2022-04-18,0.0,30.9,25.0,27.4,80
2022-04-19,0.0,34.0,25.1,28.0,76
2022-04-20,0.0,34.2,26.2,28.6,72
2022-04-21,0.0,33.4,24.8,28.3,78
2022-04-22,0.0,36.8,24.4,30.0,63
2022-04-23,0.0,36.4,24.3,30.2,53
2022-04-24,0.0,35.5,25.0,29.7,62
2022-04-25,0.0,36.8,24.8,29.6,64
2022-04-26,0.0,32.9,25.4,28.7,76
2022-04-27,0.0,34.9,25.4,29.6,71
2022-04-28,0.0,35.5,25.4,29.9,68
2022-04-29,0.0,34.4,26.1,29.8,72
2022-04-30,0.0,33.8,27.3,30.2,72
2022-05-01,0.0,33.0,27.3,29.9,79
2022-05-02,0.0,33.1,27.6,29.9,76
2022-05-03,0.0,31.9,27.4,29.5,75
2022-05-04,0.0,31.7,27.1,29.2,79
2022-05-05,0.0,31.7,27.4,29.3,74
2022-05-06,0.0,32.3,25.8,28.5,75
2022-05-07,0.0,33.6,25.6,28.8,75
2022-05-08,0.0,33.4,24.9,28.6,77
2022-05-09,0.0,32.4,25.8,28.9,78
2022-05-10,0.0,32.1,26.4,29.0,79
2022-05-11,0.0,34.2,26.7,29.8,76
2022-05-12,0.0,33.1,26.6,29.5,78
2022-05-13,0.0,32.8,26.9,29.6,79
2022-05-14,0.0,32.3,27.4,29.5,81
2022-05-15,0.0,32.2,27.9,29.6,78
2022-05-16,0.0,32.1,27.3,29.4,75
2022-05-17,0.0,31.9,27.6,29.3,74
2022-05-18,0.0,31.6,26.8,29.0,77
2022-05-19,0.0,32.5,26.5,29.1,77
2022-05-20,0.0,31.3,26.9,29.1,76
2022-05-21,0.0,31.9,27.9,29.6,69
2022-05-22,1.5,31.9,28.4,30.0,70
2022-05-23,1.0,32.2,28.5,29.9,72
2022-05-24,1.0,31.6,28.2,29.6,71
2022-05-25,0.0,31.5,27.9,29.6,69
2022-05-26,0.0,31.7,27.9,29.7,67
2022-05-27,0.3,32.0,28.4,29.9,67
2022-05-28,0.7,32.1,28.3,29.9,69
2022-05-29,0.4,31.9,28.1,29.7,68
2022-05-30,0.0,31.9,27.8,29.5,68
2022-05-31,0.0,31.9,27.5,29.2,70
2022-06-01,0.0,30.8,27.0,28.7,74
2022-06-02,0.0,31.5,27.0,28.9,75
2022-06-03,0.0,31.2,27.0,28.9,75
2022-06-04,0.0,31.5,27.5,29.2,75
2022-06-05,0.0,31.4,26.9,28.8,78
2022-06-06,0.0,31.3,27.2,29.0,73
2022-06-07,0.9,31.9,27.8,29.7,73
2022-06-08,0.4,31.8,27.9,29.8,74
2022-06-09,0.2,31.9,27.9,29.9,72
2022-06-10,0.0,31.9,28.6,30.3,66
2022-06-11,0.0,32.3,28.3,30.2,68
2022-06-12,1.5,30.8,28.1,29.2,76
2022-06-13,2.6,30.3,26.0,28.5,78
2022-06-14,0.9,30.5,27.1,28.8,78
2022-06-15,1.7,31.5,27.1,29.2,76
2022-06-16,2.4,31.4,27.6,29.5,75
2022-06-17,2.8,31.3,27.4,29.2,78
2022-06-18,4.4,30.7,26.3,28.9,79
2022-06-19,3.0,30.7,27.5,28.9,80
2022-06-20,3.3,31.3,27.5,29.3,80
2022-06-21,0.8,31.7,28.2,29.6,76
2022-06-22,0.0,31.8,27.7,29.8,73
2022-06-23,15.2,34.5,27.9,29.8,78
2022-06-24,9.8,35.7,27.5,30.2,80
2022-06-25,0.0,32.4,27.8,29.6,81
2022-06-26,2.4,33.9,27.3,29.3,82
2022-06-27,0.3,30.2,27.2,28.6,81
2022-06-28,0.7,30.5,27.5,28.9,79
2022-06-29,3.2,30.5,27.3,29.0,80
2022-06-30,1.6,30.2,27.7,29.1,80
2022-07-01,8.1,29.4,26.3,28.1,83
2022-07-02,16.7,28.8,26.0,27.4,86
2022-07-03,4.8,29.2,27.0,28.1,84
2022-07-04,12.3,29.3,27.2,27.8,86
2022-07-05,22.1,28.3,26.5,27.5,86
2022-07-06,16.5,27.8,26.3,27.2,86
2022-07-07,94.7,27.8,26.4,27.2,86
2022-07-08,16.5,28.1,26.2,27.1,85
2022-07-09,46.2,27.8,25.1,26.4,88
2022-07-10,12.6,28.4,25.8,27.2,83
2022-07-11,16.7,27.4,25.8,26.6,86
