date,rain,tmax,tmin,tmean,humidity
2012-03-20,0.0,37.8,20.5,29.6,31
2012-03-21,0.0,38.7,21.5,30.3,27
2012-03-22,0.0,38.1,22.7,29.9,22
2012-03-23,0.0,37.1,19.1,28.1,18
2012-03-24,0.0,37.8,18.8,28.3,21
2012-03-25,0.0,37.5,19.3,28.9,22
2012-03-26,0.0,37.9,19.6,29.2,23
2012-03-27,0.0,38.7,20.2,30.0,24
2012-03-28,0.0,39.3,21.3,30.8,24
2012-03-29,0.0,39.0,20.9,30.7,25
2012-03-30,0.1,38.1,22.5,30.5,25
2012-03-31,1.1,37.9,22.5,30.2,29
2012-04-01,0.0,37.9,21.6,30.4,35
2012-04-02,0.0,38.6,22.4,31.1,30
2012-04-03,0.0,39.8,22.7,31.5,27
2012-04-04,0.0,40.2,23.4,32.4,24
2012-04-05,0.0,38.6,24.8,31.9,30
2012-04-06,0.1,37.8,25.0,31.6,31
2012-04-07,0.0,37.4,25.8,31.8,30
2012-04-08,0.0,39.2,25.7,32.4,33
2012-04-09,0.0,40.3,25.8,32.8,27
2012-04-10,3.6,38.6,24.2,30.7,40
2012-04-11,0.0,39.2,23.1,31.5,39
2012-04-12,0.8,39.0,24.3,31.5,42
2012-04-13,0.0,38.3,23.1,31.4,31
2012-04-14,0.0,38.0,25.3,31.5,34
2012-04-15,0.0,38.2,25.1,31.9,34
2012-04-16,0.0,38.7,23.0,31.6,34
2012-04-17,0.0,39.4,24.5,32.3,31
2012-04-18,0.0,41.0,24.3,33.5,31
2012-04-19,0.0,41.0,25.1,33.4,31
2012-04-20,0.0,40.8,26.3,33.9,28
2012-04-21,0.0,40.3,26.0,34.0,27
2012-04-22,1.8,39.8,28.1,33.8,32
2012-04-23,0.0,39.0,27.7,33.5,34
2012-04-24,0.0,39.6,27.7,33.5,37
2012-04-25,0.0,39.0,27.2,33.5,40
2012-04-26,0.4,39.4,27.4,33.3,41
2012-04-27,0.3,38.7,27.5,32.3,48
2012-04-28,0.0,38.8,27.8,33.2,36
2012-04-29,0.0,39.3,25.6,33.0,39
2012-04-30,0.0,39.3,26.5,33.1,41
2012-05-01,0.0,40.3,27.6,34.0,33
2012-05-02,0.0,41.2,26.4,33.9,30
2012-05-03,0.0,40.6,26.9,33.7,19
2012-05-04,3.4,39.1,26.3,31.4,44
2012-05-05,1.0,36.6,24.3,30.3,50
2012-05-06,0.6,38.5,25.1,31.9,42
2012-05-07,0.0,40.1,26.1,33.3,31
2012-05-08,0.0,40.6,25.9,33.4,33
2012-05-09,1.8,40.6,25.7,33.4,37
2012-05-10,0.2,39.1,26.5,32.9,46
2012-05-11,0.0,39.6,27.6,34.2,39
2012-05-12,0.3,40.8,27.6,34.2,37
2012-05-13,0.0,40.8,27.7,34.5,39
2012-05-14,0.0,41.1,29.0,35.0,35
2012-05-15,0.0,41.1,28.8,35.2,34
2012-05-16,0.0,41.9,27.2,35.0,25
2012-05-17,0.0,43.3,28.2,35.8,22
2012-05-18,0.0,43.3,29.7,36.4,22
2012-05-19,0.0,42.9,27.7,35.8,26
2012-05-20,0.0,42.5,27.2,35.6,25
2012-05-21,0.0,41.8,27.6,35.3,29
2012-05-22,0.0,42.3,27.5,35.4,32
2012-05-23,0.0,43.1,29.3,36.7,27
2012-05-24,0.0,44.2,29.3,37.1,26
2012-05-25,0.0,44.6,26.6,36.4,22
2012-05-26,0.0,43.7,27.1,36.2,28
2012-05-27,0.0,43.6,30.7,37.4,26
2012-05-28,0.0,44.1,28.8,37.2,22
2012-05-29,0.0,43.6,28.4,36.6,26
2012-05-30,0.0,43.8,28.4,36.3,33
2012-05-31,0.0,44.8,27.7,36.6,30
2012-06-01,0.0,45.3,30.2,37.6,39
2012-06-02,0.0,44.3,30.4,37.7,38
2012-06-03,0.0,43.6,33.9,38.3,26
2012-06-04,0.0,42.9,32.5,37.7,25
2012-06-05,0.0,43.3,31.6,37.6,20
2012-06-06,0.0,43.1,31.2,37.3,25
2012-06-07,0.6,42.2,32.5,36.8,34
2012-06-08,2.3,41.4,31.4,35.7,40
2012-06-09,2.1,42.7,32.1,37.1,32
2012-06-10,0.0,41.5,32.9,36.5,32
2012-06-11,0.7,41.1,31.7,35.5,38
2012-06-12,0.0,41.9,31.6,36.4,35
2012-06-13,0.0,41.4,32.7,36.6,36
2012-06-14,0.0,37.7,32.2,34.7,44
2012-06-15,0.2,38.3,31.5,34.8,47
2012-06-16,0.5,37.0,30.5,33.3,54
2012-06-17,10.2,30.6,25.6,28.2,79
2012-06-18,45.1,34.0,25.9,28.8,79
2012-06-19,33.8,30.2,25.0,27.1,87
2012-06-20,30.3,27.2,24.5,26.0,92
2012-06-21,32.6,25.9,24.9,25.3,92
2012-06-22,89.6,26.0,23.9,24.9,91
2012-06-23,83.9,25.5,24.1,24.7,90
2012-06-24,11.5,27.6,23.0,25.5,86
2012-06-25,0.0,34.1,26.2,29.7,69
2012-06-26,0.9,31.6,25.3,28.5,77
2012-06-27,0.0,33.5,26.6,29.7,68
2012-06-28,0.0,35.1,26.4,30.3,66
2012-06-29,0.0,35.1,26.8,30.6,67
2012-06-30,0.0,35.6,27.3,30.9,66
2012-07-01,9.9,33.9,25.9,30.2,70
2012-07-02,32.2,32.3,25.0,28.0,84
2012-07-03,19.1,31.9,25.3,27.6,86
2012-07-04,8.3,29.5,24.8,26.4,90
2012-07-05,15.7,30.6,25.6,27.6,84
2012-07-06,19.0,29.3,24.5,25.9,91
2012-07-07,3.0,27.4,24.4,25.7,87
2012-07-08,16.3,28.2,24.2,25.9,88
2012-07-09,16.9,29.5,24.0,26.0,91
2012-07-10,6.1,30.6,24.3,26.9,86
2012-07-11,5.7,31.3,24.9,27.9,84
2012-07-12,18.7,31.6,25.0,28.1,84
2012-07-13,16.8,31.8,25.2,27.6,87
2012-07-14,36.2,30.7,25.0,27.1,89
2012-07-15,21.0,29.8,24.9,26.8,90
2012-07-16,16.9,29.5,25.0,26.6,89
2012-07-17,27.0,30.3,24.6,26.8,89
2012-07-18,17.1,30.3,24.9,26.8,90
2012-07-19,15.8,29.9,25.4,27.1,86
2012-07-20,13.1,27.2,24.8,25.8,94
2012-07-21,10.4,29.4,24.6,26.4,91
2012-07-22,11.2,28.4,24.9,26.4,88
2012-07-23,2.2,28.4,24.7,26.3,82
2012-07-24,5.5,28.4,25.0,26.3,84
2012-07-25,25.0,25.8,24.2,24.9,92
2012-07-26,19.5,27.4,23.9,25.3,93
2012-07-27,5.8,27.6,24.8,26.0,87
2012-07-28,1.3,29.0,24.6,26.3,79
2012-07-29,4.7,26.1,24.7,25.4,83
2012-07-30,32.7,24.6,23.5,23.9,90
2012-07-31,35.8,24.3,23.0,23.5,93
2012-08-01,0.3,27.3,23.6,25.3,85
2012-08-02,20.8,28.7,23.7,25.5,91
2012-08-03,106.9,26.2,24.2,25.0,94
2012-08-04,28.2,28.1,24.2,25.5,93
2012-08-05,30.3,28.3,24.2,25.8,92
2012-08-06,4.9,27.4,24.0,25.4,91
2012-08-07,2.3,30.2,24.5,27.1,78
2012-08-08,4.6,29.1,25.2,27.1,78
2012-08-09,37.8,26.5,24.4,25.3,93
2012-08-10,12.0,27.2,24.0,25.2,92
2012-08-11,18.7,28.5,24.3,25.4,92
2012-08-12,2.1,30.3,23.8,26.7,81
2012-08-13,2.2,30.0,24.4,26.9,84
2012-08-14,2.0,30.8,25.0,27.5,79
2012-08-15,6.5,27.7,24.9,26.1,87
2012-08-16,4.1,28.8,24.4,26.5,85
2012-08-17,19.4,29.9,24.6,26.5,87
2012-08-18,42.4,29.4,24.0,26.3,90
2012-08-19,2.1,28.4,24.4,26.1,87
2012-08-20,1.7,27.3,24.6,25.7,85
2012-08-21,10.5,28.5,24.5,26.2,87
2012-08-22,2.1,30.2,24.3,26.8,81
2012-08-23,1.3,31.7,24.2,27.6,78
2012-08-24,2.4,31.7,25.1,28.0,80
2012-08-25,16.4,30.1,25.3,27.2,85
2012-08-26,9.8,29.9,24.5,26.5,87
2012-08-27,9.4,29.8,23.9,26.3,89
2012-08-28,7.9,30.4,24.4,27.1,86
2012-08-29,15.7,31.4,25.0,27.3,86
2012-08-30,4.0,31.0,24.8,27.3,83
2012-08-31,3.7,29.9,24.8,27.2,83
2012-09-01,6.2,30.9,25.2,27.5,85
2012-09-02,12.5,30.4,25.2,27.2,87
2012-09-03,7.7,31.4,24.8,27.2,85
2012-09-04,4.2,28.6,25.5,26.5,85
2012-09-05,9.8,28.2,24.4,25.7,90
2012-09-06,10.9,29.8,23.9,26.4,87
2012-09-07,8.3,28.2,24.3,25.9,88
2012-09-08,9.6,31.4,24.7,27.6,82
2012-09-09,8.9,29.5,24.3,26.0,90
2012-09-10,6.1,29.0,23.8,26.0,88
2012-09-11,8.3,29.7,24.4,26.4,87
2012-09-12,9.2,29.0,24.8,26.1,88
2012-09-13,10.8,27.6,24.2,25.7,89
2012-09-14,16.1,29.6,23.6,26.2,85
2012-09-15,25.0,29.3,24.3,26.1,90
2012-09-16,28.5,27.9,23.9,25.4,92
2012-09-17,25.4,29.2,23.9,26.1,89
2012-09-18,12.7,28.4,24.1,25.9,90
2012-09-19,22.3,30.5,23.9,26.4,87
2012-09-20,4.3,30.5,24.1,26.8,88
2012-09-21,8.4,31.2,24.4,26.9,87
2012-09-22,17.5,30.6,24.1,26.7,88
2012-09-23,0.0,31.9,24.1,27.4,78
2012-09-24,0.0,32.5,24.4,28.1,71
2012-09-25,0.0,32.3,23.5,27.8,71
2012-09-26,0.0,32.0,22.8,27.3,69
2012-09-27,0.0,32.0,21.8,27.1,69
2012-09-28,0.0,31.5,23.3,27.3,74
2012-09-29,11.0,31.4,24.4,27.3,83
2012-09-30,2.5,31.6,24.3,27.6,82
2012-10-01,0.2,30.8,24.6,27.2,81
2012-10-02,2.1,30.2,24.4,26.7,85
2012-10-03,17.2,27.9,23.9,25.5,89
2012-10-04,9.3,29.0,23.5,25.3,90
2012-10-05,0.0,32.6,22.4,26.9,77
2012-10-06,0.0,33.5,21.3,26.6,66
2012-10-07,0.0,32.2,19.5,25.6,66
2012-10-08,0.0,30.8,19.3,25.5,69
2012-10-09,5.4,28.3,22.9,25.2,82
2012-10-10,3.7,28.8,22.5,25.4,81
2012-10-11,0.1,29.1,22.4,25.8,82
2012-10-12,0.0,29.6,21.5,25.8,79
2012-10-13,0.0,30.6,20.2,25.9,70
2012-10-14,0.0,30.5,18.9,25.2,68
2012-10-15,0.0,31.2,20.7,25.7,67
2012-10-16,0.0,31.0,20.8,26.1,67
2012-10-17,0.0,31.0,20.3,26.0,67
2012-10-18,0.0,30.6,19.9,25.3,68
2012-10-19,0.0,30.2,21.4,25.6,68
2012-10-20,0.0,30.0,19.6,25.1,67
2012-10-21,0.0,30.1,19.5,25.1,67
