date,rain,tmax,tmin,tmean,humidity
2017-01-30,0.0,26.5,10.1,19.2,56
2017-01-31,0.0,27.7,12.4,20.3,54
2017-02-01,0.0,26.8,10.9,18.9,53
2017-02-02,0.0,27.4,12.4,19.4,57
2017-02-03,0.0,28.0,12.4,19.6,58
2017-02-04,0.0,29.0,14.6,21.1,54
2017-02-05,0.0,29.6,15.8,22.4,49
2017-02-06,0.0,25.6,15.8,19.9,45
2017-02-07,0.0,25.0,12.4,18.5,59
2017-02-08,0.0,28.2,11.6,20.1,57
2017-02-09,0.0,27.1,16.6,20.8,45
2017-02-10,0.0,24.3,13.4,18.4,52
2017-02-11,4.1,22.9,13.8,17.3,67
2017-02-12,0.1,25.6,13.9,19.3,76
2017-02-13,0.3,26.2,15.6,20.7,77
2017-02-14,0.0,27.0,15.7,21.0,74
2017-02-15,0.0,27.7,13.9,20.5,71
2017-02-16,0.0,28.5,13.4,20.9,58
2017-02-17,0.0,30.0,14.9,22.3,52
2017-02-18,0.0,29.8,15.2,21.9,56
2017-02-19,0.0,30.7,14.8,23.0,52
2017-02-20,0.0,32.1,19.3,25.0,40
2017-02-21,0.0,30.7,19.7,24.1,39
2017-02-22,0.0,28.7,14.9,21.5,40
2017-02-23,0.0,28.5,13.8,20.9,41
2017-02-24,0.0,27.3,13.7,20.0,40
2017-02-25,0.0,27.8,11.8,20.1,38
2017-02-26,0.0,30.2,14.1,22.1,38
2017-02-27,0.0,30.4,13.5,22.0,38
2017-02-28,0.0,32.0,16.0,23.6,36
2017-03-01,0.0,33.0,17.5,24.5,37
2017-03-02,0.2,33.1,17.6,24.9,39
2017-03-03,0.0,30.8,16.4,23.3,49
2017-03-04,0.0,29.5,17.0,22.9,47
2017-03-05,0.0,28.8,16.6,22.1,41
2017-03-06,0.0,28.5,13.9,21.3,31
2017-03-07,0.0,29.2,15.4,22.5,31
2017-03-08,0.0,31.2,18.9,24.5,37
2017-03-09,0.0,30.1,20.0,24.9,37
2017-03-10,0.1,27.8,17.1,22.5,45
2017-03-11,0.0,28.3,16.4,21.1,47
2017-03-12,0.0,25.8,12.3,18.9,36
2017-03-13,0.0,27.1,12.7,19.7,35
2017-03-14,0.0,28.5,12.6,21.0,33
2017-03-15,0.0,29.8,14.1,22.2,30
2017-03-16,0.0,31.6,16.1,24.0,27
2017-03-17,0.0,31.6,16.9,24.7,33
2017-03-18,0.0,32.5,16.6,24.8,34
2017-03-19,0.0,31.1,18.5,23.9,48
2017-03-20,0.0,30.9,16.5,23.4,50
2017-03-21,0.0,32.5,16.8,25.3,37
2017-03-22,0.0,34.6,19.6,27.4,34
2017-03-23,0.0,36.3,20.2,28.8,35
2017-03-24,0.0,36.7,20.7,29.0,31
2017-03-25,0.0,36.1,20.9,28.4,32
2017-03-26,0.0,37.0,21.9,29.1,35
2017-03-27,0.0,37.2,21.4,30.2,32
2017-03-28,0.0,38.8,22.1,30.8,29
2017-03-29,0.0,39.0,23.7,31.4,24
2017-03-30,0.0,39.1,25.7,31.4,19
2017-03-31,0.0,39.2,23.8,31.5,22
2017-04-01,0.0,38.7,24.8,31.6,22
