date,rain,tmax,tmin,tmean,humidity
2023-12-21,0.0,22.2,7.9,14.9,55
2023-12-22,0.0,22.8,9.4,15.4,60
2023-12-23,0.1,22.5,9.6,15.5,72
2023-12-24,0.0,23.1,8.6,15.5,76
2023-12-25,0.0,24.2,9.1,16.2,70
2023-12-26,0.0,24.2,8.9,15.8,64
2023-12-27,0.0,23.1,8.8,15.3,72
2023-12-28,0.0,20.9,8.2,13.4,85
2023-12-29,0.0,19.5,6.7,12.4,87
2023-12-30,0.0,18.0,7.9,11.7,88
2023-12-31,0.0,17.1,7.3,11.1,86
2024-01-01,0.0,15.6,5.2,9.3,87
2024-01-02,0.0,14.1,3.5,8.0,87
2024-01-03,0.0,15.1,3.4,8.5,86
2024-01-04,0.0,15.9,3.1,8.9,86
2024-01-05,0.0,17.2,7.6,11.6,81
2024-01-06,0.0,16.8,6.7,11.0,79
2024-01-07,0.0,17.3,5.6,11.0,76
2024-01-08,0.0,19.6,4.9,11.1,81
2024-01-09,0.0,18.2,6.4,11.1,81
2024-01-10,0.0,16.0,3.2,8.8,81
2024-01-11,0.0,17.7,3.8,9.4,81
2024-01-12,0.0,20.1,4.2,11.3,74
2024-01-13,0.0,22.0,5.5,12.6,73
2024-01-14,0.0,19.4,5.7,11.2,78
2024-01-15,0.0,17.2,4.0,9.5,78
2024-01-16,0.0,20.2,3.2,10.9,77
2024-01-17,0.0,21.1,7.9,13.4,78
2024-01-18,0.0,19.9,6.0,12.5,74
2024-01-19,0.0,19.4,6.2,11.6,81
2024-01-20,0.0,19.5,6.7,12.1,76
2024-01-21,0.0,17.8,5.9,10.7,83
2024-01-22,0.0,19.5,5.3,11.0,78
2024-01-23,0.0,18.5,7.7,11.9,85
2024-01-24,0.0,18.4,6.1,11.2,81
2024-01-25,0.0,18.7,6.3,11.1,81
2024-01-26,0.0,21.2,5.9,13.2,73
2024-01-27,0.0,23.0,6.6,14.5,61
2024-01-28,0.0,23.9,8.7,15.7,65
2024-01-29,0.0,23.6,9.2,16.2,72
2024-01-30,0.0,23.2,9.8,15.9,79
2024-01-31,0.3,21.9,12.4,16.2,83
2024-02-01,0.2,23.1,11.6,16.8,70
