date,rain,tmax,tmin,tmean,humidity
2017-01-04,0.0,22.1,9.9,15.0,81
2017-01-05,0.0,22.8,9.2,16.4,69
2017-01-06,0.0,24.2,10.1,16.7,66
2017-01-07,0.0,25.7,14.1,19.2,63
2017-01-08,0.0,23.9,13.1,18.5,73
2017-01-09,0.7,23.0,13.6,17.4,80
2017-01-10,0.0,20.4,12.1,15.7,72
2017-01-11,0.0,18.8,8.1,13.0,62
2017-01-12,0.0,17.2,7.5,12.0,58
2017-01-13,0.0,17.9,5.6,11.5,63
2017-01-14,0.0,18.3,5.2,11.4,65
2017-01-15,0.0,21.4,6.4,13.4,66
2017-01-16,0.0,25.5,10.0,17.2,67
2017-01-17,0.0,24.0,11.9,17.6,76
2017-01-18,0.5,23.0,11.9,16.6,77
2017-01-19,0.0,22.8,11.9,16.9,76
2017-01-20,0.0,24.1,11.2,16.9,68
2017-01-21,0.0,25.4,10.8,17.2,64
2017-01-22,0.0,25.6,10.8,18.4,64
2017-01-23,0.0,26.4,11.9,18.6,67
2017-01-24,0.0,26.5,12.7,19.1,69
2017-01-25,0.0,27.0,12.4,19.3,69
2017-01-26,0.2,28.4,13.0,20.2,63
2017-01-27,1.2,22.2,12.3,18.3,70
2017-01-28,0.0,22.1,10.7,15.3,74
2017-01-29,0.0,23.5,10.4,16.6,72
2017-01-30,0.0,24.6,10.8,17.2,72
2017-01-31,0.0,25.5,10.9,17.5,71
2017-02-01,0.0,25.1,11.9,17.9,70
2017-02-02,0.0,25.1,12.1,18.1,66
2017-02-03,0.0,24.5,12.0,18.1,66
2017-02-04,0.0,25.9,11.1,17.7,65
2017-02-05,0.0,28.5,11.2,19.4,56
2017-02-06,0.0,28.4,15.6,21.4,55
2017-02-07,0.0,25.2,13.2,18.3,66
2017-02-08,0.0,25.7,11.2,18.0,60
2017-02-09,0.0,28.0,12.7,19.9,58
2017-02-10,0.0,24.5,12.8,18.0,54
2017-02-11,2.4,24.0,11.2,17.2,59
2017-02-12,4.5,26.1,14.4,19.8,74
2017-02-13,0.0,26.0,13.9,20.3,74
2017-02-14,0.0,26.6,14.8,20.0,66
2017-02-15,0.0,26.5,13.8,19.3,52
2017-02-16,0.0,28.1,12.3,19.7,53
2017-02-17,0.0,28.6,13.9,21.2,56
2017-02-18,0.0,29.5,14.9,21.2,63
2017-02-19,0.0,30.5,14.5,21.6,63
2017-02-20,0.0,32.6,17.0,24.4,46
2017-02-21,0.0,31.5,19.4,24.8,41
2017-02-22,0.0,28.3,15.3,21.4,44
2017-02-23,0.0,27.8,13.5,20.5,40
2017-02-24,0.0,26.9,12.4,19.0,36
2017-02-25,0.0,27.9,12.3,19.4,37
