date,rain,tmax,tmin,tmean,humidity
2017-09-26,0.5,31.2,22.5,26.4,77
2017-09-27,0.0,31.4,21.8,26.4,73
2017-09-28,0.0,31.8,21.5,26.9,65
2017-09-29,0.0,31.9,21.6,26.9,64
2017-09-30,0.1,31.5,21.0,26.0,69
2017-10-01,0.0,31.9,22.2,26.5,71
2017-10-02,0.0,32.6,20.7,27.2,59
2017-10-03,0.0,32.7,21.0,27.1,54
2017-10-04,0.0,32.0,19.8,25.9,60
2017-10-05,0.3,31.1,21.1,26.4,73
2017-10-06,0.7,31.6,23.5,27.2,74
2017-10-07,0.8,31.3,23.9,27.1,75
2017-10-08,0.6,31.0,23.8,27.0,76
2017-10-09,1.9,31.1,23.5,26.4,79
2017-10-10,0.3,31.2,23.0,26.9,72
2017-10-11,0.0,31.5,23.8,27.1,67
2017-10-12,0.1,32.0,23.5,27.5,66
2017-10-13,5.8,30.9,24.2,26.8,71
2017-10-14,0.0,34.2,23.4,28.1,58
2017-10-15,0.0,35.3,20.7,28.0,50
2017-10-16,0.0,35.5,21.5,28.2,42
2017-10-17,0.0,34.8,19.5,26.9,34
2017-10-18,0.0,32.6,20.2,25.9,45
2017-10-19,0.0,32.2,21.1,26.5,55
2017-10-20,0.3,32.3,23.6,27.1,71
2017-10-21,0.2,31.9,23.5,27.1,68
2017-10-22,0.1,33.5,21.5,27.2,61
2017-10-23,0.0,33.2,21.7,26.9,40
2017-10-24,0.0,33.2,19.9,26.0,36
2017-10-25,0.0,32.9,19.2,25.7,34
2017-10-26,0.0,32.2,19.9,26.1,34
2017-10-27,0.0,31.1,21.6,25.6,36
2017-10-28,0.0,31.5,20.1,25.6,39
2017-10-29,0.2,30.7,21.0,25.3,38
2017-10-30,0.0,31.5,18.1,24.4,40
2017-10-31,0.0,29.9,17.5,23.3,49
2017-11-01,0.0,30.0,18.1,23.3,50
2017-11-02,0.0,30.3,17.9,23.6,49
2017-11-03,0.0,30.5,17.5,23.9,48
2017-11-04,0.0,29.0,17.2,23.0,56
2017-11-05,0.0,29.6,18.0,23.4,58
2017-11-06,0.0,29.6,18.0,23.6,58
2017-11-07,0.0,29.6,19.2,23.9,52
2017-11-08,0.0,29.5,16.9,23.0,48
2017-11-09,0.0,29.2,16.1,22.6,48
2017-11-10,0.0,28.8,16.9,22.1,48
2017-11-11,0.0,27.7,14.8,21.0,57
2017-11-12,0.0,27.5,14.6,21.0,55
2017-11-13,0.0,27.2,15.6,21.3,57
2017-11-14,0.0,28.0,16.0,21.9,50
2017-11-15,0.0,28.5,16.1,22.2,57
2017-11-16,0.0,27.5,18.5,22.7,61
2017-11-17,0.8,27.5,18.2,22.1,68
2017-11-18,3.2,27.4,18.5,21.5,74
2017-11-19,0.6,26.0,17.4,21.0,69
2017-11-20,0.0,26.4,16.5,20.9,60
2017-11-21,0.0,24.5,15.8,20.2,54
2017-11-22,0.0,25.8,16.5,20.3,56
2017-11-23,0.0,25.9,12.9,18.9,52
2017-11-24,0.0,25.9,11.4,18.1,47
2017-11-25,0.0,26.8,12.8,18.8,42
2017-11-26,0.0,26.7,13.5,19.3,42
2017-11-27,0.0,27.2,15.2,20.2,42
2017-11-28,0.0,27.9,13.4,20.2,44
2017-11-29,0.0,27.5,14.2,20.0,44
2017-11-30,0.0,26.7,13.9,19.6,42
2017-12-01,0.0,25.5,13.4,18.9,42
2017-12-02,0.0,24.8,12.8,18.1,44
2017-12-03,0.0,24.5,11.8,17.7,46
2017-12-04,0.0,25.0,12.6,18.3,48
2017-12-05,0.0,24.7,13.6,18.8,48
2017-12-06,0.0,22.5,15.4,18.5,60
2017-12-07,0.0,24.9,15.0,19.3,63
2017-12-08,0.0,25.6,15.4,19.7,64
2017-12-09,0.0,25.5,14.1,19.0,49
2017-12-10,0.0,25.3,13.9,18.5,46
2017-12-11,0.0,27.2,12.5,19.6,46
2017-12-12,0.1,23.9,16.4,20.2,60
2017-12-13,0.3,25.0,14.5,19.6,67
2017-12-14,0.3,24.5,14.9,19.3,73
2017-12-15,0.2,25.1,14.9,19.3,70
2017-12-16,0.0,24.5,15.0,18.8,54
2017-12-17,0.0,24.0,12.1,17.1,50
2017-12-18,0.0,25.0,9.1,16.5,42
2017-12-19,0.0,25.2,10.8,17.2,44
2017-12-20,0.0,24.2,12.6,17.1,59
2017-12-21,0.0,24.1,10.6,16.4,74
2017-12-22,0.0,24.1,11.1,16.6,70
2017-12-23,0.0,23.5,10.9,16.5,57
2017-12-24,0.0,24.0,10.9,16.9,50
2017-12-25,0.0,23.8,10.2,16.4,51
