date,rain,tmax,tmin,tmean,humidity
2017-09-23,2.2,30.1,24.1,26.9,80
2017-09-24,0.1,31.6,24.2,27.5,78
2017-09-25,0.0,31.8,23.5,27.1,77
2017-09-26,0.1,32.2,23.3,27.3,74
2017-09-27,0.0,32.1,23.3,27.3,75
2017-09-28,0.0,32.0,22.8,27.3,73
2017-09-29,0.0,33.0,23.2,28.1,68
2017-09-30,0.0,32.7,23.0,28.0,70
2017-10-01,0.0,32.0,24.5,28.0,75
2017-10-02,0.0,32.5,22.5,27.3,74
2017-10-03,0.0,32.4,21.5,27.0,71
2017-10-04,0.3,31.2,23.0,27.1,75
2017-10-05,0.6,32.0,24.1,27.8,78
2017-10-06,0.4,32.7,24.2,28.1,78
2017-10-07,0.7,32.5,24.5,27.8,80
2017-10-08,0.9,31.4,24.4,27.8,78
2017-10-09,0.3,31.9,24.4,27.6,78
2017-10-10,0.3,32.2,23.5,27.6,75
2017-10-11,0.9,32.1,23.5,27.5,73
2017-10-12,2.5,31.0,24.8,27.7,75
2017-10-13,0.2,32.3,24.8,28.5,67
2017-10-14,0.1,35.2,24.3,29.1,56
2017-10-15,0.0,35.9,21.7,28.0,49
2017-10-16,0.0,35.3,20.5,27.4,49
2017-10-17,0.0,34.5,20.5,27.0,48
2017-10-18,0.0,33.2,20.8,27.0,60
2017-10-19,0.8,32.2,21.4,27.0,73
2017-10-20,4.1,32.2,24.2,28.1,73
2017-10-21,1.5,33.0,24.0,27.9,66
2017-10-22,0.0,33.7,22.1,27.8,54
2017-10-23,0.0,34.8,23.5,28.4,43
2017-10-24,0.0,33.7,20.5,27.1,42
2017-10-25,0.0,33.0,20.1,26.5,47
2017-10-26,0.0,32.5,21.0,26.6,44
2017-10-27,0.0,31.4,20.8,26.0,46
2017-10-28,0.0,31.0,19.5,25.0,51
2017-10-29,0.0,31.0,18.8,24.6,44
2017-10-30,0.0,30.6,17.6,24.0,51
2017-10-31,0.0,29.5,18.0,23.8,56
2017-11-01,0.0,29.1,18.2,23.6,63
2017-11-02,0.0,29.2,18.5,23.5,63
2017-11-03,0.0,29.5,17.4,23.4,65
2017-11-04,0.0,29.8,18.3,23.9,65
2017-11-05,0.0,30.0,19.4,24.2,61
2017-11-06,0.0,29.8,19.5,24.7,60
2017-11-07,0.0,29.6,18.9,24.1,57
2017-11-08,0.0,29.6,17.8,23.6,55
2017-11-09,0.0,28.9,17.0,23.1,58
2017-11-10,0.0,28.7,16.1,22.5,61
2017-11-11,0.0,28.0,17.5,22.5,56
2017-11-12,0.0,28.0,17.8,22.8,58
2017-11-13,0.0,27.8,17.9,22.4,59
2017-11-14,0.0,28.7,15.5,22.3,58
2017-11-15,0.0,29.0,17.8,23.1,59
