date,rain,tmax,tmin,tmean,humidity
2023-12-21,0.0,23.6,10.8,17.0,58
2023-12-22,0.0,22.4,13.4,16.9,59
2023-12-23,0.0,25.8,11.7,17.5,65
2023-12-24,0.0,26.4,12.6,18.3,70
2023-12-25,0.0,26.5,13.1,18.7,70
2023-12-26,0.0,26.9,12.8,19.1,62
2023-12-27,0.0,26.5,13.8,19.3,61
2023-12-28,0.0,25.5,13.4,18.7,62
2023-12-29,0.0,26.1,13.1,19.0,65
2023-12-30,0.0,26.9,14.0,20.0,70
2023-12-31,0.0,27.2,15.5,20.8,70
2024-01-01,0.3,27.0,15.0,20.1,76
2024-01-02,0.6,26.4,15.0,19.4,80
2024-01-03,0.7,24.9,14.2,18.8,82
2024-01-04,5.8,23.1,15.2,18.1,88
2024-01-05,1.4,21.1,14.5,17.0,91
2024-01-06,0.0,22.4,14.3,17.6,84
2024-01-07,0.7,18.6,12.6,15.4,92
2024-01-08,19.3,20.8,14.5,17.1,90
2024-01-09,0.0,26.3,15.7,19.5,83
2024-01-10,0.0,22.2,14.5,17.0,90
2024-01-11,0.0,24.1,13.8,18.0,86
2024-01-12,0.0,24.8,13.6,18.6,82
2024-01-13,0.0,27.2,14.8,20.3,74
2024-01-14,0.0,26.0,13.9,19.4,75
2024-01-15,0.0,23.2,12.9,17.1,74
2024-01-16,0.0,23.5,10.6,16.6,74
2024-01-17,0.0,24.6,12.0,17.6,71
2024-01-18,0.0,23.4,11.8,16.9,68
2024-01-19,0.0,22.1,10.6,15.7,59
2024-01-20,0.0,23.1,11.2,16.3,67
2024-01-21,0.0,21.4,8.1,14.2,68
2024-01-22,0.0,22.4,8.8,15.0,66
2024-01-23,0.0,22.4,9.7,15.2,57
2024-01-24,0.0,22.6,8.5,14.9,52
2024-01-25,0.0,23.0,8.1,15.4,52
2024-01-26,0.0,23.9,9.3,15.9,53
2024-01-27,0.0,24.9,9.9,16.5,56
2024-01-28,0.0,26.8,10.8,18.6,58
2024-01-29,0.0,26.7,12.6,19.2,58
2024-01-30,0.0,25.2,12.4,18.5,59
2024-01-31,0.0,26.0,13.4,19.1,57
2024-02-01,0.0,26.5,12.4,19.5,60
