date,rain,tmax,tmin,tmean,humidity
2017-03-18,0.0,32.5,19.2,26.1,27
2017-03-19,1.8,31.5,20.4,25.3,37
2017-03-20,0.0,30.6,17.1,23.5,42
2017-03-21,0.0,32.5,17.9,24.8,32
2017-03-22,0.0,34.5,18.8,26.8,31
2017-03-23,0.0,36.4,20.2,28.9,30
2017-03-24,0.0,37.3,22.4,29.4,27
2017-03-25,0.0,37.0,23.0,29.5,25
2017-03-26,0.0,37.0,22.6,29.7,28
2017-03-27,0.0,37.0,22.1,29.5,30
2017-03-28,0.0,38.5,23.9,31.2,26
2017-03-29,0.0,39.2,23.7,31.6,23
2017-03-30,0.0,39.7,24.0,31.8,19
2017-03-31,0.0,39.5,23.6,31.7,18
2017-04-01,0.0,38.8,24.4,31.6,22
2017-04-02,0.0,38.1,25.5,31.9,20
2017-04-03,0.0,39.2,25.8,31.9,19
2017-04-04,0.2,38.0,24.2,31.1,24
2017-04-05,0.0,38.2,23.9,31.6,25
2017-04-06,0.0,38.7,24.8,31.7,24
2017-04-07,0.0,39.0,25.2,31.9,22
2017-04-08,0.0,38.7,25.2,31.4,14
2017-04-09,0.0,37.4,23.7,30.4,19
2017-04-10,0.0,35.5,22.0,28.2,13
2017-04-11,0.0,36.5,21.0,28.5,14
2017-04-12,0.0,38.3,21.1,29.8,15
2017-04-13,0.0,39.0,22.5,31.4,14
2017-04-14,0.0,39.8,22.8,31.6,14
2017-04-15,0.0,40.8,25.2,33.0,14
2017-04-16,0.0,40.3,26.1,33.4,13
2017-04-17,0.0,39.8,23.9,32.2,18
2017-04-18,0.0,40.5,24.4,33.2,15
2017-04-19,0.0,40.5,27.0,33.8,12
2017-04-20,0.0,40.0,28.3,33.9,13
2017-04-21,0.0,40.5,28.7,33.9,19
2017-04-22,0.0,40.6,28.7,33.9,16
2017-04-23,0.0,38.9,26.5,32.5,22
2017-04-24,0.0,38.7,26.6,32.3,18
2017-04-25,0.0,37.2,25.5,31.1,21
2017-04-26,0.0,38.2,26.3,31.9,18
2017-04-27,0.0,38.8,24.6,31.7,15
2017-04-28,0.0,39.8,23.8,31.8,13
2017-04-29,0.7,38.9,26.9,32.3,16
2017-04-30,0.0,37.7,26.0,32.2,16
2017-05-01,0.0,37.7,24.5,31.4,21
2017-05-02,0.0,38.8,26.0,32.3,25
2017-05-03,0.0,36.4,25.9,31.8,27
2017-05-04,0.2,39.3,27.4,32.6,28
2017-05-05,0.2,39.7,25.4,32.9,21
2017-05-06,0.4,38.7,26.0,32.3,26
2017-05-07,0.1,38.5,26.1,31.6,33
2017-05-08,0.1,39.4,26.0,32.4,27
2017-05-09,0.2,38.3,26.0,32.4,25
2017-05-10,0.2,36.8,25.8,31.3,33
2017-05-11,1.8,37.0,26.1,31.8,33
2017-05-12,0.1,38.5,26.5,32.1,37
2017-05-13,3.0,39.6,27.4,33.5,32
2017-05-14,0.0,41.0,27.2,33.9,31
2017-05-15,0.0,40.5,28.5,34.9,23
2017-05-16,0.0,41.5,30.6,35.0,23
2017-05-17,0.0,40.7,30.0,34.8,22
2017-05-18,0.0,41.0,27.6,34.2,22
