date,rain,tmax,tmin,tmean,humidity
2017-01-02,0.0,24.0,12.3,17.5,73
2017-01-03,0.0,23.4,10.6,16.2,73
2017-01-04,0.0,24.7,10.1,16.6,69
2017-01-05,0.0,25.5,9.9,17.6,63
2017-01-06,0.0,25.9,10.6,17.8,58
2017-01-07,0.0,23.9,11.8,17.7,67
2017-01-08,0.0,24.5,13.6,18.6,67
2017-01-09,0.4,22.5,12.1,17.2,75
2017-01-10,0.0,20.5,11.3,15.2,73
2017-01-11,0.0,20.1,7.5,13.5,63
2017-01-12,0.0,18.8,6.1,12.0,56
2017-01-13,0.0,19.1,5.0,11.6,53
2017-01-14,0.0,22.5,7.2,13.9,53
2017-01-15,0.0,25.8,11.1,17.9,57
2017-01-16,0.1,26.4,13.4,18.9,66
2017-01-17,0.0,23.9,10.2,16.5,63
2017-01-18,0.0,24.6,11.1,17.5,72
2017-01-19,0.4,22.2,13.3,17.3,78
2017-01-20,0.0,25.5,13.9,18.3,70
2017-01-21,0.0,27.0,12.2,19.1,67
2017-01-22,0.0,27.6,15.4,21.0,60
2017-01-23,0.0,28.8,15.3,21.2,63
2017-01-24,0.0,29.5,16.0,22.4,58
2017-01-25,0.0,29.4,17.0,22.5,55
2017-01-26,0.0,28.6,16.6,21.5,56
2017-01-27,0.2,22.4,13.1,17.4,69
2017-01-28,0.0,23.4,10.3,15.8,67
2017-01-29,0.0,26.2,9.5,17.0,65
2017-01-30,0.0,28.1,10.9,19.4,58
2017-01-31,0.0,28.1,11.6,18.8,55
2017-02-01,0.0,27.5,12.6,19.3,55
2017-02-02,0.0,28.4,12.0,19.4,57
2017-02-03,0.0,29.8,13.4,20.7,57
2017-02-04,0.0,30.3,15.8,22.3,51
2017-02-05,0.0,28.8,15.6,21.9,60
2017-02-06,0.0,24.6,11.2,17.7,44
2017-02-07,0.0,25.4,9.6,17.3,55
2017-02-08,0.0,29.5,11.4,19.9,58
2017-02-09,0.0,25.4,14.0,19.2,41
2017-02-10,0.0,24.2,11.6,17.3,49
2017-02-11,0.1,25.9,12.1,18.3,56
2017-02-12,0.2,25.9,13.1,19.2,75
2017-02-13,0.1,26.2,15.1,20.5,75
2017-02-14,0.0,28.4,15.6,21.7,70
2017-02-15,0.0,29.0,15.1,21.8,64
2017-02-16,0.0,29.8,14.9,21.7,50
2017-02-17,0.0,31.0,14.8,22.4,52
2017-02-18,0.0,30.8,14.9,22.3,55
2017-02-19,0.0,31.5,15.2,23.9,49
2017-02-20,0.0,31.3,18.9,24.5,40
2017-02-21,0.0,29.4,17.9,22.9,45
2017-02-22,0.0,28.8,14.1,21.2,45
2017-02-23,0.0,28.8,14.1,21.1,40
2017-02-24,0.0,27.9,13.2,20.0,39
2017-02-25,0.0,28.7,13.8,21.4,34
2017-02-26,0.0,30.3,13.4,21.7,44
2017-02-27,0.0,31.0,14.2,22.3,43
2017-02-28,0.0,33.0,15.3,24.0,41
2017-03-01,0.0,33.0,16.5,24.8,38
2017-03-02,0.0,31.9,17.0,24.0,39
2017-03-03,0.0,30.5,15.9,22.7,42
2017-03-04,0.0,28.9,15.8,22.0,51
2017-03-05,0.0,28.9,15.6,21.8,42
2017-03-06,0.0,28.8,14.0,21.3,35
2017-03-07,0.0,31.1,14.4,22.2,40
2017-03-08,0.0,29.5,17.2,23.8,38
2017-03-09,0.0,30.1,17.3,24.0,39
2017-03-10,0.5,26.2,18.1,22.3,46
2017-03-11,0.0,27.1,14.7,21.3,35
2017-03-12,0.0,26.1,12.5,19.2,30
2017-03-13,0.0,28.0,11.5,19.5,37
2017-03-14,0.0,28.5,13.1,20.3,39
2017-03-15,0.0,30.2,14.3,21.7,34
2017-03-16,0.0,32.7,15.4,24.1,31
2017-03-17,0.0,31.4,16.6,23.8,34
2017-03-18,0.0,31.2,16.3,24.9,38
2017-03-19,0.6,31.0,18.6,23.8,49
2017-03-20,0.0,31.1,17.0,24.0,50
2017-03-21,0.0,32.8,16.6,25.4,40
2017-03-22,0.0,35.3,18.0,27.0,38
2017-03-23,0.0,36.1,20.8,27.9,35
2017-03-24,0.0,36.0,21.5,28.5,33
2017-03-25,0.0,36.3,20.8,28.6,33
2017-03-26,0.0,37.1,20.9,29.3,36
2017-03-27,0.0,37.5,21.2,29.8,35
2017-03-28,0.0,38.9,22.4,30.9,31
2017-03-29,0.0,38.8,23.8,31.0,27
2017-03-30,0.0,38.6,22.8,31.0,23
2017-03-31,0.0,39.0,25.0,31.8,23
2017-04-01,0.0,38.2,24.3,31.9,22
2017-04-02,0.0,37.2,25.5,30.9,22
2017-04-03,0.0,37.8,24.1,30.8,25
2017-04-04,0.0,36.8,24.1,30.4,31
2017-04-05,0.0,36.8,23.4,30.2,36
2017-04-06,0.0,37.1,25.2,30.7,33
2017-04-07,0.0,35.2,23.6,28.6,27
2017-04-08,0.0,35.6,19.9,27.2,18
2017-04-09,0.0,35.5,18.5,27.0,18
2017-04-10,0.0,35.2,21.0,27.2,18
2017-04-11,0.0,36.8,19.3,28.9,20
2017-04-12,0.0,38.5,20.3,29.6,21
2017-04-13,0.0,39.3,20.8,30.2,23
2017-04-14,0.0,40.0,22.8,31.4,20
2017-04-15,0.0,40.5,26.3,33.3,16
2017-04-16,0.0,40.5,25.5,33.1,18
2017-04-17,0.0,40.7,25.0,33.3,20
2017-04-18,0.0,40.8,26.9,33.6,17
2017-04-19,0.0,39.8,27.0,32.9,18
2017-04-20,0.0,38.9,26.8,32.6,26
2017-04-21,0.0,39.8,27.0,33.1,26
2017-04-22,0.0,37.0,24.6,30.9,31
2017-04-23,0.0,36.5,25.0,30.5,32
2017-04-24,0.0,36.7,24.0,30.1,30
2017-04-25,0.0,36.2,24.5,29.9,33
2017-04-26,0.0,36.6,24.0,30.0,27
2017-04-27,0.0,38.0,22.5,31.0,19
2017-04-28,0.0,38.1,23.5,31.3,18
2017-04-29,0.0,37.9,24.8,31.5,24
2017-04-30,0.0,38.2,26.0,31.5,25
2017-05-01,0.0,38.2,26.1,31.4,25
2017-05-02,0.0,39.0,24.0,32.0,25
2017-05-03,0.0,39.3,25.7,33.0,23
2017-05-04,0.0,39.2,26.5,32.8,22
2017-05-05,0.0,39.8,25.4,33.2,25
2017-05-06,1.4,39.5,27.2,33.4,20
2017-05-07,0.0,40.8,28.0,34.0,20
2017-05-08,1.6,38.2,28.4,33.5,24
2017-05-09,0.2,40.2,28.0,33.2,27
2017-05-10,0.2,40.5,26.5,32.6,24
2017-05-11,0.3,39.8,28.1,33.4,26
2017-05-12,0.0,41.4,28.2,34.3,23
2017-05-13,0.0,42.0,29.1,35.9,20
2017-05-14,0.4,41.0,29.5,35.0,24
2017-05-15,0.0,40.2,29.9,34.8,26
2017-05-16,0.0,39.9,28.3,34.2,30
2017-05-17,0.0,40.0,28.4,33.8,27
2017-05-18,0.2,38.4,28.0,33.0,28
2017-05-19,0.0,40.5,28.5,34.1,26
