date,rain,tmax,tmin,tmean,humidity
2014-11-15,0.1,30.6,25.6,28.0,68
2014-11-16,7.0,30.5,24.5,27.3,77
2014-11-17,0.1,31.8,24.5,27.7,74
2014-11-18,0.0,32.3,24.9,28.4,66
2014-11-19,0.0,33.0,25.0,28.7,61
2014-11-20,0.0,32.4,23.5,27.8,56
2014-11-21,0.0,31.8,21.9,26.8,50
2014-11-22,0.0,31.5,21.0,26.2,50
2014-11-23,0.0,32.0,22.3,26.8,51
2014-11-24,0.0,32.4,22.2,27.0,51
2014-11-25,0.0,32.0,22.1,26.7,49
2014-11-26,0.0,31.7,21.0,26.2,53
2014-11-27,0.0,31.5,21.3,26.2,53
2014-11-28,0.0,31.4,20.5,25.7,57
2014-11-29,0.0,31.5,20.1,25.8,59
2014-11-30,0.0,31.9,21.3,26.3,53
2014-12-01,0.0,31.6,21.0,26.0,51
2014-12-02,0.0,31.9,22.3,26.6,49
2014-12-03,0.0,31.6,21.6,26.4,53
2014-12-04,0.0,31.6,21.5,26.2,49
2014-12-05,0.0,31.7,20.7,25.9,46
2014-12-06,0.0,31.7,21.5,26.1,45
2014-12-07,0.0,31.2,20.6,25.5,47
2014-12-08,0.0,30.4,19.9,24.8,52
2014-12-09,0.0,30.8,19.7,25.0,54
2014-12-10,0.0,30.4,20.3,25.3,52
2014-12-11,0.0,30.9,21.6,25.9,56
2014-12-12,0.0,29.2,20.9,24.9,67
2014-12-13,0.0,27.4,19.7,23.6,68
2014-12-14,0.0,26.5,17.6,21.9,42
2014-12-15,0.0,27.0,16.0,21.3,40
2014-12-16,0.0,27.4,16.9,21.5,42
2014-12-17,0.0,27.2,17.0,21.5,46
2014-12-18,0.0,27.5,16.6,21.5,45
2014-12-19,0.0,28.2,17.2,22.2,46
2014-12-20,0.0,28.2,17.5,22.4,48
2014-12-21,0.0,28.4,16.6,22.1,52
2014-12-22,0.0,28.2,16.7,22.0,56
2014-12-23,0.0,27.7,16.3,22.0,59
2014-12-24,0.0,28.2,17.2,22.5,54
2014-12-25,0.0,28.9,17.8,23.2,52
2014-12-26,0.0,28.1,18.1,22.8,49
2014-12-27,0.0,27.4,17.4,21.8,45
2014-12-28,0.0,27.5,17.2,21.8,44
2014-12-29,0.0,27.6,16.3,21.5,46
2014-12-30,0.0,26.6,16.1,21.3,52
2014-12-31,0.0,25.1,17.6,21.4,52
2015-01-01,0.3,25.8,17.8,21.4,73
2015-01-02,0.0,25.5,18.9,21.6,75
2015-01-03,0.0,26.2,17.4,21.6,71
2015-01-04,0.0,27.8,18.4,22.8,60
2015-01-05,0.0,27.4,18.3,22.4,57
2015-01-06,0.0,27.6,16.9,21.8,53
2015-01-07,0.0,26.6,16.1,21.2,51
2015-01-08,0.0,28.0,16.3,21.9,51
2015-01-09,0.0,28.4,17.7,22.5,45
2015-01-10,0.0,28.4,17.2,22.5,43
2015-01-11,0.0,28.9,16.6,22.5,50
2015-01-12,0.0,28.9,16.6,22.5,52
2015-01-13,0.0,28.2,16.2,22.0,55
2015-01-14,0.0,27.0,14.7,21.1,61
2015-01-15,0.0,28.2,17.8,22.6,62
2015-01-16,0.0,28.2,17.5,22.7,52
2015-01-17,0.0,27.7,17.3,22.4,53
2015-01-18,0.0,27.5,17.2,22.2,54
2015-01-19,0.0,28.0,17.8,22.5,59
2015-01-20,0.0,26.2,17.7,22.0,71
2015-01-21,0.0,26.7,17.8,22.3,77
2015-01-22,0.5,25.5,19.0,22.1,73
2015-01-23,0.0,26.7,17.1,21.7,57
2015-01-24,0.0,26.9,18.1,22.5,58
2015-01-25,0.0,26.0,18.6,22.2,70
2015-01-26,0.0,25.0,17.1,21.0,56
2015-01-27,0.0,25.8,16.4,21.0,56
2015-01-28,0.0,26.8,17.1,21.6,54
2015-01-29,0.0,27.3,16.6,21.7,47
2015-01-30,0.0,28.6,17.7,22.4,43
2015-01-31,0.0,29.0,17.8,22.8,45
2015-02-01,0.0,28.0,16.3,21.9,61
2015-02-02,0.0,27.1,16.0,20.9,76
2015-02-03,0.0,29.1,16.5,22.7,69
2015-02-04,0.0,30.3,19.9,24.9,54
2015-02-05,0.0,30.4,20.9,25.3,55
2015-02-06,0.0,29.2,19.8,24.3,58
2015-02-07,0.0,28.8,19.2,23.7,59
2015-02-08,0.0,27.9,18.2,23.0,49
2015-02-09,0.0,29.2,18.0,23.8,44
2015-02-10,0.2,30.3,20.9,25.0,52
2015-02-11,0.0,28.7,19.8,24.3,61
2015-02-12,0.0,29.1,18.9,24.2,46
2015-02-13,0.0,30.1,18.8,24.4,45
2015-02-14,0.0,29.8,18.5,23.7,53
2015-02-15,0.0,29.5,16.8,23.2,67
2015-02-16,0.0,30.2,17.2,23.4,72
2015-02-17,0.0,30.2,18.0,24.1,65
2015-02-18,0.0,29.5,19.8,24.1,69
2015-02-19,0.0,29.9,18.3,24.0,72
2015-02-20,0.0,31.0,19.0,24.8,64
2015-02-21,0.0,33.0,21.9,27.2,43
2015-02-22,0.0,33.7,21.7,27.8,44
2015-02-23,0.0,32.9,20.4,26.5,48
2015-02-24,0.0,32.2,20.7,25.8,62
2015-02-25,0.0,29.3,22.1,25.1,54
2015-02-26,0.0,27.5,20.4,23.5,50
2015-02-27,0.0,28.5,17.3,22.9,59
2015-02-28,0.5,27.4,18.0,22.8,70
2015-03-01,13.0,23.0,19.7,21.3,76
2015-03-02,0.5,24.5,18.8,21.6,67
2015-03-03,0.0,25.6,17.2,21.4,61
2015-03-04,0.0,26.9,17.9,22.3,59
2015-03-05,0.0,28.8,17.0,23.0,57
2015-03-06,0.0,30.7,17.1,24.6,53
2015-03-07,0.0,31.2,18.9,25.2,53
2015-03-08,0.0,30.7,20.5,25.6,53
2015-03-09,0.0,32.3,21.1,26.5,41
2015-03-10,0.0,32.8,22.4,27.3,39
2015-03-11,0.0,32.4,20.8,26.8,52
2015-03-12,0.2,33.9,21.0,27.8,53
2015-03-13,0.6,31.3,23.7,27.5,47
2015-03-14,0.0,30.8,23.4,26.7,61
2015-03-15,0.0,28.9,22.3,24.9,68
2015-03-16,0.0,27.9,20.0,23.8,55
2015-03-17,0.0,31.4,18.0,25.5,56
2015-03-18,0.0,32.9,22.3,27.4,39
2015-03-19,0.0,33.9,22.6,28.4,35
2015-03-20,0.0,35.3,22.6,29.1,37
2015-03-21,0.0,35.5,24.4,29.9,38
2015-03-22,0.0,35.9,23.3,30.1,41
2015-03-23,0.0,35.2,23.3,29.2,55
2015-03-24,0.0,36.5,23.8,29.9,50
