date,rain,tmax,tmin,tmean,humidity
2023-12-21,0.0,24.2,9.9,16.4,60
2023-12-22,0.0,22.9,12.0,17.1,60
2023-12-23,0.0,26.0,10.4,17.4,67
2023-12-24,0.0,26.6,11.9,18.3,69
2023-12-25,0.0,26.3,11.8,18.3,70
2023-12-26,0.0,26.5,10.8,17.8,66
2023-12-27,0.0,26.4,10.6,18.0,65
2023-12-28,0.0,25.5,11.8,17.9,64
2023-12-29,0.0,26.1,11.4,18.0,68
2023-12-30,0.0,26.4,11.8,18.4,74
2023-12-31,0.0,27.0,14.2,19.9,73
2024-01-01,0.2,26.6,14.4,19.6,77
2024-01-02,0.3,26.0,13.6,18.6,82
2024-01-03,2.5,22.8,13.4,17.9,86
2024-01-04,10.2,20.8,14.6,17.1,89
2024-01-05,2.4,20.8,13.7,17.0,91
2024-01-06,0.2,22.3,14.0,17.4,85
2024-01-07,0.0,19.3,12.4,15.5,91
2024-01-08,0.7,21.4,13.1,17.3,89
2024-01-09,0.4,25.6,13.3,18.4,88
2024-01-10,1.8,20.4,14.4,16.3,92
2024-01-11,0.0,23.4,13.0,17.1,88
2024-01-12,0.0,24.0,11.9,17.1,84
2024-01-13,0.0,26.9,12.4,19.0,79
2024-01-14,0.0,25.5,13.2,19.2,78
2024-01-15,0.0,22.6,12.4,16.8,73
2024-01-16,0.0,22.8,9.1,15.5,78
2024-01-17,0.0,24.0,9.9,16.5,75
2024-01-18,0.0,22.9,10.6,16.0,69
2024-01-19,0.0,21.4,8.8,14.3,66
2024-01-20,0.2,22.2,11.1,15.6,69
2024-01-21,0.0,20.8,7.9,13.8,76
2024-01-22,0.0,21.9,7.4,14.1,72
2024-01-23,0.0,21.5,8.6,14.2,65
2024-01-24,0.0,22.0,6.2,14.1,56
2024-01-25,0.0,22.5,7.6,14.9,56
2024-01-26,0.0,23.2,6.6,15.4,58
2024-01-27,0.0,23.9,8.9,16.0,62
2024-01-28,0.0,25.4,11.1,17.4,63
2024-01-29,0.0,27.1,12.1,18.7,63
2024-01-30,0.0,24.6,11.6,18.3,64
2024-01-31,0.0,25.5,12.4,18.2,64
2024-02-01,0.0,26.7,12.6,19.1,64
